accession	strain_region_coarse_date
OP605554	Slovenia-MPXV-11-2022_CentralEurope_7/1/22	accession
OP536691	MPXV-USA-IL-IDPH-030_NorthAmerica_6/14/22	accession
ON682269	MPXV/Germany/2022/RKI07_WesternEurope_5/1/22	accession
ON649708	Monkeypox/PT0023/2022_SouthernEurope_5/19/22	accession
ON843163	Monkeypox/PT0048/2022_SouthernEurope_5/13/22	accession
ON622713	MPX/UZ_REGA_2/Belgium/2022_WesternEurope_5/22/22	accession
OP605580	Slovenia-MPXV-39-2022_CentralEurope_8/1/22	accession
OP414312	Monkeypox/PT0272/2022_SouthernEurope_6/15/22	accession
OP295383	INS-MPXV-0016-H1_SouthAmerica_7/29/22	accession
ON803428	MpxV/human/CAN/UN-NML-2869/2022_NorthAmerica_5/21/22	accession
OP205075	MPXV_UK_2022_9000069_WesternEurope_6/11/22	accession
ON755247	MPXV/Germany/2022/RKI041_WesternEurope_6/30/22	accession
OP920696	MPXV/Human/USA/CA-LACPHL-MA00358/2022_NorthAmerica_11/5/22	accession
OP587255	MPXV/Human/USA/CA-CDPH-MPX000027/2022_NorthAmerica_6/30/22	accession
OX336004	RNA_1pj42v_CentralEurope_8/26/22	accession
OP536727	MPXV-USA-IL-IDPH-066_NorthAmerica_6/28/22	accession
OP382495	hMPXV-IHU00018_WesternEurope_7/22/22	accession
ON622720	MPXV-CH-38156923/2022_WesternEurope_5/24/22	accession
ON682270	MPXV/Germany/2022/RKI06_WesternEurope_5/1/22	accession
ON585032	Monkeypox/PT0004/2022_SouthernEurope_5/17/22	accession
OP414319	Monkeypox/PT0280/2022_SouthernEurope_6/14/22	accession
OP382483	hMPXV-IHU00006_WesternEurope_7/4/22	accession
OP642382	ANT-LDSP-ANT-MPX-24812-L_SouthAmerica_9/9/22	accession
OP415191	MPX_IMt4nT_9000212_WesternEurope_7/1/22	accession
OQ121036	hMpxV/USA/CA-CDPH-1000082/2022_NorthAmerica_6/23/22	accession
OP390199	hMpxV/UK/LMO-034a/2022_WesternEurope_7/14/22	accession
ON619838	MPXV_UK_2022_4_WesternEurope_5/31/22	accession
OP605561	Slovenia-MPXV-19-2022_CentralEurope_7/1/22	accession
OP303793	MPXV_USA_2022_NY0020_NorthAmerica_6/1/22	accession
ON853666	MPXV/Germany/2022/RKI084_WesternEurope_6/1/22	accession
OP324456	Monkeypox/PT0133/2022_SouthernEurope_7/8/22	accession
ON853657	MPXV/Germany/2022/RKI071_773ptn_WesternEurope_6/1/22	accession
ON843169	Monkeypox/PT0034/2022_SouthernEurope_5/26/22	accession
ON808416	CVR_MPXV1d_WesternEurope_5/15/22	accession
ON682263	MPXV/Germany/2022/RKI03_WesternEurope_5/1/22	accession
ON853674	MPXV/Germany/2022/RKI095_WesternEurope_6/1/22	accession
OP605569	Slovenia-MPXV-27-2022_CentralEurope_7/31/22	accession
OP205096	MPXV_UK_2022_9000108_WesternEurope_6/14/22	accession
ON585030	Monkeypox/PT0002/2022_SouthernEurope_5/15/22	accession
OP539924	MPX/Human/USA/CA-LACPHL-MA00139/2022_NorthAmerica_8/4/22	accession
OP555493	Monkeypox/PT0397/2022_SouthernEurope_7/15/22	accession
OP245320	MPX/PT0066/2022_SouthernEurope_7/27/22	accession
OP245306	MPX/PT0049/2022_SouthernEurope_8/1/22	accession
ON780016	INMI-Pt3_SouthernEurope_5/19/22	accession
OP689681	MPXV/Germany/2022/RKI528_WesternEurope_7/1/22	accession
ON622712	MPX/UZ_REGA_1/Belgium/2022_WesternEurope_5/19/22	accession
OP605575	Slovenia-MPXV-33-2022_CentralEurope_7/1/22	accession
ON595760	MPXV-CH-38134631/2022_WesternEurope_5/19/22	accession
OP414336	Monkeypox/PT0302/2022_SouthernEurope_6/7/22	accession
OP415275	MPX_o3VuSh_9000348_WesternEurope_8/31/22	accession
OP555530	Monkeypox/PT0449/2022_SouthernEurope_8/3/22	accession
ON880518	MpxV/human/CAN/UN-NML-3486/2022_NorthAmerica_6/8/22	accession
ON619835	MPXV_UK_2022_1_WesternEurope_5/1/22	accession
OP339848	MPXV/Germany/2022/RKI291_WesternEurope_8/1/22	accession
ON880525	MpxV/human/CAN/UN-NML-3086/2022_NorthAmerica_5/25/22	accession
OP605571	Slovenia-MPXV-29-2022_CentralEurope_7/31/22	accession
OP605573	Slovenia-MPXV-31-2022_CentralEurope_7/1/22	accession
OP597780	MN-MDH-MPXV_0006_NorthAmerica_6/29/22	accession
OP245322	MPX/PT0068/2022_SouthernEurope_7/25/22	accession
ON803419	MpxV/human/CAN/UN-NML-2844/2022_NorthAmerica_5/14/22	accession
ON880531	MpxV/human/CAN/UN-NML-3165/2022_NorthAmerica_5/29/22	accession
OP605559	Slovenia-MPXV-17-2022_CentralEurope_7/1/22	accession
ON843182	Monkeypox/PT0044/2022_SouthernEurope_5/30/22	accession
ON627808	MPX/human/USA/UT-UPHL-82200022/2022_NorthAmerica_5/20/22	accession
OP890545	MPXV/Human/USA/CA-LACPHL-MA00287/2022_NorthAmerica_10/4/22	accession
OP555500	Monkeypox/PT0404/2022_SouthernEurope_7/19/22	accession
OP555494	Monkeypox/PT0398/2022_SouthernEurope_7/15/22	accession
OP324465	Monkeypox/PT0148/2022_SouthernEurope_7/7/22	accession
OP382478	hMPXV-IHU00001_WesternEurope_6/13/22	accession
ON682264	MPXV/Germany/2022/RKI05_WesternEurope_5/1/22	accession
ON880542	MpxV/human/CAN/UN-NML-3348/2022_NorthAmerica_5/31/22	accession
OP693649	ANT_INS_MPX_0039_L_SouthAmerica_7/29/22	accession
ON959158	MPXV/Germany/2022/RKI143_WesternEurope_7/1/22	accession
OP555657	Monkeypox/PT0589/2022_SouthernEurope_8/24/22	accession
OP414297	Monkeypox/PT0256/2022_SouthernEurope_6/19/22	accession
OP245324	MPX/PT0070/2022_SouthernEurope_7/26/22	accession
OP022171	MPXV_UK_2022_6_WesternEurope_5/1/22	accession
OP324489	Monkeypox/PT0174/2022_SouthernEurope_6/30/22	accession
OP324488	Monkeypox/PT0173/2022_SouthernEurope_6/30/22	accession
OP680509	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00231/2022_NorthAmerica_10/4/22	accession
OP879762	NJ-MPXV-048_NorthAmerica_7/22/22	accession
OP414375	Monkeypox/PT0346/2022_SouthernEurope_5/26/22	accession
OP382494	hMPXV-IHU00017_WesternEurope_7/22/22	accession
OP310062	MpxV/human/USA/WA-UW-089836/2022_NorthAmerica_8/1/22	accession
ON619836	MPXV_UK_2022_2_WesternEurope_5/31/22	accession
OP382484	hMPXV-IHU00007_WesternEurope_7/6/22	accession
OP422245	hMPXV-CH-38212023/2022_WesternEurope_5/30/22	accession
OP605582	Slovenia-MPXV-41-2022_CentralEurope_8/1/22	accession
OP150926	MPXV_USA_2022_PA001_NorthAmerica_5/1/22	accession
ON808415	CVR_MPXV1c_WesternEurope_5/15/22	accession
OP414373	Monkeypox/PT0344/2022_SouthernEurope_5/25/22	accession
ON676704	MPXV_USA_2022_FL002_NorthAmerica_5/31/22	accession
ON614676	INMI-Pt1_SouthernEurope_5/18/22	accession
OP594208	MPXV/Germany/2022/RKI444_WesternEurope_9/1/22	accession
OP324541	Monkeypox/PT0233/2022_SouthernEurope_6/21/22	accession
ON959134	MPXV_USA_2022_NY003_NorthAmerica_5/27/22	accession
OP555648	Monkeypox/PT0577/2022_SouthernEurope_9/9/22	accession
ON736420	MPX/2022/Canada/AB1_NorthAmerica_5/31/22	accession
OP390202	hMpxV/UK/LMO-040a/2022_WesternEurope_7/17/22	accession
OP205115	MPXV_UK_2022_9000157_WesternEurope_7/7/22	accession
OQ121960	hMpxV/Human/USA/IL-RIPHL-MPXV_10016/2022_NorthAmerica_10/4/22	accession
OP257267	MpxV/human/USA/WA-UW-084449/2022_NorthAmerica_8/31/22	accession
OP205123	MPXV_UK_2022_9000167_WesternEurope_6/30/22	accession
ON755243	MPXV/Germany/2022/RKI037_WesternEurope_6/1/22	accession
OP837354	MPXV/Germany/2022/RKI592_WesternEurope_10/1/22	accession
OP764629	MPXV/Germany/2022/RKI571_WesternEurope_10/1/22	accession
OP414367	Monkeypox/PT0338/2022_SouthernEurope_5/26/22	accession
OP414320	Monkeypox/PT0281/2022_SouthernEurope_6/9/22	accession
OP555503	Monkeypox/PT0409/2022_SouthernEurope_7/25/22	accession
OP414388	Monkeypox/PT0365/2022_SouthernEurope_6/27/22	accession
OP062232	MpxV/human/CAN/UN-NML-3909/2022_NorthAmerica_6/27/22	accession
OP013016	MpxV/human/CAN/UN-NML-3678/2022_NorthAmerica_6/13/22	accession
OP628440	MpxV/human/USA/WA-UW-080994/2022_NorthAmerica_8/1/22	accession
OP257265	MpxV/human/USA/WA-UW-089183/2022_NorthAmerica_8/31/22	accession
OP555547	Monkeypox/PT0468/2022_SouthernEurope_8/5/22	accession
OP245343	MPX/PT0109/2022_SouthernEurope_7/18/22	accession
OP351278	MPXV22/human/USA-OK-21_NorthAmerica_6/14/22	accession
ON880536	MpxV/human/CAN/UN-NML-3272/2022_NorthAmerica_5/31/22	accession
OP324461	Monkeypox/PT0142/2022_SouthernEurope_7/7/22	accession
OP324464	Monkeypox/PT0145/2022_SouthernEurope_7/7/22	accession
OP920688	MPXV/Human/USA/CA-LACPHL-MA00350/2022_NorthAmerica_10/11/22	accession
OP587254	MPXV/Human/USA/CA-CDPH-MPX000025/2022_NorthAmerica_7/8/22	accession
OP484674	MPXV/Germany/2022/RKI353_WesternEurope_9/1/22	accession
OP215204	MPXV/Germany/2022/RKI188_WesternEurope_8/1/22	accession
OP615327	MPXV/Germany/2022/ON/RKI450_WesternEurope_9/1/22	accession
OP494263	MPXV/Germany/2022/ON/RKI316_WesternEurope_9/1/22	accession
OP324514	Monkeypox/PT0203/2022_SouthernEurope_6/23/22	accession
OP324472	Monkeypox/PT0155/2022_SouthernEurope_7/6/22	accession
OP920700	MPXV/Human/USA/CA-LACPHL-MA00362/2022_NorthAmerica_10/28/22	accession
OP920695	MPXV/Human/USA/CA-LACPHL-MA00357/2022_NorthAmerica_11/8/22	accession
OP414370	Monkeypox/PT0341/2022_SouthernEurope_5/27/22	accession
ON585036	Monkeypox/PT0010/2022_SouthernEurope_5/15/22	accession
OP390197	hMpxV/UK/LMO-032a/2022_WesternEurope_7/11/22	accession
OP263631	MPXV/Germany/2022/RKI276_WesternEurope_8/1/22	accession
OP594194	MPXV/Germany/2022/RKI430_WesternEurope_9/1/22	accession
OP215282	MPXV/Germany/2022/RKI263_WesternEurope_8/1/22	accession
OP150923	MPXV_USA_2022_CA007_NorthAmerica_6/1/22	accession
ON954773	MPXV_USA_2022_CA002_NorthAmerica_5/1/22	accession
OP555624	Monkeypox/PT0553/2022_SouthernEurope_8/26/22	accession
OP555626	Monkeypox/PT0555/2022_SouthernEurope_8/29/22	accession
OP133005	hMPXV/Austria/MUW1531848/2022_WesternEurope_7/5/22	accession
OP133004	hMPXV/Austria/MUW1533374/2022_WesternEurope_7/11/22	accession
OP414355	Monkeypox/PT0323/2022_SouthernEurope_6/4/22	accession
OP414325	Monkeypox/PT0290/2022_SouthernEurope_6/14/22	accession
OP920678	MPXV/Human/USA/CA-LACPHL-MA00340/2022_NorthAmerica_10/23/22	accession
OP605567	Slovenia-MPXV-25-2022_CentralEurope_7/31/22	accession
OP484685	MPXV/Germany/2022/RKI364_WesternEurope_9/30/22	accession
OP215227	MPXV/Germany/2022/RKI242_WesternEurope_8/31/22	accession
OP555660	Monkeypox/PT0593/2022_SouthernEurope_9/14/22	accession
OP484688	MPXV/Germany/2022/RKI367_WesternEurope_9/30/22	accession
OP680489	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00211/2022_NorthAmerica_9/30/22	accession
OP680496	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00218/2022_NorthAmerica_10/5/22	accession
ON682268	MPXV/Germany/2022/RKI08_WesternEurope_5/1/22	accession
ON682266	MPXV/Germany/2022/RKI09_WesternEurope_5/1/22	accession
OP422340	hMPXV/Austria/MUW1533948/2022_WesternEurope_7/13/22	accession
OP422343	hMPXV/Austria/MUW1540386/2022_WesternEurope_8/8/22	accession
OP555647	Monkeypox/PT0576/2022_SouthernEurope_9/5/22	accession
OP555634	Monkeypox/PT0563/2022_SouthernEurope_9/5/22	accession
OP696841	MPXV/Germany/2022/RKI338_WesternEurope_7/1/22	accession
ON803432	MpxV/human/CAN/UN-NML-2884/2022_NorthAmerica_5/20/22	accession
OP205102	MPXV_UK_2022_9000137_WesternEurope_7/7/22	accession
OX297403	RNA_3bkxty_CentralEurope_8/9/22	accession
OX261749	RNA_12i2rs_CentralEurope_7/20/22	accession
OP555653	Monkeypox/PT0583/2022_SouthernEurope_8/2/22	accession
OP555540	Monkeypox/PT0459/2022_SouthernEurope_8/4/22	accession
OX291435	RNA_112m5z_CentralEurope_7/25/22	accession
OX291424	RNA_1js3p9_CentralEurope_7/25/22	accession
OP013011	MpxV/human/CAN/UN-NML-3611/2022_NorthAmerica_6/9/22	accession
OP013004	MpxV/human/CAN/UN-NML-3518/2022_NorthAmerica_6/7/22	accession
ON568298	MPXV-BY-IMB25241_WesternEurope_5/19/22	accession
OP215206	MPXV/Germany/2022/RKI243_WesternEurope_8/1/22	accession
