strain_region_coarse_date	accession	date	region_coarse	strain
RNA_CentralEurope_7/13/22	OX261748	7/13/22	Central Europe	RNA
Monkeypox/PT0332/2022_SouthernEurope_5/27/22	OP414363	5/27/22	Southern Europe	Monkeypox/PT0332/2022
MpxV/human/CAN/UN-NML-3344/2022_NorthAmerica_6/1/22	ON880541	6/1/22	North America	MpxV/human/CAN/UN-NML-3344/2022
MPXV/Human/USA/CA-LACPHL-MA00359/2022_NorthAmerica_11/5/22	OP920697	11/5/22	North America	MPXV/Human/USA/CA-LACPHL-MA00359/2022
INMI-Pt2_SouthernEurope_5/19/22	ON745215	5/19/22	Southern Europe	INMI-Pt2
MPXV/Germany/2022/ON/RKI306_WesternEurope_8/1/22	OP355566	8/1/22	Western Europe	MPXV/Germany/2022/ON/RKI306
MPXV/Human/USA/CA-LACPHL-MA00354/2022_NorthAmerica_10/16/22	OP920692	10/16/22	North America	MPXV/Human/USA/CA-LACPHL-MA00354/2022
MpxV/Spain/MD-HGUGM-66649483/2022_SouthernEurope_5/27/22	ON745225	5/27/22	Southern Europe	MpxV/Spain/MD-HGUGM-66649483/2022
MPXV/Human/USA/CA-CDPH-MPX000007/2022_NorthAmerica_6/21/22	OP580155	6/21/22	North America	MPXV/Human/USA/CA-CDPH-MPX000007/2022
MPXV_UK_2022_9000062_WesternEurope_6/5/22	OP205068	6/5/22	Western Europe	MPXV_UK_2022_9000062
Monkeypox/PT0190/2022_SouthernEurope_6/28/22	OP324504	6/28/22	Southern Europe	Monkeypox/PT0190/2022
MPXV/Germany/2022/RKI517_WesternEurope_6/1/22	OP689670	6/1/22	Western Europe	MPXV/Germany/2022/RKI517
MpxV/human/USA/WA-UW-104793/2022_NorthAmerica_10/31/22	OP747060	10/31/22	North America	MpxV/human/USA/WA-UW-104793/2022
Monkeypox/PT0032/2022_SouthernEurope_5/26/22	ON843168	5/26/22	Southern Europe	Monkeypox/PT0032/2022
Monkeypox/PT0328/2022_SouthernEurope_5/31/22	OP414360	5/31/22	Southern Europe	Monkeypox/PT0328/2022
Monkeypox/PT0262/2022_SouthernEurope_6/17/22	OP414302	6/17/22	Southern Europe	Monkeypox/PT0262/2022
MpxV/human/CAN/UN-NML-2858/2022_NorthAmerica_5/19/22	ON880521	5/19/22	North America	MpxV/human/CAN/UN-NML-2858/2022
MPXV_GSTT_Patient1_WesternEurope_5/11/22	ON645312	5/11/22	Western Europe	MPXV_GSTT_Patient1
MPXV_UK_2022_9000189_WesternEurope_7/6/22	OP205134	7/6/22	Western Europe	MPXV_UK_2022_9000189
MPXV/Germany/2022/ON/RKI505_WesternEurope_8/1/22	OP689658	8/1/22	Western Europe	MPXV/Germany/2022/ON/RKI505
Monkeypox/PT0025/2022_SouthernEurope_5/19/22	ON649712	5/19/22	Southern Europe	Monkeypox/PT0025/2022
PEV_case_WesternEurope_7/29/22	OP727820	7/29/22	Western Europe	PEV_case
Monkeypox/PT0345/2022_SouthernEurope_5/26/22	OP414374	5/26/22	Southern Europe	Monkeypox/PT0345/2022
Monkeypox/PT0217/2022_SouthernEurope_6/23/22	OP324527	6/23/22	Southern Europe	Monkeypox/PT0217/2022
MpxV/human/CAN/UN-NML-3357/2022_NorthAmerica_6/2/22	ON880543	6/2/22	North America	MpxV/human/CAN/UN-NML-3357/2022
Monkeypox/PT0292/2022_SouthernEurope_6/9/22	OP414327	6/9/22	Southern Europe	Monkeypox/PT0292/2022
MPX/PT0074/2022_SouthernEurope_7/27/22	OP245328	7/27/22	Southern Europe	MPX/PT0074/2022
Slovenia-MPXV-16-2022_CentralEurope_7/1/22	OP605558	7/1/22	Central Europe	Slovenia-MPXV-16-2022
Slovenia-MPXV-21-2022_CentralEurope_7/1/22	OP605563	7/1/22	Central Europe	Slovenia-MPXV-21-2022
MPXV_USA_2022_NY0023_NorthAmerica_6/1/22	OP303794	6/1/22	North America	MPXV_USA_2022_NY0023
Monkeypox/PT0213/2022_SouthernEurope_6/24/22	OP324523	6/24/22	Southern Europe	Monkeypox/PT0213/2022
Monkeypox/PT0349/2022_SouthernEurope_5/26/22	OP414378	5/26/22	Southern Europe	Monkeypox/PT0349/2022
Monkeypox/PT0315/2022_SouthernEurope_6/3/22	OP414348	6/3/22	Southern Europe	Monkeypox/PT0315/2022
Slovenia-MPXV-24-2022_CentralEurope_7/31/22	OP605566	7/31/22	Central Europe	Slovenia-MPXV-24-2022
MPXV/Germany/2022/RKI112_WesternEurope_7/1/22	ON929070	7/1/22	Western Europe	MPXV/Germany/2022/RKI112
MPXV/Germany/2022/RKI024_WesternEurope_5/1/22	ON694336	5/1/22	Western Europe	MPXV/Germany/2022/RKI024
MpxV/human/CAN/UN-NML-3702/2022_NorthAmerica_6/15/22	ON983166	6/15/22	North America	MpxV/human/CAN/UN-NML-3702/2022
hMPXV-IHU00003_WesternEurope_7/4/22	OP382480	7/4/22	Western Europe	hMPXV-IHU00003
CVR_MPXV1b_WesternEurope_5/15/22	ON808414	5/15/22	Western Europe	CVR_MPXV1b
MPX_k9tr7U_9000256_WesternEurope_8/1/22	OP415226	8/1/22	Western Europe	MPX_k9tr7U_9000256
MpxV/human/CAN/UN-NML-2967/2022_NorthAmerica_5/16/22	ON803442	5/16/22	North America	MpxV/human/CAN/UN-NML-2967/2022
MPXV/Germany/2022/RKI172_WesternEurope_7/1/22	OP018597	7/1/22	Western Europe	MPXV/Germany/2022/RKI172
MpxV/human/CAN/UN-NML-3368/2022_NorthAmerica_6/2/22	ON880546	6/2/22	North America	MpxV/human/CAN/UN-NML-3368/2022
MPX/UZ_REGA_4/Belgium/2022_WesternEurope_5/27/22	ON880420	5/27/22	Western Europe	MPX/UZ_REGA_4/Belgium/2022
Monkeypox/PT0036/2022_SouthernEurope_5/26/22	ON843167	5/26/22	Southern Europe	Monkeypox/PT0036/2022
CVR_MPXV1e_WesternEurope_5/15/22	ON808417	5/15/22	Western Europe	CVR_MPXV1e
MPXV_USA_2022_CA001_NorthAmerica_5/1/22	ON676703	5/1/22	North America	MPXV_USA_2022_CA001
MPXV/Germany/2022/RKI173_WesternEurope_7/1/22	OP018598	7/1/22	Western Europe	MPXV/Germany/2022/RKI173
MPXV/Germany/2022/RKI513_WesternEurope_6/1/22	OP689666	6/1/22	Western Europe	MPXV/Germany/2022/RKI513
MpxV/human/CAN/UN-NML-3127/2022_NorthAmerica_5/30/22	ON880508	5/30/22	North America	MpxV/human/CAN/UN-NML-3127/2022
Monkeypox/PT0013/2022_SouthernEurope_5/20/22	ON649723	5/20/22	Southern Europe	Monkeypox/PT0013/2022
MPX/UZ_REGA_3/Belgium/2022_WesternEurope_5/27/22	ON880419	5/27/22	Western Europe	MPX/UZ_REGA_3/Belgium/2022
MPXV/Germany/2022/RKI476_WesternEurope_7/1/22	OP626114	7/1/22	Western Europe	MPXV/Germany/2022/RKI476
MPXV/Germany/2022/RKI010_WesternEurope_5/1/22	ON682267	5/1/22	Western Europe	MPXV/Germany/2022/RKI010
MPXV/Germany/2022/RKI563_WesternEurope_6/1/22	OP764621	6/1/22	Western Europe	MPXV/Germany/2022/RKI563
MpxV/human/CAN/UN-NML-2853/2022_NorthAmerica_5/19/22	ON803425	5/19/22	North America	MpxV/human/CAN/UN-NML-2853/2022
MpxV/human/CAN/UN-NML-2873/2022_NorthAmerica_5/19/22	ON803429	5/19/22	North America	MpxV/human/CAN/UN-NML-2873/2022
MPXV_USA_2022_HI0003_NorthAmerica_6/1/22	OP378703	6/1/22	North America	MPXV_USA_2022_HI0003
MPXV_UK_2022_9000152_WesternEurope_5/16/22	OP205114	5/16/22	Western Europe	MPXV_UK_2022_9000152
MPXV/Germany/2022/RKI071_WesternEurope_7/1/22	ON929058	7/1/22	Western Europe	MPXV/Germany/2022/RKI071
MPXV/Human/USA/CA-CDPH-MPX000006/2022_NorthAmerica_6/7/22	OP580154	6/7/22	North America	MPXV/Human/USA/CA-CDPH-MPX000006/2022
Monkeypox/PT0014/2022_SouthernEurope_5/23/22	ON649724	5/23/22	Southern Europe	Monkeypox/PT0014/2022
MPXV_USA_2022_IL0025_NorthAmerica_6/1/22	OP225969	6/1/22	North America	MPXV_USA_2022_IL0025
Monkeypox/PT0011/2022_SouthernEurope_5/23/22	ON649725	5/23/22	Southern Europe	Monkeypox/PT0011/2022
MpxV/human/CAN/UN-NML-3339/2022_NorthAmerica_6/1/22	ON880539	6/1/22	North America	MpxV/human/CAN/UN-NML-3339/2022
MPXV_IRBA22-14_WesternEurope_5/20/22	ON755040	5/20/22	Western Europe	MPXV_IRBA22-14
MPXV_UK_2022_9000144_WesternEurope_6/16/22	OP205107	6/16/22	Western Europe	MPXV_UK_2022_9000144
MPXV/Germany/2022/RKI087_WesternEurope_6/1/22	ON853654	6/1/22	Western Europe	MPXV/Germany/2022/RKI087
hMPXV-IHU00005_WesternEurope_7/4/22	OP382482	7/4/22	Western Europe	hMPXV-IHU00005
MPXV_USA_2022_MN0005_NorthAmerica_6/1/22	OP451004	6/1/22	North America	MPXV_USA_2022_MN0005
MpxV/human/CAN/UN-NML-3472/2022_NorthAmerica_6/2/22	ON880516	6/2/22	North America	MpxV/human/CAN/UN-NML-3472/2022
MPXV_USA_2022_IL001_NorthAmerica_5/1/22	ON959131	5/1/22	North America	MPXV_USA_2022_IL001
MPXV22/human/USA-OK-67_NorthAmerica_7/19/22	OP351282	7/19/22	North America	MPXV22/human/USA-OK-67
MPXV/Germany/2022/RKI475_WesternEurope_7/1/22	OP626113	7/1/22	Western Europe	MPXV/Germany/2022/RKI475
MPX_96X1Vd_9000218_WesternEurope_3/24/22	OP415196	3/24/22	Western Europe	MPX_96X1Vd_9000218
MpxV/human/CAN/UN-NML-2955/2022_NorthAmerica_5/23/22	ON803441	5/23/22	North America	MpxV/human/CAN/UN-NML-2955/2022
Monkeypox/PT0012/2022_SouthernEurope_5/23/22	ON649719	5/23/22	Southern Europe	Monkeypox/PT0012/2022
MPX/UZ_REGA_6/Belgium/2022_WesternEurope_5/27/22	ON880422	5/27/22	Western Europe	MPX/UZ_REGA_6/Belgium/2022
MPX/UZ_REGA_5/Belgium/2022_WesternEurope_5/27/22	ON880421	5/27/22	Western Europe	MPX/UZ_REGA_5/Belgium/2022
Monkeypox/PT0047/2022_SouthernEurope_6/2/22	ON843177	6/2/22	Southern Europe	Monkeypox/PT0047/2022
2022/2SLO_CentralEurope_5/24/22	ON631241	5/24/22	Central Europe	2022/2 SLO
MPXV_UK_2022_9000090_WesternEurope_5/25/22	OP205139	5/25/22	Western Europe	MPXV_UK_2022_9000090
MpxV/human/CAN/UN-NML-2852/2022_NorthAmerica_5/19/22	ON803424	5/19/22	North America	MpxV/human/CAN/UN-NML-2852/2022
MPX_96X1Vd_9000217_WesternEurope_3/24/22	OP415195	3/24/22	Western Europe	MPX_96X1Vd_9000217
MpxV/human/CAN/UN-NML-2896/2022_NorthAmerica_5/20/22	ON803437	5/20/22	North America	MpxV/human/CAN/UN-NML-2896/2022
MPXV_USA_2022_MA001_NorthAmerica_5/1/22	ON563414	5/1/22	North America	MPXV_USA_2022_MA001
MPXV/Germany/2022/RKI077_WesternEurope_6/1/22	ON853679	6/1/22	Western Europe	MPXV/Germany/2022/RKI077
MPXV_UK_2022_9000140_WesternEurope_7/6/22	OP205104	7/6/22	Western Europe	MPXV_UK_2022_9000140
MPXV_USA_2022_UT001_NorthAmerica_5/27/22	ON676705	5/27/22	North America	MPXV_USA_2022_UT001
MPXV/Human/USA/CA-LACPHL-MA00360/2022_NorthAmerica_11/2/22	OP920698	11/2/22	North America	MPXV/Human/USA/CA-LACPHL-MA00360/2022
MpxV/human/CAN/UN-NML-2886/2022_NorthAmerica_5/20/22	ON803434	5/20/22	North America	MpxV/human/CAN/UN-NML-2886/2022
LBMB-UTP_MP-009_TOL_SouthAmerica_9/13/22	OQ148466	9/13/22	South America	LBMB-UTP_MP-009_TOL
MPXV_UK_2022_9000184_WesternEurope_6/30/22	OP205129	6/30/22	Western Europe	MPXV_UK_2022_9000184
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00228/2022_NorthAmerica_10/4/22	OP680506	10/4/22	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00228/2022
MPX_h9DUQg_9000203_WesternEurope_7/31/22	OP415184	7/31/22	Western Europe	MPX_h9DUQg_9000203
MPXV/Human/USA/CA-LACPHL-MA00298/2022_NorthAmerica_9/30/22	OP890532	9/30/22	North America	MPXV/Human/USA/CA-LACPHL-MA00298/2022
Slovenia-MPXV-43-2022_CentralEurope_8/31/22	OP605584	8/31/22	Central Europe	Slovenia-MPXV-43-2022
Monkeypox/PT0029/2022_SouthernEurope_5/27/22	ON843173	5/27/22	Southern Europe	Monkeypox/PT0029/2022
MPX_96X1Vd_9000216_WesternEurope_3/24/22	OP415194	3/24/22	Western Europe	MPX_96X1Vd_9000216
MPXV/Germany/2022/RKI593_WesternEurope_10/1/22	OP837355	10/1/22	Western Europe	MPXV/Germany/2022/RKI593
MpxV/human/USA/WA-UW-084325/2022_NorthAmerica_8/31/22	OP257261	8/31/22	North America	MpxV/human/USA/WA-UW-084325/2022
MPXV_UK_2022_9000173_WesternEurope_5/26/22	OP205124	5/26/22	Western Europe	MPXV_UK_2022_9000173
Monkeypox/PT0235/2022_SouthernEurope_6/21/22	OP324543	6/21/22	Southern Europe	Monkeypox/PT0235/2022
Monkeypox/PT0355/2022_SouthernEurope_5/22/22	OP414382	5/22/22	Southern Europe	Monkeypox/PT0355/2022
MPXV_USA_2022_CO0002_NorthAmerica_5/27/22	OP185715	5/27/22	North America	MPXV_USA_2022_CO0002
MPX_hSAaEl_9000356_WesternEurope_8/1/22	OP415281	8/1/22	Western Europe	MPX_hSAaEl_9000356
MPXV-USA-IL-IDPH-022_NorthAmerica_6/1/22	OP536683	6/1/22	North America	MPXV-USA-IL-IDPH-022
hMPXV/Austria/MUW1525179/2022_WesternEurope_6/10/22	OP019275	6/10/22	Western Europe	hMPXV/Austria/MUW1525179/2022
MPXV/Human/USA/UT-UPHL-82200023/2022_NorthAmerica_5/21/22	OP743358	5/21/22	North America	MPXV/Human/USA/UT-UPHL-82200023/2022
PrEV_case_4_WesternEurope_10/9/22	OP727823	10/9/22	Western Europe	PrEV_case_4
MPXV/Germany/2022/ON/RKI512_WesternEurope_10/1/22	OP689665	10/1/22	Western Europe	MPXV/Germany/2022/ON/RKI512
MN-MDH-MPXV_0020_NorthAmerica_7/21/22	OP597794	7/21/22	North America	MN-MDH-MPXV_0020
Monkeypox/PT0384/2022_SouthernEurope_7/12/22	OP555480	7/12/22	Southern Europe	Monkeypox/PT0384/2022
Monkeypox/PT0317/2022_SouthernEurope_6/6/22	OP414349	6/6/22	Southern Europe	Monkeypox/PT0317/2022
MPXV/Germany/2022/RKI553_WesternEurope_6/1/22	OP715833	6/1/22	Western Europe	MPXV/Germany/2022/RKI553
MPXV-USA-IL-IDPH-014_NorthAmerica_7/5/22	OP536675	7/5/22	North America	MPXV-USA-IL-IDPH-014
hMPXV-IHU00013_WesternEurope_7/20/22	OP382490	7/20/22	Western Europe	hMPXV-IHU00013
MpxV/human/CAN/UN-NML-3864/2022_NorthAmerica_6/22/22	OP062230	6/22/22	North America	MpxV/human/CAN/UN-NML-3864/2022
Monkeypox/PT0333/2022_SouthernEurope_5/27/22	OP414364	5/27/22	Southern Europe	Monkeypox/PT0333/2022
MpxV/human/CAN/UN-NML-4038/2022_NorthAmerica_7/7/22	OP270028	7/7/22	North America	MpxV/human/CAN/UN-NML-4038/2022
MpxV/human/CAN/UN-NML-3658/2022_NorthAmerica_6/10/22	OP013013	6/10/22	North America	MpxV/human/CAN/UN-NML-3658/2022
MpxV/human/CAN/UN-NML-3080/2022_NorthAmerica_5/26/22	ON880524	5/26/22	North America	MpxV/human/CAN/UN-NML-3080/2022
MpxV/human/USA/WA-UW-099881/2022_NorthAmerica_9/30/22	OP743969	9/30/22	North America	MpxV/human/USA/WA-UW-099881/2022
hMPXV-IHU00014_WesternEurope_7/22/22	OP382491	7/22/22	Western Europe	hMPXV-IHU00014
Monkeypox/PT0342/2022_SouthernEurope_5/26/22	OP414371	5/26/22	Southern Europe	Monkeypox/PT0342/2022
Monkeypox/PT0037/2022_SouthernEurope_5/18/22	ON843164	5/18/22	Southern Europe	Monkeypox/PT0037/2022
MpxV/human/CAN/UN-NML-2856/2022_NorthAmerica_5/19/22	ON803426	5/19/22	North America	MpxV/human/CAN/UN-NML-2856/2022
Slovenia-MPXV-11-2022_CentralEurope_7/1/22	OP605554	7/1/22	Central Europe	Slovenia-MPXV-11-2022
MPXV-USA-IL-IDPH-030_NorthAmerica_6/14/22	OP536691	6/14/22	North America	MPXV-USA-IL-IDPH-030
MPXV/Germany/2022/RKI07_WesternEurope_5/1/22	ON682269	5/1/22	Western Europe	MPXV/Germany/2022/RKI07
Monkeypox/PT0023/2022_SouthernEurope_5/19/22	ON649708	5/19/22	Southern Europe	Monkeypox/PT0023/2022
Monkeypox/PT0048/2022_SouthernEurope_5/13/22	ON843163	5/13/22	Southern Europe	Monkeypox/PT0048/2022
MPX/UZ_REGA_2/Belgium/2022_WesternEurope_5/22/22	ON622713	5/22/22	Western Europe	MPX/UZ_REGA_2/Belgium/2022
Slovenia-MPXV-39-2022_CentralEurope_8/1/22	OP605580	8/1/22	Central Europe	Slovenia-MPXV-39-2022
Monkeypox/PT0272/2022_SouthernEurope_6/15/22	OP414312	6/15/22	Southern Europe	Monkeypox/PT0272/2022
INS-MPXV-0016-H1_SouthAmerica_7/29/22	OP295383	7/29/22	South America	INS-MPXV-0016-H1
MpxV/human/CAN/UN-NML-2869/2022_NorthAmerica_5/21/22	ON803428	5/21/22	North America	MpxV/human/CAN/UN-NML-2869/2022
MPXV_UK_2022_9000069_WesternEurope_6/11/22	OP205075	6/11/22	Western Europe	MPXV_UK_2022_9000069
MPXV/Germany/2022/RKI041_WesternEurope_6/30/22	ON755247	6/30/22	Western Europe	MPXV/Germany/2022/RKI041
MPXV/Human/USA/CA-LACPHL-MA00358/2022_NorthAmerica_11/5/22	OP920696	11/5/22	North America	MPXV/Human/USA/CA-LACPHL-MA00358/2022
MPXV/Human/USA/CA-CDPH-MPX000027/2022_NorthAmerica_6/30/22	OP587255	6/30/22	North America	MPXV/Human/USA/CA-CDPH-MPX000027/2022
RNA_1pj42v_CentralEurope_8/26/22	OX336004	8/26/22	Central Europe	RNA_1pj42v
MPXV-USA-IL-IDPH-066_NorthAmerica_6/28/22	OP536727	6/28/22	North America	MPXV-USA-IL-IDPH-066
hMPXV-IHU00018_WesternEurope_7/22/22	OP382495	7/22/22	Western Europe	hMPXV-IHU00018
MPXV-CH-38156923/2022_WesternEurope_5/24/22	ON622720	5/24/22	Western Europe	MPXV-CH-38156923/2022
MPXV/Germany/2022/RKI06_WesternEurope_5/1/22	ON682270	5/1/22	Western Europe	MPXV/Germany/2022/RKI06
Monkeypox/PT0004/2022_SouthernEurope_5/17/22	ON585032	5/17/22	Southern Europe	Monkeypox/PT0004/2022
Monkeypox/PT0280/2022_SouthernEurope_6/14/22	OP414319	6/14/22	Southern Europe	Monkeypox/PT0280/2022
hMPXV-IHU00006_WesternEurope_7/4/22	OP382483	7/4/22	Western Europe	hMPXV-IHU00006
ANT-LDSP-ANT-MPX-24812-L_SouthAmerica_9/9/22	OP642382	9/9/22	South America	ANT-LDSP-ANT-MPX-24812-L
MPX_IMt4nT_9000212_WesternEurope_7/1/22	OP415191	7/1/22	Western Europe	MPX_IMt4nT_9000212
hMpxV/USA/CA-CDPH-1000082/2022_NorthAmerica_6/23/22	OQ121036	6/23/22	North America	hMpxV/USA/CA-CDPH-1000082/2022
hMpxV/UK/LMO-034a/2022_WesternEurope_7/14/22	OP390199	7/14/22	Western Europe	hMpxV/UK/LMO-034a/2022
MPXV_UK_2022_4_WesternEurope_5/31/22	ON619838	5/31/22	Western Europe	MPXV_UK_2022_4
Slovenia-MPXV-19-2022_CentralEurope_7/1/22	OP605561	7/1/22	Central Europe	Slovenia-MPXV-19-2022
MPXV_USA_2022_NY0020_NorthAmerica_6/1/22	OP303793	6/1/22	North America	MPXV_USA_2022_NY0020
MPXV/Germany/2022/RKI084_WesternEurope_6/1/22	ON853666	6/1/22	Western Europe	MPXV/Germany/2022/RKI084
