strain_country_date	accession	date	region_coarse	country	strain
PrEV_case_1_Belgium_2022-08-27	OP727821	2022-08-27	Western Europe	Belgium	PrEV_case_1
MPXV22/human/USA-NE-63_USA_2022-07-25	OP171924	2022-07-25	North America	USA	MPXV22/human/USA-NE-63
MPXV_UK_2022_9000158_UnitedKingdom_2022-07-07	OP205116	2022-07-07	Western Europe	United Kingdom	MPXV_UK_2022_9000158
MPXV_SI2022_S3_Slovenia_2022-06-01	ON754984	2022-06-01	Central Europe	Slovenia	MPXV_SI2022_S3
MPXV_SI2022_S5_Slovenia_2022-06-01	ON754986	2022-06-01	Central Europe	Slovenia	MPXV_SI2022_S5
MPXV_UK_2022_9000061_UnitedKingdom_2022-05-27	OP205067	2022-05-27	Western Europe	United Kingdom	MPXV_UK_2022_9000061
RNA_2r1xqa_Slovakia_2022-07-04	OX248696	2022-07-04	Central Europe	Slovakia	RNA_2r1xqa
MPX_0MZd8B_9000260_UnitedKingdom_2022-08-01	OP415229	2022-08-01	Western Europe	United Kingdom	MPX_0MZd8B_9000260
Monkeypox/PT0562/2022_Portugal_2022-09-01	OP555633	2022-09-01	Southern Europe	Portugal	Monkeypox/PT0562/2022
hMpxV/Switzerland/ZH-UZH-IMV-3ba6449f/2022_Switzerland_2022-06-01	ON792320	2022-06-01	Western Europe	Switzerland	hMpxV/Switzerland/ZH-UZH-IMV-3ba6449f/2022
hMpxV/UK/LMO-043a/2022_UnitedKingdom_2022-07-20	OP390204	2022-07-20	Western Europe	United Kingdom	hMpxV/UK/LMO-043a/2022
MPXV/Human/USA/CA-LACPHL-MA00322/2022_USA_2022-10-31	OP890526	2022-10-31	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00322/2022
B1118356_USA_2022-08-18	OP531890	2022-08-18	North America	USA	B1118356
SI2022_S7_Slovenia_2022-06-01	ON838178	2022-06-01	Central Europe	Slovenia	SI2022_S7
