	accession	date	region_coarse	country	strain
160	OP484340	2022-08-02	North America	USA	MPXV22/human/USA-OK-104
161	ON853657	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI071
162	ON585033	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0006/2022
163	ON585029	2022-05-04	Southern Europe	Portugal	Monkeypox/PT0001/2022
164	OP324542	2022-06-20	Southern Europe	Portugal	Monkeypox/PT0234/2022
165	OP450993	2022-07-01	North America	USA	MPXV_USA_2022_NC0004
166	OP171922	2022-07-14	North America	USA	MPXV22/human/USA-NE-44
167	OP414327	2022-06-09	Southern Europe	Portugal	Monkeypox/PT0292/2022
168	OP580606	2022-07-28	North America	USA	hMPX/USA/CA-LACPHL-MA00173/2022
169	OP555480	2022-07-12	Southern Europe	Portugal	Monkeypox/PT0384/2022
170	OP390199	2022-07-14	Western Europe	United Kingdom	hMpxV/UK/LMO-034a/2022
171	OP205068	2022-06-05	Western Europe	United Kingdom	MPXV_UK_2022_9000062
172	OX336004	2022-08-26	Central Europe	Slovakia	RNA
173	OP594208	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI444
174	OP414350	2022-06-03	Southern Europe	Portugal	Monkeypox/PT0318/2022
175	OP303784	2022-06-01	North America	USA	MPXV_USA_2022_IL0034
176	OP605565	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-23-2022
177	OP245308	2022-07-31	Southern Europe	Portugal	MPX/PT0051/2022
178	ON755245	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI039
179	OP715821	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI541
180	OP169343	2022-07-01	North America	USA	MpxV/human/USA/OH-UW-075598/2022
181	OP440563	2022-07-20	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00061/2022
182	OP580588	2022-08-05	North America	USA	hMPX/USA/CA-LACPHL-MA00155/2022
183	OP245354	2022-07-14	Southern Europe	Portugal	MPX/PT0121/2022
184	OP597794	2022-07-21	North America	USA	MN-MDH-MPXV_0020
185	OP440568	2022-07-17	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00004/2022
186	OP536697	2022-06-17	North America	USA	MPXV-USA-IL-IDPH-036
187	OP680510	2022-07-15	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00232/2022
188	OP414338	2022-06-07	Southern Europe	Portugal	Monkeypox/PT0304/2022
189	OQ159050	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI655
190	OP743361	2022-07-21	North America	USA	MPXV/Human/USA/UT-UPHL-82200096/2022
191	OP414358	2022-06-02	Southern Europe	Portugal	Monkeypox/PT0326/2022
192	ON676704	2022-05-15	North America	USA	MPXV_USA_2022_FL002
193	OP150926	2022-05-01	North America	USA	MPXV_USA_2022_PA001
194	OP615260	2022-09-27	North America	USA	MPX/Human/USA/CA-LACPHL-MA00187/2022
195	OP587255	2022-06-30	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000027/2022
196	OP555510	2022-07-29	Southern Europe	Portugal	Monkeypox/PT0418/2022
197	OP414369	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0340/2022
198	OP689667	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI514
199	OP536743	2022-07-03	North America	USA	MPXV-USA-IL-IDPH-082
200	OP422245	2022-05-30	Western Europe	Switzerland	hMPXV-CH-38212023/2022
201	OQ099604	2022-07-01	North America	USA	MPXV_USA_2022_NY0016
202	ON585035	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0009/2022
203	OP615256	2022-07-29	North America	USA	MPX/Human/USA/CA-LACPHL-MA00183/2022
204	OP205074	2022-06-07	Western Europe	United Kingdom	MPXV_UK_2022_9000068
205	ON803440	2022-05-22	North America	Canada	MpxV/human/CAN/UN-NML-2954/2022
206	OP727823	2022-10-09	Western Europe	Belgium	PrEV_case_4
207	OP587242	2022-06-22	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000012/2022
208	OP324509	2022-06-27	Southern Europe	Portugal	Monkeypox/PT0196/2022
209	OP382484	2022-07-06	Western Europe	France	hMPXV-IHU00007
210	OP415216	2022-07-01	Western Europe	United Kingdom	MPX_OXSHAI_9000245
211	OP890542	2022-09-28	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00284/2022
212	OP722498	2022-07-20	North America	USA	MPX/Human/USA/CA-LACPHL-MA00239/2022
213	ON843171	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0030/2022
214	OP879744	2022-07-05	North America	USA	NJ-MPXV-028
215	OP414371	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0342/2022
216	OP415274	2022-08-01	Western Europe	United Kingdom	MPX_i96eY5_9000346
217	OP523984	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI382
218	OP587241	2022-06-14	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000011/2022
219	OP722505	2022-07-15	North America	USA	MPX/Human/USA/CA-LACPHL-MA00246/2022
220	ON755253	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI047
221	OP414286	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0242/2022
222	OP310062	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-089836/2022
223	OP837339	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI577
224	OP414359	2022-06-02	Southern Europe	Portugal	Monkeypox/PT0327/2022
225	OP245323	2022-07-27	Southern Europe	Portugal	MPX/PT0069/2022
226	OQ054233	2022-09-01	North America	USA	MPXV_USA_2022_PA0012
227	OP205124	2022-05-26	Western Europe	United Kingdom	MPXV_UK_2022_9000173
228	OP764617	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI559
229	OP257253	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-088081/2022
230	ON676706	2022-05-01	North America	USA	MPXV_USA_2022_UT002
231	OQ054218	2022-09-01	North America	USA	MPXV_USA_2022_GA0019
232	OP879763	2022-07-25	North America	USA	NJ-MPXV-049
233	OP310043	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-086841/2022
234	ON929078	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI123
235	OP615261	2022-07-18	North America	USA	MPX/Human/USA/CA-LACPHL-MA00188/2022
236	ON880509	2022-05-29	North America	Canada	MpxV/human/CAN/UN-NML-3137/2022
237	OP205126	2022-06-26	Western Europe	United Kingdom	MPXV_UK_2022_9000177
238	ON959132	2022-06-01	North America	USA	MPXV_USA_2022_IL003
239	ON843164	2022-05-18	Southern Europe	Portugal	Monkeypox/PT0037/2022
240	OP722515	2022-07-13	North America	USA	MPX/Human/USA/CA-LACPHL-MA00256/2022
241	OQ054230	2022-09-01	North America	USA	MPXV_USA_2022_PA0009
242	OP879732	2022-08-17	North America	USA	NJ-MPXV-012
243	OP587250	2022-07-07	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000021/2022
244	OP484666	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI345
245	OP414379	2022-05-24	Southern Europe	Portugal	Monkeypox/PT0350/2022
246	OP414354	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0322/2022
247	OP120938	2022-06-01	Southern Europe	Spain	MP03CHUAC
248	OP257260	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-087006/2022
249	ON627808	2022-05-20	North America	USA	MPX/human/USA/UT-UPHL-82200022/2022
250	OP536687	2022-06-12	North America	USA	MPXV-USA-IL-IDPH-026
251	OP451016	2022-06-01	North America	USA	MPXV_USA_2022_CA0043
252	ON649708	2022-05-19	Southern Europe	Portugal	Monkeypox/PT0023/2022
253	OP303793	2022-06-01	North America	USA	MPXV_USA_2022_NY0020
254	ON808416	2022-05-15	Western Europe	United Kingdom	CVR_MPXV1d
255	OP687926	2022-07-01	North America	USA	MPXV_USA_2022_AZ0004
256	OP414326	2022-06-10	Southern Europe	Portugal	Monkeypox/PT0291/2022
257	OP324523	2022-06-24	Southern Europe	Portugal	Monkeypox/PT0213/2022
258	OP555518	2022-08-02	Southern Europe	Portugal	Monkeypox/PT0433/2022
259	OQ054247	2022-09-01	North America	USA	MPXV_USA_2022_FL0029
260	OP722501	2022-07-15	North America	USA	MPX/Human/USA/CA-LACPHL-MA00242/2022
261	OP414328	2022-06-14	Southern Europe	Portugal	Monkeypox/PT0293/2022
262	OP414283	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0239/2022
263	OP555493	2022-07-15	Southern Europe	Portugal	Monkeypox/PT0397/2022
264	OP539937	2022-08-17	North America	USA	MPX/Human/USA/CA-LACPHL-MA00151/2022
265	OP215253	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI225
266	OP414361	2022-06-01	Southern Europe	Portugal	Monkeypox/PT0330/2022
267	OP414344	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0310/2022
268	OP414380	2022-05-24	Southern Europe	Portugal	Monkeypox/PT0351/2022
269	OP523993	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI391
270	OP920697	2022-11-05	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00359/2022
271	OP414373	2022-05-25	Southern Europe	Portugal	Monkeypox/PT0344/2022
272	ON843163	2022-05-13	Southern Europe	Portugal	Monkeypox/PT0048/2022
273	ON682270	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI06
274	OX261748	2022-07-13	Central Europe	Slovakia	RNA_6370ga
275	OP339848	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI291
276	OP414331	2022-06-08	Southern Europe	Portugal	Monkeypox/PT0297/2022
277	OP414299	2022-06-19	Southern Europe	Portugal	Monkeypox/PT0258/2022
278	ON622720	2022-05-24	Western Europe	Switzerland	MPXV-CH-38156923/2022
279	OP536691	2022-06-14	North America	USA	MPXV-USA-IL-IDPH-030
280	OP442938	2022-07-01	North America	USA	MpxV/human/USA/OH-UW-071048/2022
281	ON649717	2022-05-21	Southern Europe	Portugal	Monkeypox/PT0019/2022
282	OP245324	2022-07-26	Southern Europe	Portugal	MPX/PT0070/2022
283	OP615263	2022-07-17	North America	USA	MPX/Human/USA/CA-LACPHL-MA00190/2022
284	OP414360	2022-05-31	Southern Europe	Portugal	Monkeypox/PT0328/2022
285	OP555530	2022-08-03	Southern Europe	Portugal	Monkeypox/PT0449/2022
286	OP324518	2022-06-24	Southern Europe	Portugal	Monkeypox/PT0208/2022
287	OP382490	2022-07-20	Western Europe	France	hMPXV-IHU00013
288	OP414336	2022-06-07	Southern Europe	Portugal	Monkeypox/PT0302/2022
289	OP324510	2022-06-28	Southern Europe	Portugal	Monkeypox/PT0197/2022
290	OP748963	2022-10-13	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00277/2022
291	OP605566	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-24-2022
292	OP245313	2022-07-28	Southern Europe	Portugal	MPX/PT0057/2022
293	OP615268	2022-07-20	North America	USA	MPX/Human/USA/CA-LACPHL-MA00195/2022
294	OP539906	2022-09-12	North America	USA	MPX/Human/USA/CA-LACPHL-MA00121/2022
295	ON929083	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI128
296	OP680512	2022-07-12	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00234/2022
297	OP062230	2022-06-22	North America	Canada	MpxV/human/CAN/UN-NML-3864/2022
298	OP324534	2022-06-23	Southern Europe	Portugal	Monkeypox/PT0224/2022
299	OP440594	2022-07-04	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00023/2022
300	OP414384	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0357/2022
301	ON843177	2022-06-02	Southern Europe	Portugal	Monkeypox/PT0047/2022
302	OP689672	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI519
303	OP451013	2022-06-01	North America	USA	MPXV_USA_2022_CA0057
304	OP450992	2022-07-01	North America	USA	MPXV_USA_2022_TN0005
305	OP415281	2022-08-01	Western Europe	United Kingdom	MPX_hSAaEl_9000356
306	ON803421	2022-05-19	North America	Canada	MpxV/human/CAN/UN-NML-2849/2022
307	OP257252	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-085937/2022
308	OP752120	2022-07-01	North America	USA	MPXV_USA_2022_TN0007
309	OP378703	2022-06-01	North America	USA	MPXV_USA_2022_HI0003
310	OP440560	2022-07-26	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00060/2022
311	OP215281	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI262
312	OP752121	2022-07-01	North America	USA	MPXV_USA_2022_TX0028
313	OP555466	2022-07-03	Southern Europe	Portugal	Monkeypox/PT0370/2022
314	ON808415	2022-05-15	Western Europe	United Kingdom	CVR_MPXV1c
315	OP205135	2022-07-06	Western Europe	United Kingdom	MPXV_UK_2022_9000190
316	OP603008	2022-07-01	North America	USA	MPXV_USA_2022_NY0022
317	OP133006	2022-07-06	Western Europe	Austria	hMPXV/Austria/MUW1532243/2022
318	OP415191	2022-07-01	Western Europe	United Kingdom	MPX_IMt4nT_9000212
319	OP303794	2022-06-01	North America	USA	MPXV_USA_2022_NY0023
320	OP555523	2022-08-01	Southern Europe	Portugal	Monkeypox/PT0439/2022
321	OP605582	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-41-2022
322	OP536730	2022-06-28	North America	USA	MPXV-USA-IL-IDPH-069
323	OP523995	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI393
324	ON649715	2022-05-20	Southern Europe	Portugal	Monkeypox/PT0017/2022
325	ON649712	2022-05-19	Southern Europe	Portugal	Monkeypox/PT0025/2022
326	OP715833	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI553
327	OP555499	2022-07-19	Southern Europe	Portugal	Monkeypox/PT0403/2022
328	OP205134	2022-07-06	Western Europe	United Kingdom	MPXV_UK_2022_9000189
329	OP604528	2022-06-01	North America	USA	MPXV_USA_2022_MD0003
330	OP594206	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI442
331	OP415259	2022-08-01	Western Europe	United Kingdom	MPX_VghSe2_9000318
332	OP013015	2022-06-13	North America	Canada	MpxV/human/CAN/UN-NML-3674/2022
333	ON585031	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0003/2022
334	OP415226	2022-08-01	Western Europe	United Kingdom	MPX_k9tr7U_9000256
335	ON880521	2022-05-19	North America	Canada	MpxV/human/CAN/UN-NML-2858/2022
336	ON803435	2022-05-20	North America	Canada	MpxV/human/CAN/UN-NML-2893/2022
337	OP863221	2022-07-05	North America	USA	hMpxV/USA/CA-CDPH-000046/2022
338	OP863258	2022-09-30	Western Europe	Germany	MPXV/Germany/2022/ON/RKI608
339	OP879728	2022-08-05	North America	USA	NJ-MPXV-007-rpt1
340	OP605559	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-17-2022
341	OP715825	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI545
342	OP245316	2022-08-01	Southern Europe	Portugal	MPX/PT0062/2022
343	OP536686	2022-06-09	North America	USA	MPXV-USA-IL-IDPH-025
344	OP555521	2022-08-02	Southern Europe	Portugal	Monkeypox/PT0437/2022
345	OP555464	2022-06-27	Southern Europe	Portugal	Monkeypox/PT0367/2022
346	OP715827	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI547
347	OP879764	2022-07-01	North America	USA	NJ-MPXV-050
348	ON585032	2022-05-17	Southern Europe	Portugal	Monkeypox/PT0004/2022
349	OP310059	2022-08-01	North America	USA	MpxV/human/USA/OH-UW-089521/2022
350	ON843169	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0034/2022
351	OP748947	2022-09-23	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00261/2022
352	OP414302	2022-06-17	Southern Europe	Portugal	Monkeypox/PT0262/2022
353	OP837349	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI587
354	OP414342	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0308/2022
355	OP628464	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-085249/2022
356	OP414374	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0345/2022
357	OP324488	2022-06-30	Southern Europe	Portugal	Monkeypox/PT0173/2022
