	accession	date	region_coarse	strain
386	OP320552	2022-07-06	South America	LIM-INS-012
387	OP320550	2022-07-09	South America	LIM-INS-015
388	OP320551	2022-07-09	South America	LIM-INS-018
389	OP320548	2022-07-01	South America	LIM-INS008
390	OP320555	2022-07-09	South America	LIM-INS-021
391	OP289783	2022-06-27	South America	LIM-INS-003
392	OP642401	2022-09-12	South America	ANT-LDSP-ANT-MPX-24947E
393	OP642404	2022-09-13	South America	ANT-LDSP-ANT-MPX-25258C
394	OP185714	2022-06-27	North America	MPXV_USA_2022_CO0003
395	OP920681	2022-11-10	North America	MPXV/Human/USA/CA-LACPHL-MA00343/2022
396	OP681777	2022-09-18	North America	MpxV/human/USA/WA-UW-092113/2022
397	ON880532	2022-05-30	North America	MpxV/human/CAN/UN-NML-3253/2022
398	ON880519	2022-05-13	North America	MpxV/human/CAN/UN-NML-2833/2022
399	OP279049	2022-07-04	North America	MpxV/human/CAN/UN-NML-4119/2022
400	OP279044	2022-07-02	North America	MpxV/human/CAN/UN-NML-4142/2022
401	OP279040	2022-07-03	North America	MpxV/human/CAN/UN-NML-4122/2022
402	OP279047	2022-07-04	North America	MpxV/human/CAN/UN-NML-4152/2022
403	ON880511	2022-05-30	North America	MpxV/human/CAN/UN-NML-3214/2022
404	OP279033	2022-07-06	North America	MpxV/human/CAN/UN-NML-4094/2022
405	ON983164	2022-06-09	North America	MpxV/human/CAN/UN-NML-3558/2022
406	ON880514	2022-06-04	North America	MpxV/human/CAN/UN-NML-3412/2022
407	ON880513	2022-06-04	North America	MpxV/human/CAN/UN-NML-3407/2022
408	OP390189	2022-06-21	Western Europe	hMpxV/UK/LMO-010a/2022
409	OP279035	2022-07-04	North America	MpxV/human/CAN/UN-NML-4103/2022
410	OP279045	2022-07-04	North America	MpxV/human/CAN/UN-NML-4144/2022
411	ON880515	2022-06-02	North America	MpxV/human/CAN/UN-NML-3467/2022
412	OP279034	2022-07-04	North America	MpxV/human/CAN/UN-NML-4097/2022
413	ON880510	2022-05-31	North America	MpxV/human/CAN/UN-NML-3193/2022
414	OP215260	2022-08-01	Western Europe	MPXV/Germany/2022/RKI236
415	OP450985	2022-06-01	North America	MPXV_USA_2022_TX0019
416	ON720848	2022-05-27	Southern Europe	MpxV/Spain/MD-HGUGM-6513479/2022
417	OP531895	2022-07-18	North America	B969965re
418	OP382489	2022-07-19	Western Europe	hMPXV-IHU00012
419	OP689664	2022-10-01	Western Europe	MPXV/Germany/2022/ON/RKI511
420	OP295382	2022-07-21	South America	INS-MPXV-0015-L1
421	OP459216	2022-08-30	South America	ANT-LDSP-ANT-MPX-23651-L
422	OP459209	2022-08-29	South America	ANT-LDSP-ANT-MPX-23551-O
423	OP642418	2022-09-14	South America	ANT-LDSP-ANT-MPX-25458E
424	OP881930	2022-09-26	South America	ANT-LDSP-ANT-MPX-26237E
425	OP431401	2022-08-17	South America	ANT-LDSP-ANT-MPX-22769-L
426	OP881936	2022-09-26	South America	ANT-LDSP-ANT-MPX-26261O
427	OP642388	2022-09-09	South America	ANT-LDSP-ANT-MPX-24915-L
428	OP693650	2022-08-07	South America	ANT_INS_MPX_0024_L
429	OP477444	2022-08-18	South America	ANT-LDSP-ANT-MPX-22815-L
430	OP477457	2022-08-23	South America	ANT-LDSP-ANT-MPX-23266
431	OP431397	2022-08-16	South America	ANT-LDSP-ANT-MPX-22607-L
432	OP959057	2022-11-10	South America	SUC-UNIMOL-MPX-293401-L
433	OP819958	2022-10-15	South America	QUI_INS_MPX_0967_L
434	OP477447	2022-08-22	South America	ANT-LDSP-ANT-MPX-23062-L
435	OP642373	2022-09-08	South America	ANT-LDSP-ANT-MPX-24717-L
436	OP642379	2022-09-08	South America	ANT-LDSP-ANT-MPX-24713-L
437	ON755255	2022-06-24	Western Europe	MPXV/Germany/2022/RKI049
438	OP205070	2022-06-06	Western Europe	MPXV_UK_2022_9000064
439	OP415272	2022-08-28	Western Europe	MPX_bSkpM3_9000334
440	OP615340	2022-09-06	Western Europe	MPXV/Germany/2022/ON/RKI458
441	OP303790	2022-06-01	North America	MPXV_USA_2022_IL0044
442	OP415183	2022-07-14	Western Europe	MPX_Yob5K4_9000202
443	OP879742	2022-07-08	North America	NJ-MPXV-024
444	OP687939	2022-07-08	North America	MPXV_USA_2022_NY0029
445	OP715817	2022-06-30	Western Europe	MPXV/Germany/2022/RKI537
446	OP205071	2022-06-06	Western Europe	MPXV_UK_2022_9000065
447	ON959153	2022-07-01	Western Europe	MPXV/Germany/2022/RKI165
448	OP727822	2022-10-02	Western Europe	PrEV_case_2
449	OP555476	2022-07-13	Southern Europe	Monkeypox/PT0380/2022
450	OP881948	2022-08-02	North America	MPXV_USA_2022_MD0006
451	OP743366	2022-08-05	North America	MPXV/Human/USA/UT-UPHL-82200236/2022
452	OP205098	2022-07-05	Western Europe	MPXV_UK_2022_9000131
453	OP204840	2022-06-10	Western Europe	PatientMPXV
454	OP324526	2022-06-24	Southern Europe	Monkeypox/PT0216/2022
455	OP324494	2022-06-30	Southern Europe	Monkeypox/PT0179/2022
456	OP205084	2022-05-30	Western Europe	MPXV_UK_2022_9000093
457	OP415199	2022-07-01	Western Europe	MPX_K1dQNt_9000223
458	OP415230	2022-08-01	Western Europe	MPX_dlHLXa_9000261
459	OP415198	2022-07-25	Western Europe	MPX_2v76E1_9000222
460	OP555488	2022-07-13	Southern Europe	Monkeypox/PT0392/2022
461	OP382479	2022-07-01	Western Europe	hMPXV-IHU00002
462	ON792321	2022-06-02	Western Europe	hMpxV/Switzerland/ZH-UZH-IMV-3ba6450e/2022
463	ON755238	2022-06-01	Western Europe	MPXV/Germany/2022/RKI032
464	ON694332	2022-05-30	Western Europe	MPXV/Germany/2022/RKI023
465	ON694338	2022-05-01	Western Europe	MPXV/Germany/2022/RKI017
466	ON929087	2022-07-01	Western Europe	MPXV/Germany/2022/RKI132
467	ON694337	2022-05-28	Western Europe	MPXV/Germany/2022/RKI020
468	OP555635	2022-09-05	Southern Europe	Monkeypox/PT0564/2022
469	OP310054	2022-08-31	North America	MpxV/human/USA/WA-UW-088213/2022
470	OP615330	2022-09-01	Western Europe	MPXV/Germany/2022/ON/RKI456
471	ON929077	2022-07-01	Western Europe	MPXV/Germany/2022/RKI122
472	OP626115	2022-07-01	Western Europe	MPXV/Germany/2022/RKI477
473	OP555553	2022-08-08	Southern Europe	Monkeypox/PT0474/2022
474	ON929064	2022-07-17	Western Europe	MPXV/Germany/2022/RKI106
475	OP484671	2022-09-01	Western Europe	MPXV/Germany/2022/RKI350
476	ON694334	2022-05-31	Western Europe	MPXV/Germany/2022/RKI021
477	OP764614	2022-06-01	Western Europe	MPXV/Germany/2022/RKI556
478	ON808413	2022-05-15	Western Europe	CVR_MPXV1a
479	OP019276	2022-06-21	Western Europe	hMPXV/Austria/MUW1527495/2022
480	ON694331	2022-05-15	Western Europe	MPXV/Germany/2022/RKI015
481	OP594187	2022-09-01	Western Europe	MPXV/Germany/2022/RKI423
482	OP415188	2022-06-07	Western Europe	MPX_dDDHx_9000207
483	OP390192	2022-06-24	Western Europe	hMpxV/UK/LMO-023a/2022
484	ON694339	2022-05-15	Western Europe	MPXV/Germany/2022/RKI016
485	OP626110	2022-07-01	Western Europe	MPXV/Germany/2022/RKI472
486	OP215212	2022-08-29	Western Europe	MPXV/Germany/2022/RKI204
487	ON755240	2022-06-25	Western Europe	MPXV/Germany/2022/RKI034
488	OP245321	2022-07-26	Southern Europe	MPX/PT0067/2022
489	OP555641	2022-09-02	Southern Europe	Monkeypox/PT0570/2022
490	OP555569	2022-08-15	Southern Europe	Monkeypox/PT0494/2022
491	OP414383	2022-05-23	Southern Europe	Monkeypox/PT0356/2022
492	OP727821	2022-08-27	Western Europe	PrEV_case_1
493	ON782054	2022-05-31	Southern Europe	MPXV/Spain/HUNSC_ITER_0001a/2022
494	OP355570	2022-08-01	Western Europe	MPXV/Germany/2022/ON/RKI311
495	ON622722	2022-05-22	Western Europe	MPXV_FR_HCL0001_2022
496	OP555585	2022-08-16	Southern Europe	Monkeypox/PT0514/2022
497	OP555595	2022-08-18	Southern Europe	Monkeypox/PT0524/2022
498	ON792320	2022-06-01	Western Europe	hMpxV/Switzerland/ZH-UZH-IMV-3ba6449f/2022
499	ON755251	2022-06-30	Western Europe	MPXV/Germany/2022/RKI045
500	OP392540	2022-08-01	North America	MpxV/human/USA/WA-UW-082770/2022
501	ON754984	2022-06-01	Central Europe	MPXV_SI2022_S3
502	ON838178	2022-06-01	Central Europe	SI2022_S7
503	OP605552	2022-06-01	Central Europe	Slovenia-MPXV-09-2022
504	OP605551	2022-06-01	Central Europe	Slovenia-MPXV-08-2022
505	ON754986	2022-06-01	Central Europe	MPXV_SI2022_S5
506	OX248696	2022-07-04	Central Europe	RNA_4mcy9n
507	OP270477	2022-08-01	Western Europe	MPXV/Germany/2022/RKI288
508	OP205067	2022-05-27	Western Europe	MPXV_UK_2022_9000061
509	ON782055	2022-05-31	Southern Europe	MPXV/Spain/HUNSC_ITER_0001b/2022
510	ON754985	2022-06-01	Central Europe	MPXV_SI2022_S4
511	OP605568	2022-07-31	Central Europe	Slovenia-MPXV-26-2022
512	OP890549	2022-10-07	North America	MPXV/Human/USA/CA-LACPHL-MA00291/2022
513	OP748966	2022-10-17	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00280/2022
514	ON754987	2022-05-23	Central Europe	MPXV_SI2022_S1_VEROE6
515	ON609725	2022-05-23	Central Europe	SLO
516	OP477448	2022-08-22	South America	ANT-LDSP-ANT-MPX-23106-L
517	OP392532	2022-08-01	North America	MpxV/human/USA/OH-UW-080114/2022
518	ON950045	2022-05-27	Western Europe	MPXV/ITM_pt_31/Belgium/27-May-2022
519	OP144214	2022-06-16	Western Europe	MPXV/ITM_pt_25/Belgium/16-Jun-2022
520	OP144212	2022-06-10	Western Europe	MPXV/ITM_pt_16/Belgium/10-Jun-2022
521	OP605570	2022-07-10	Central Europe	Slovenia-MPXV-28-2022
522	OP605578	2022-07-31	Central Europe	Slovenia-MPXV-36-2022
523	OP605585	2022-08-01	Central Europe	Slovenia-MPXV-44-2022
524	OP605581	2022-08-01	Central Europe	Slovenia-MPXV-40-2022
525	OP484668	2022-09-01	Western Europe	MPXV/Germany/2022/RKI347
526	ON853663	2022-06-01	Western Europe	MPXV/Germany/2022/RKI081
527	OP205112	2022-06-14	Western Europe	MPXV_UK_2022_9000149
528	ON755239	2022-06-19	Western Europe	MPXV/Germany/2022/RKI033
529	OP150927	2022-05-20	North America	MPXV_USA_2022_WA001
530	OP959059	2022-10-27	South America	BOL-UNIMOL-MPX-293420-L
531	OP205082	2022-06-15	Western Europe	MPXV_UK_2022_9000079
532	OP415180	2022-07-01	Western Europe	MPX_CJjutN_9000198
533	OP205138	2022-07-06	Western Europe	MPXV_UK_2022_9000195
534	OP205087	2022-06-09	Western Europe	MPXV_UK_2022_9000099
535	OP205080	2022-06-09	Western Europe	MPXV_UK_2022_9000076
536	OP205072	2022-06-07	Western Europe	MPXV_UK_2022_9000066
537	ON929074	2022-07-01	Western Europe	MPXV/Germany/2022/RKI119
538	OP205089	2022-06-09	Western Europe	MPXV_UK_2022_9000101
539	OP555557	2022-08-08	Southern Europe	Monkeypox/PT0478/2022
540	OP536679	2022-07-07	North America	MPXV-USA-IL-IDPH-018
541	OP580597	2022-09-22	North America	hMPX/USA/CA-LACPHL-MA00164/2022
542	OP881946	2022-09-05	North America	MPXV_USA_2022_FL0027
543	OP920694	2022-10-14	North America	MPXV/Human/USA/CA-LACPHL-MA00356/2022
544	OP415251	2022-08-01	Western Europe	MPX_eobXCZ_9000296
545	OP480417	2022-08-28	North America	hMPXV/USA/NC-UNC-0018/2022
546	OP605583	2022-08-21	Central Europe	Slovenia-MPXV-42-2022
547	OP415234	2022-08-31	Western Europe	MPX_L6rBi6_9000265
548	OQ054228	2022-09-18	North America	MPXV_USA_2022_NY0027
549	OP959061	2022-10-11	South America	BOL-UNIMOL-MPX-293613-L
550	OP959060	2022-10-29	South America	BOL-UNIMOL-MPX-293428-L
551	OP205073	2022-06-08	Western Europe	MPXV_UK_2022_9000067
552	OP440554	2022-07-26	North America	hMPX/Human/USA/CA-LACPHL-MA00058/2022
553	ON929090	2022-07-31	Western Europe	MPXV/Germany/2022/RKI135
554	OP650030	2022-09-06	North America	MPXV22/human/USA-OK-270
555	OP890537	2022-09-29	North America	MPXV/Human/USA/CA-LACPHL-MA00303/2022
556	OP935997	2022-11-09	North America	B1221120
557	OP935996	2022-11-08	North America	B1221119
558	OP890546	2022-10-04	North America	MPXV/Human/USA/CA-LACPHL-MA00288/2022
559	OP890548	2022-10-02	North America	MPXV/Human/USA/CA-LACPHL-MA00290/2022
