strain_region_coarse_date	accession	date	region_coarse	strain
MPX/UZ_REGA_6/Belgium/2022_WesternEurope_2022-05-27	ON880422	2022-05-27	Western Europe	MPX/UZ_REGA_6/Belgium/2022
Monkeypox/PT0011/2022_SouthernEurope_2022-05-23	ON649725	2022-05-23	Southern Europe	Monkeypox/PT0011/2022
MpxV/human/CAN/UN-NML-3702/2022_NorthAmerica_2022-06-15	ON983166	2022-06-15	North America	MpxV/human/CAN/UN-NML-3702/2022
MpxV/human/CAN/UN-NML-2896/2022_NorthAmerica_2022-05-20	ON803437	2022-05-20	North America	MpxV/human/CAN/UN-NML-2896/2022
CVR_MPXV1b_WesternEurope_2022-05-15	ON808414	2022-05-15	Western Europe	CVR_MPXV1b
hMPXV-IHU00005_WesternEurope_2022-07-04	OP382482	2022-07-04	Western Europe	hMPXV-IHU00005
hMPXV-IHU00003_WesternEurope_2022-07-04	OP382480	2022-07-04	Western Europe	hMPXV-IHU00003
MPXV/Germany/2022/RKI172_WesternEurope_2022-07-01	OP018597	2022-07-01	Western Europe	MPXV/Germany/2022/RKI172
MPX_96X1Vd_9000217_WesternEurope_2022-03-28	OP415195	2022-03-28	Western Europe	MPX_96X1Vd_9000217
MPXV_UK_2022_9000152_WesternEurope_2022-05-16	OP205114	2022-05-16	Western Europe	MPXV_UK_2022_9000152
MPX/UZ_REGA_3/Belgium/2022_WesternEurope_2022-05-27	ON880419	2022-05-27	Western Europe	MPX/UZ_REGA_3/Belgium/2022
MPXV/Germany/2022/RKI513_WesternEurope_2022-06-01	OP689666	2022-06-01	Western Europe	MPXV/Germany/2022/RKI513
MpxV/human/CAN/UN-NML-3127/2022_NorthAmerica_2022-05-30	ON880508	2022-05-30	North America	MpxV/human/CAN/UN-NML-3127/2022
MPXV_USA_2022_IL001_NorthAmerica_2022-05-01	ON959131	2022-05-01	North America	MPXV_USA_2022_IL001
MPXV_IRBA22-14_WesternEurope_2022-05-20	ON755040	2022-05-20	Western Europe	MPXV_IRBA22-14
MPXV_UK_2022_9000090_WesternEurope_2022-05-25	OP205139	2022-05-25	Western Europe	MPXV_UK_2022_9000090
MPX/UZ_REGA_4/Belgium/2022_WesternEurope_2022-05-27	ON880420	2022-05-27	Western Europe	MPX/UZ_REGA_4/Belgium/2022
MPXV_USA_2022_CA001_NorthAmerica_2022-05-01	ON676703	2022-05-01	North America	MPXV_USA_2022_CA001
Monkeypox/PT0012/2022_SouthernEurope_2022-05-23	ON649719	2022-05-23	Southern Europe	Monkeypox/PT0012/2022
MPXV/Germany/2022/RKI087_WesternEurope_2022-06-01	ON853654	2022-06-01	Western Europe	MPXV/Germany/2022/RKI087
MpxV/human/CAN/UN-NML-3472/2022_NorthAmerica_2022-06-02	ON880516	2022-06-02	North America	MpxV/human/CAN/UN-NML-3472/2022
CVR_MPXV1e_WesternEurope_2022-05-15	ON808417	2022-05-15	Western Europe	CVR_MPXV1e
MPX/UZ_REGA_5/Belgium/2022_WesternEurope_2022-05-27	ON880421	2022-05-27	Western Europe	MPX/UZ_REGA_5/Belgium/2022
MPX/human/USA/UT-UPHL-82200022/2022_NorthAmerica_2022-05-20	ON627808	2022-05-20	North America	MPX/human/USA/UT-UPHL-82200022/2022
MPXV/Human/USA/CA-LACPHL-MA00354/2022_NorthAmerica_2022-10-16	OP920692	2022-10-16	North America	MPXV/Human/USA/CA-LACPHL-MA00354/2022
MPXV/Human/USA/CA-LACPHL-MA00358/2022_NorthAmerica_2022-11-05	OP920696	2022-11-05	North America	MPXV/Human/USA/CA-LACPHL-MA00358/2022
INS-MPXV-0016-H1_SouthAmerica_2022-07-29	OP295383	2022-07-29	South America	INS-MPXV-0016-H1
hMpxV/UK/LMO-034a/2022_WesternEurope_2022-07-14	OP390199	2022-07-14	Western Europe	hMpxV/UK/LMO-034a/2022
MpxV/human/USA/WA-UW-084325/2022_NorthAmerica_2022-08-01	OP257261	2022-08-01	North America	MpxV/human/USA/WA-UW-084325/2022
MPXV_USA_2022_FL002_NorthAmerica_2022-05-15	ON676704	2022-05-15	North America	MPXV_USA_2022_FL002
CVR_MPXV1c_WesternEurope_2022-05-15	ON808415	2022-05-15	Western Europe	CVR_MPXV1c
Slovenia-MPXV-17-2022_CentralEurope_2022-07-01	OP605559	2022-07-01	Central Europe	Slovenia-MPXV-17-2022
hMpxV/UK/LMO-032a/2022_WesternEurope_2022-07-11	OP390197	2022-07-11	Western Europe	hMpxV/UK/LMO-032a/2022
MPXV/Germany/2022/RKI161_WesternEurope_2022-07-01	ON959174	2022-07-01	Western Europe	MPXV/Germany/2022/RKI161
MPXV-USA-IL-IDPH-022_NorthAmerica_2022-06-01	OP536683	2022-06-01	North America	MPXV-USA-IL-IDPH-022
Monkeypox/PT0455/2022_SouthernEurope_2022-08-04	OP555536	2022-08-04	Southern Europe	Monkeypox/PT0455/2022
Monkeypox/PT0317/2022_SouthernEurope_2022-06-06	OP414349	2022-06-06	Southern Europe	Monkeypox/PT0317/2022
hMpxV/UK/LMO-040a/2022_WesternEurope_2022-07-17	OP390202	2022-07-17	Western Europe	hMpxV/UK/LMO-040a/2022
MPX/PT0085/2022_SouthernEurope_2022-07-21	OP245336	2022-07-21	Southern Europe	MPX/PT0085/2022
MPXV_USA_2022_UT001_NorthAmerica_2022-05-01	ON676705	2022-05-01	North America	MPXV_USA_2022_UT001
Monkeypox/PT0398/2022_SouthernEurope_2022-07-15	OP555494	2022-07-15	Southern Europe	Monkeypox/PT0398/2022
MPX/PT0109/2022_SouthernEurope_2022-07-18	OP245343	2022-07-18	Southern Europe	MPX/PT0109/2022
Slovenia-MPXV-43-2022_CentralEurope_2022-08-01	OP605584	2022-08-01	Central Europe	Slovenia-MPXV-43-2022
MPXV/Germany/2022/RKI549_WesternEurope_2022-06-01	OP715829	2022-06-01	Western Europe	MPXV/Germany/2022/RKI549
PrEV_case_4_WesternEurope_2022-10-09	OP727823	2022-10-09	Western Europe	PrEV_case_4
MpxV/human/CAN/UN-NML-3272/2022_NorthAmerica_2022-05-31	ON880536	2022-05-31	North America	MpxV/human/CAN/UN-NML-3272/2022
MPXV-USA-IL-IDPH-066_NorthAmerica_2022-06-28	OP536727	2022-06-28	North America	MPXV-USA-IL-IDPH-066
hMPXV-IHU00017_WesternEurope_2022-07-22	OP382494	2022-07-22	Western Europe	hMPXV-IHU00017
RNA_CentralEurope_2022-08-26	OX336004	2022-08-26	Central Europe	RNA
Monkeypox/PT0139/2022_SouthernEurope_2022-07-11	OP324460	2022-07-11	Southern Europe	Monkeypox/PT0139/2022
hMPXV-IHU00014_WesternEurope_2022-07-22	OP382491	2022-07-22	Western Europe	hMPXV-IHU00014
Monkeypox/PT0332/2022_SouthernEurope_2022-05-27	OP414363	2022-05-27	Southern Europe	Monkeypox/PT0332/2022
MPX_o3VuSh_9000348_WesternEurope_2022-08-01	OP415275	2022-08-01	Western Europe	MPX_o3VuSh_9000348
Monkeypox/PT0449/2022_SouthernEurope_2022-08-03	OP555530	2022-08-03	Southern Europe	Monkeypox/PT0449/2022
Monkeypox/PT0315/2022_SouthernEurope_2022-06-03	OP414348	2022-06-03	Southern Europe	Monkeypox/PT0315/2022
hMPXV-IHU00013_WesternEurope_2022-07-20	OP382490	2022-07-20	Western Europe	hMPXV-IHU00013
MpxV/human/CAN/UN-NML-3864/2022_NorthAmerica_2022-06-22	OP062230	2022-06-22	North America	MpxV/human/CAN/UN-NML-3864/2022
MpxV/human/CAN/UN-NML-3080/2022_NorthAmerica_2022-05-26	ON880524	2022-05-26	North America	MpxV/human/CAN/UN-NML-3080/2022
MpxV/human/CAN/UN-NML-3348/2022_NorthAmerica_2022-05-31	ON880542	2022-05-31	North America	MpxV/human/CAN/UN-NML-3348/2022
MPXV_UK_2022_9000142_WesternEurope_2022-06-15	OP205105	2022-06-15	Western Europe	MPXV_UK_2022_9000142
Monkeypox/PT0047/2022_SouthernEurope_2022-06-02	ON843177	2022-06-02	Southern Europe	Monkeypox/PT0047/2022
Monkeypox/PT0589/2022_SouthernEurope_2022-08-24	OP555657	2022-08-24	Southern Europe	Monkeypox/PT0589/2022
MPXV/Germany/2022/RKI07_WesternEurope_2022-05-01	ON682269	2022-05-01	Western Europe	MPXV/Germany/2022/RKI07
MPX_k9tr7U_9000256_WesternEurope_2022-08-01	OP415226	2022-08-01	Western Europe	MPX_k9tr7U_9000256
MPXV/Germany/2022/RKI06_WesternEurope_2022-05-01	ON682270	2022-05-01	Western Europe	MPXV/Germany/2022/RKI06
MPXV_UK_2022_9000069_WesternEurope_2022-06-11	OP205075	2022-06-11	Western Europe	MPXV_UK_2022_9000069
MpxV/human/USA/WA-UW-099881/2022_NorthAmerica_2022-09-30	OP743969	2022-09-30	North America	MpxV/human/USA/WA-UW-099881/2022
MPX/Human/USA/CA-LACPHL-MA00256/2022_NorthAmerica_2022-07-13	OP722515	2022-07-13	North America	MPX/Human/USA/CA-LACPHL-MA00256/2022
hMPXV-CH-38212023/2022_WesternEurope_2022-05-30	OP422245	2022-05-30	Western Europe	hMPXV-CH-38212023/2022
INMI-Pt1_SouthernEurope_2022-05-18	ON614676	2022-05-18	Southern Europe	INMI-Pt1
Monkeypox/PT0576/2022_SouthernEurope_2022-09-05	OP555647	2022-09-05	Southern Europe	Monkeypox/PT0576/2022
MPX_96X1Vd_9000216_WesternEurope_2022-03-28	OP415194	2022-03-28	Western Europe	MPX_96X1Vd_9000216
MPXV/Human/USA/CA-LACPHL-MA00350/2022_NorthAmerica_2022-10-11	OP920688	2022-10-11	North America	MPXV/Human/USA/CA-LACPHL-MA00350/2022
MpxV/human/USA/WA-UW-080994/2022_NorthAmerica_2022-08-01	OP628440	2022-08-01	North America	MpxV/human/USA/WA-UW-080994/2022
MPXV/Human/USA/CA-LACPHL-MA00298/2022_NorthAmerica_2022-09-30	OP890532	2022-09-30	North America	MPXV/Human/USA/CA-LACPHL-MA00298/2022
MPXV/Human/USA/UT-UPHL-82200022/2022_NorthAmerica_2022-05-21	OP743357	2022-05-21	North America	MPXV/Human/USA/UT-UPHL-82200022/2022
INMI-Pt3_SouthernEurope_2022-05-19	ON780016	2022-05-19	Southern Europe	INMI-Pt3
ANT-LDSP-ANT-MPX-24387-C_SouthAmerica_2022-09-06	OP642390	2022-09-06	South America	ANT-LDSP-ANT-MPX-24387-C
Monkeypox/PT0217/2022_SouthernEurope_2022-06-23	OP324527	2022-06-23	Southern Europe	Monkeypox/PT0217/2022
MpxV/human/CAN/UN-NML-3909/2022_NorthAmerica_2022-06-27	OP062232	2022-06-27	North America	MpxV/human/CAN/UN-NML-3909/2022
MpxV/Spain/MD-HGUGM-66649483/2022_SouthernEurope_2022-05-27	ON745225	2022-05-27	Southern Europe	MpxV/Spain/MD-HGUGM-66649483/2022
Slovenia-MPXV-16-2022_CentralEurope_2022-07-01	OP605558	2022-07-01	Central Europe	Slovenia-MPXV-16-2022
MPXV/Human/USA/CA-CDPH-MPX000019/2022_NorthAmerica_2022-07-08	OP587248	2022-07-08	North America	MPXV/Human/USA/CA-CDPH-MPX000019/2022
Monkeypox/PT0148/2022_SouthernEurope_2022-07-07	OP324465	2022-07-07	Southern Europe	Monkeypox/PT0148/2022
MN-MDH-MPXV_0006_NorthAmerica_2022-06-29	OP597780	2022-06-29	North America	MN-MDH-MPXV_0006
MPXV_UK_2022_2_WesternEurope_2022-05-15	ON619836	2022-05-15	Western Europe	MPXV_UK_2022_2
MPXV_USA_2022_UT002_NorthAmerica_2022-05-01	ON676706	2022-05-01	North America	MPXV_USA_2022_UT002
hMPXV-IHU00010_WesternEurope_2022-07-18	OP382487	2022-07-18	Western Europe	hMPXV-IHU00010
MPXV/Human/USA/CA-CDPH-MPX000007/2022_NorthAmerica_2022-06-21	OP580155	2022-06-21	North America	MPXV/Human/USA/CA-CDPH-MPX000007/2022
Monkeypox/PT0588/2022_SouthernEurope_2022-08-16	OP555656	2022-08-16	Southern Europe	Monkeypox/PT0588/2022
MpxV/human/CAN/UN-NML-2853/2022_NorthAmerica_2022-05-19	ON803425	2022-05-19	North America	MpxV/human/CAN/UN-NML-2853/2022
MPXV_USA_2022_MN0005_NorthAmerica_2022-06-01	OP451004	2022-06-01	North America	MPXV_USA_2022_MN0005
MPXV/Germany/2022/RKI593_WesternEurope_2022-10-01	OP837355	2022-10-01	Western Europe	MPXV/Germany/2022/RKI593
MpxV/human/CAN/UN-NML-3141/2022_NorthAmerica_2022-05-27	ON880527	2022-05-27	North America	MpxV/human/CAN/UN-NML-3141/2022
MPX/PT0049/2022_SouthernEurope_2022-08-01	OP245306	2022-08-01	Southern Europe	MPX/PT0049/2022
Slovenia-MPXV-41-2022_CentralEurope_2022-08-01	OP605582	2022-08-01	Central Europe	Slovenia-MPXV-41-2022
Slovenia-MPXV-27-2022_CentralEurope_2022-07-01	OP605569	2022-07-01	Central Europe	Slovenia-MPXV-27-2022
MPXV-CH-38156923/2022_WesternEurope_2022-05-24	ON622720	2022-05-24	Western Europe	MPXV-CH-38156923/2022
MPXV/Human/USA/CA-CDPH-MPX000021/2022_NorthAmerica_2022-07-07	OP587250	2022-07-07	North America	MPXV/Human/USA/CA-CDPH-MPX000021/2022
MPX_1bN2W6_9000324_WesternEurope_2022-08-01	OP415263	2022-08-01	Western Europe	MPX_1bN2W6_9000324
MPXV_USA_2022_CO0002_NorthAmerica_2022-05-01	OP185715	2022-05-01	North America	MPXV_USA_2022_CO0002
MpxV/human/CAN/UN-NML-3344/2022_NorthAmerica_2022-06-01	ON880541	2022-06-01	North America	MpxV/human/CAN/UN-NML-3344/2022
Monkeypox/PT0025/2022_SouthernEurope_2022-05-19	ON649712	2022-05-19	Southern Europe	Monkeypox/PT0025/2022
INMI-Pt2_SouthernEurope_2022-05-19	ON745215	2022-05-19	Southern Europe	INMI-Pt2
Monkeypox/PT0342/2022_SouthernEurope_2022-05-26	OP414371	2022-05-26	Southern Europe	Monkeypox/PT0342/2022
MPXV/Germany/2022/RKI03_WesternEurope_2022-05-01	ON682263	2022-05-01	Western Europe	MPXV/Germany/2022/RKI03
2022/2SLO_CentralEurope_2022-05-24	ON631241	2022-05-24	Central Europe	2022/2 SLO
Slovenia-MPXV-29-2022_CentralEurope_2022-07-01	OP605571	2022-07-01	Central Europe	Slovenia-MPXV-29-2022
MPXV/Germany/2022/RKI444_WesternEurope_2022-09-01	OP594208	2022-09-01	Western Europe	MPXV/Germany/2022/RKI444
MPXV/Germany/2022/RKI425_WesternEurope_2022-09-01	OP594189	2022-09-01	Western Europe	MPXV/Germany/2022/RKI425
Monkeypox/PT0344/2022_SouthernEurope_2022-05-25	OP414373	2022-05-25	Southern Europe	Monkeypox/PT0344/2022
MPX_96X1Vd_9000218_WesternEurope_2022-03-28	OP415196	2022-03-28	Western Europe	MPX_96X1Vd_9000218
MPXV/Germany/2022/RKI242_WesternEurope_2022-08-01	OP215227	2022-08-01	Western Europe	MPXV/Germany/2022/RKI242
MPXV/Germany/2022/ON/RKI447_WesternEurope_2022-09-01	OP615323	2022-09-01	Western Europe	MPXV/Germany/2022/ON/RKI447
MpxV/human/CAN/UN-NML-2954/2022_NorthAmerica_2022-05-22	ON803440	2022-05-22	North America	MpxV/human/CAN/UN-NML-2954/2022
MPXV/Germany/2022/RKI338_WesternEurope_2022-07-01	OP696841	2022-07-01	Western Europe	MPXV/Germany/2022/RKI338
Slovenia-MPXV-25-2022_CentralEurope_2022-07-01	OP605567	2022-07-01	Central Europe	Slovenia-MPXV-25-2022
MPXV/Germany/2022/RKI041_WesternEurope_2022-06-07	ON755247	2022-06-07	Western Europe	MPXV/Germany/2022/RKI041
MPXV-USA-IL-IDPH-014_NorthAmerica_2022-07-05	OP536675	2022-07-05	North America	MPXV-USA-IL-IDPH-014
Slovenia-MPXV-33-2022_CentralEurope_2022-07-01	OP605575	2022-07-01	Central Europe	Slovenia-MPXV-33-2022
MPXV_USA_2022_NY003_NorthAmerica_2022-05-01	ON959134	2022-05-01	North America	MPXV_USA_2022_NY003
MPXV_UK_2022_4_WesternEurope_2022-05-15	ON619838	2022-05-15	Western Europe	MPXV_UK_2022_4
RNA_vsay6o_CentralEurope_2022-07-13	OX261748	2022-07-13	Central Europe	RNA_vsay6o
Slovenia-MPXV-23-2022_CentralEurope_2022-07-01	OP605565	2022-07-01	Central Europe	Slovenia-MPXV-23-2022
MPXV_UK_2022_9000173_WesternEurope_2022-05-26	OP205124	2022-05-26	Western Europe	MPXV_UK_2022_9000173
Monkeypox/PT0044/2022_SouthernEurope_2022-05-30	ON843182	2022-05-30	Southern Europe	Monkeypox/PT0044/2022
MPXV/Human/USA/UT-UPHL-82200023/2022_NorthAmerica_2022-05-21	OP743358	2022-05-21	North America	MPXV/Human/USA/UT-UPHL-82200023/2022
MPXV/Germany/2022/RKI05_WesternEurope_2022-05-01	ON682264	2022-05-01	Western Europe	MPXV/Germany/2022/RKI05
Monkeypox/PT0340/2022_SouthernEurope_2022-05-26	OP414369	2022-05-26	Southern Europe	Monkeypox/PT0340/2022
MpxV/human/CAN/UN-NML-3357/2022_NorthAmerica_2022-06-02	ON880543	2022-06-02	North America	MpxV/human/CAN/UN-NML-3357/2022
MpxV/human/USA/WA-UW-089836/2022_NorthAmerica_2022-08-01	OP310062	2022-08-01	North America	MpxV/human/USA/WA-UW-089836/2022
Monkeypox/PT0032/2022_SouthernEurope_2022-05-26	ON843168	2022-05-26	Southern Europe	Monkeypox/PT0032/2022
MpxV/human/CAN/UN-NML-2844/2022_NorthAmerica_2022-05-14	ON803419	2022-05-14	North America	MpxV/human/CAN/UN-NML-2844/2022
MPXV-CH-38134631/2022_WesternEurope_2022-05-19	ON595760	2022-05-19	Western Europe	MPXV-CH-38134631/2022
Slovenia-MPXV-24-2022_CentralEurope_2022-07-01	OP605566	2022-07-01	Central Europe	Slovenia-MPXV-24-2022
Slovenia-MPXV-11-2022_CentralEurope_2022-07-01	OP605554	2022-07-01	Central Europe	Slovenia-MPXV-11-2022
MPX/PT0120/2022_SouthernEurope_2022-07-13	OP245353	2022-07-13	Southern Europe	MPX/PT0120/2022
RNA_6f81vv_CentralEurope_2022-08-09	OX297403	2022-08-09	Central Europe	RNA_6f81vv
RNA_pyesyu_CentralEurope_2022-07-20	OX261749	2022-07-20	Central Europe	RNA_pyesyu
Monkeypox/PT0341/2022_SouthernEurope_2022-05-27	OP414370	2022-05-27	Southern Europe	Monkeypox/PT0341/2022
Monkeypox/PT0010/2022_SouthernEurope_2022-05-15	ON585036	2022-05-15	Southern Europe	Monkeypox/PT0010/2022
MPXV/Germany/2022/ON/RKI510_WesternEurope_2022-10-01	OP689663	2022-10-01	Western Europe	MPXV/Germany/2022/ON/RKI510
MPXV/Germany/2022/RKI195_WesternEurope_2022-08-01	OP215237	2022-08-01	Western Europe	MPXV/Germany/2022/RKI195
hMPXV/Austria/MUW1540386/2022_WesternEurope_2022-08-08	OP422343	2022-08-08	Western Europe	hMPXV/Austria/MUW1540386/2022
hMPXV/Austria/MUW1533948/2022_WesternEurope_2022-07-13	OP422340	2022-07-13	Western Europe	hMPXV/Austria/MUW1533948/2022
MPXV/Germany/2022/RKI243_WesternEurope_2022-08-01	OP215206	2022-08-01	Western Europe	MPXV/Germany/2022/RKI243
MpxV/Spain/MD-HGUGM-6642566/2022_SouthernEurope_2022-06-21	ON927243	2022-06-21	Southern Europe	MpxV/Spain/MD-HGUGM-6642566/2022
Monkeypox/PT0307/2022_SouthernEurope_2022-06-07	OP414341	2022-06-07	Southern Europe	Monkeypox/PT0307/2022
Monkeypox/PT0241/2022_SouthernEurope_2022-06-21	OP414285	2022-06-21	Southern Europe	Monkeypox/PT0241/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00218/2022_NorthAmerica_2022-10-05	OP680496	2022-10-05	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00218/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00211/2022_NorthAmerica_2022-09-30	OP680489	2022-09-30	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00211/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00264/2022_NorthAmerica_2022-09-07	OP748950	2022-09-07	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00264/2022
MPXV/Human/USA/CA-CDPH-MPX000009/2022_NorthAmerica_2022-06-30	OP580156	2022-06-30	North America	MPXV/Human/USA/CA-CDPH-MPX000009/2022
Monkeypox/PT0591/2022_SouthernEurope_2022-09-13	OP555658	2022-09-13	Southern Europe	Monkeypox/PT0591/2022
Monkeypox/PT0136/2022_SouthernEurope_2022-07-10	OP324459	2022-07-10	Southern Europe	Monkeypox/PT0136/2022
MPXV/Germany/2022/ON/RKI450_WesternEurope_2022-09-01	OP615327	2022-09-01	Western Europe	MPXV/Germany/2022/ON/RKI450
MPXV/Germany/2022/ON/RKI316_WesternEurope_2022-09-01	OP494263	2022-09-01	Western Europe	MPXV/Germany/2022/ON/RKI316
Monkeypox/PT0593/2022_SouthernEurope_2022-09-14	OP555660	2022-09-14	Southern Europe	Monkeypox/PT0593/2022
MPXV/Germany/2022/RKI367_WesternEurope_2022-09-30	OP484688	2022-09-30	Western Europe	MPXV/Germany/2022/RKI367
Slovenia-MPXV-32-2022_CentralEurope_2022-07-25	OP605574	2022-07-25	Central Europe	Slovenia-MPXV-32-2022
