accession	strain_country_date
ON880525	MpxV/human/CAN/UN-NML-3086/2022_Canada_2022-05-25	accession
OP205074	MPXV_UK_2022_9000068_UnitedKingdom_2022-06-07	accession
ON880531	MpxV/human/CAN/UN-NML-3165/2022_Canada_2022-05-29	accession
OP415196	MPX_96X1Vd_9000218_UnitedKingdom_2022-03-28	accession
ON676704	MPXV_USA_2022_FL002_USA_2022-05-16	accession
OP414375	Monkeypox/PT0346/2022_Portugal_2022-05-26	accession
OP603008	MPXV_USA_2022_NY0022_USA_2022-07-01	accession
OP150926	MPXV_USA_2022_PA001_USA_2022-05-01	accession
OP270028	MpxV/human/CAN/UN-NML-4038/2022_Canada_2022-07-07	accession
OP555526	Monkeypox/PT0445/2022_Portugal_2022-08-03	accession
OP414379	Monkeypox/PT0350/2022_Portugal_2022-05-24	accession
OP414361	Monkeypox/PT0330/2022_Portugal_2022-06-01	accession
OP215204	MPXV/Germany/2022/RKI188_Germany_2022-08-01	accession
OQ159050	MPXV/Germany/2022/ON/RKI655_Germany_2022-08-01	accession
OP422245	hMPXV-CH-38212023/2022_Switzerland_2022-05-30	accession
OP120937	MP01CHUAC_Spain_2022-05-01	accession
OP687934	MPXV_USA_2022_MN0007_USA_2022-08-01	accession
OP604522	MPXV_USA_2022_PA0008_USA_2022-06-01	accession
OP378703	MPXV_USA_2022_HI0003_USA_2022-06-01	accession
OP414369	Monkeypox/PT0340/2022_Portugal_2022-05-26	accession
ON649717	Monkeypox/PT0019/2022_Portugal_2022-05-21	accession
ON682264	MPXV/Germany/2022/RKI05_Germany_2022-05-01	accession
OP415281	MPX_hSAaEl_9000356_UnitedKingdom_2022-08-01	accession
OP440555	hMPX/Human/USA/CA-LACPHL-MA00047/2022_USA_2022-07-25	accession
ON694341	MPXV/Germany/2022/RKI012_Germany_2022-05-01	accession
OP605575	Slovenia-MPXV-33-2022_Slovenia_2022-07-01	accession
ON745215	INMI-Pt2_Italy_2022-05-19	accession
OP722515	MPX/Human/USA/CA-LACPHL-MA00256/2022_USA_2022-07-13	accession
OP414332	Monkeypox/PT0298/2022_Portugal_2022-06-08	accession
OP324465	Monkeypox/PT0148/2022_Portugal_2022-07-07	accession
OP382495	hMPXV-IHU00018_France_2022-07-22	accession
ON803444	MpxV/human/CAN/UN-NML-2969/2022_Canada_2022-05-24	accession
ON682270	MPXV/Germany/2022/RKI06_Germany_2022-05-01	accession
OP392536	MpxV/human/USA/WA-UW-080292/2022_USA_2022-08-01	accession
ON622720	MPXV-CH-38156923/2022_Switzerland_2022-05-24	accession
OP605580	Slovenia-MPXV-39-2022_Slovenia_2022-08-01	accession
OP605558	Slovenia-MPXV-16-2022_Slovenia_2022-07-01	accession
OP555524	Monkeypox/PT0442/2022_Portugal_2022-08-03	accession
ON880524	MpxV/human/CAN/UN-NML-3080/2022_Canada_2022-05-26	accession
OP743357	MPXV/Human/USA/UT-UPHL-82200022/2022_USA_2022-05-21	accession
OP837355	MPXV/Germany/2022/RKI593_Germany_2022-10-01	accession
OP205125	MPXV_UK_2022_9000175_UnitedKingdom_2022-06-24	accession
OP451013	MPXV_USA_2022_CA0057_USA_2022-06-01	accession
ON585033	Monkeypox/PT0006/2022_Portugal_2022-05-15	accession
OP414381	Monkeypox/PT0354/2022_Portugal_2022-05-23	accession
OP555499	Monkeypox/PT0403/2022_Portugal_2022-07-19	accession
OP414360	Monkeypox/PT0328/2022_Portugal_2022-05-31	accession
OP390199	hMpxV/UK/LMO-034a/2022_UnitedKingdom_2022-07-14	accession
ON585035	Monkeypox/PT0009/2022_Portugal_2022-05-15	accession
ON880520	MpxV/human/CAN/UN-NML-2857/2022_Canada_2022-05-19	accession
ON803426	MpxV/human/CAN/UN-NML-2856/2022_Canada_2022-05-19	accession
OP680510	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00232/2022_USA_2022-07-15	accession
ON645312	MPXV_GSTT_Patient1_UnitedKingdom_2022-05-11	accession
OP715827	MPXV/Germany/2022/RKI547_Germany_2022-06-01	accession
ON843180	Monkeypox/PT0042/2022_Portugal_2022-06-03	accession
OP415194	MPX_96X1Vd_9000216_UnitedKingdom_2022-03-28	accession
OP727820	PEV_case_Belgium_2022-07-29	accession
OQ121019	hMpxV/USA/CA-CDPH-1000065/2022_USA_2022-07-12	accession
OP414365	Monkeypox/PT0335/2022_Portugal_2022-05-29	accession
OP555660	Monkeypox/PT0593/2022_Portugal_2022-09-14	accession
OP555648	Monkeypox/PT0577/2022_Portugal_2022-09-09	accession
OP727823	PrEV_case_4_Belgium_2022-10-09	accession
ON803440	MpxV/human/CAN/UN-NML-2954/2022_Canada_2022-05-22	accession
OP605563	Slovenia-MPXV-21-2022_Slovenia_2022-07-01	accession
OP414337	Monkeypox/PT0303/2022_Portugal_2022-06-07	accession
ON619835	MPXV_UK_2022_1_UnitedKingdom_2022-05-01	accession
OQ330979	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00387/2022_USA_2022-12-05	accession
OP324543	Monkeypox/PT0235/2022_Portugal_2022-06-21	accession
OP536695	MPXV-USA-IL-IDPH-034_USA_2022-06-16	accession
ON627808	MPX/human/USA/UT-UPHL-82200022/2022_USA_2022-05-20	accession
ON676706	MPXV_USA_2022_UT002_USA_2022-05-01	accession
OP450994	MPXV_USA_2022_IL0045_USA_2022-06-01	accession
OP215236	MPXV/Germany/2022/RKI194_Germany_2022-08-01	accession
OP382490	hMPXV-IHU00013_France_2022-07-20	accession
OP245328	MPX/PT0074/2022_Portugal_2022-07-27	accession
OP555555	Monkeypox/PT0476/2022_Portugal_2022-08-09	accession
OP414364	Monkeypox/PT0333/2022_Portugal_2022-05-27	accession
OP205134	MPXV_UK_2022_9000189_UnitedKingdom_2022-07-06	accession
OP555470	Monkeypox/PT0374/2022_Portugal_2022-07-07	accession
ON959174	MPXV/Germany/2022/RKI161_Germany_2022-07-01	accession
OP215220	MPXV/Germany/2022/RKI224_Germany_2022-08-01	accession
OP605559	Slovenia-MPXV-17-2022_Slovenia_2022-07-01	accession
OP324532	Monkeypox/PT0222/2022_Portugal_2022-06-24	accession
OP605571	Slovenia-MPXV-29-2022_Slovenia_2022-07-01	accession
OP414372	Monkeypox/PT0343/2022_Portugal_2022-05-26	accession
ON682263	MPXV/Germany/2022/RKI03_Germany_2022-05-01	accession
OP295383	INS-MPXV-0016-H1_Colombia_2022-07-29	accession
ON619838	MPXV_UK_2022_4_UnitedKingdom_2022-05-16	accession
ON808415	CVR_MPXV1c_UnitedKingdom_2022-05-15	accession
OP382484	hMPXV-IHU00007_France_2022-07-06	accession
OP605566	Slovenia-MPXV-24-2022_Slovenia_2022-07-01	accession
ON619836	MPXV_UK_2022_2_UnitedKingdom_2022-05-16	accession
OP415259	MPX_VghSe2_9000318_UnitedKingdom_2022-08-01	accession
ON929078	MPXV/Germany/2022/RKI123_Germany_2022-07-01	accession
OP536697	MPXV-USA-IL-IDPH-036_USA_2022-06-17	accession
OP205096	MPXV_UK_2022_9000108_UnitedKingdom_2022-06-14	accession
OX336004	RNA_qepqr7_Slovakia_2022-08-26	accession
OP414300	Monkeypox/PT0259/2022_Portugal_2022-06-19	accession
OP324540	Monkeypox/PT0232/2022_Portugal_2022-06-21	accession
OP748946	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00260/2022_USA_2022-10-17	accession
OP605554	Slovenia-MPXV-11-2022_Slovenia_2022-07-01	accession
OP752120	MPXV_USA_2022_TN0007_USA_2022-07-01	accession
OP555521	Monkeypox/PT0437/2022_Portugal_2022-08-02	accession
OP414339	Monkeypox/PT0305/2022_Portugal_2022-06-06	accession
ON803434	MpxV/human/CAN/UN-NML-2886/2022_Canada_2022-05-20	accession
OP920696	MPXV/Human/USA/CA-LACPHL-MA00358/2022_USA_2022-11-05	accession
OP414331	Monkeypox/PT0297/2022_Portugal_2022-06-08	accession
OP743969	MpxV/human/USA/WA-UW-099881/2022_USA_2022-09-30	accession
OP215281	MPXV/Germany/2022/RKI262_Germany_2022-08-01	accession
OP920692	MPXV/Human/USA/CA-LACPHL-MA00354/2022_USA_2022-10-16	accession
ON736420	MPX/2022/Canada/AB1_Canada_2022-05-31	accession
OP524002	MPXV/Germany/2022/RKI401_Germany_2022-09-30	accession
OP382494	hMPXV-IHU00017_France_2022-07-22	accession
OP324512	Monkeypox/PT0201/2022_Portugal_2022-06-27	accession
ON880518	MpxV/human/CAN/UN-NML-3486/2022_Canada_2022-06-08	accession
ON622713	MPX/UZ_REGA_2/Belgium/2022_Belgium_2022-05-22	accession
ON959155	MPXV/Germany/2022/RKI138_Germany_2022-07-01	accession
OP245333	MPX/PT0080/2022_Portugal_2022-07-26	accession
OP062233	MpxV/human/CAN/UN-NML-3913/2022_Canada_2022-06-28	accession
OP820454	hMpxV/Human/USA/IL-RIPHL-MPXV_10005/2022_USA_2022-09-07	accession
ON880509	MpxV/human/CAN/UN-NML-3137/2022_Canada_2022-05-29	accession
OP689658	MPXV/Germany/2022/ON/RKI505_Germany_2022-08-01	accession
OP580603	hMPX/USA/CA-LACPHL-MA00170/2022_USA_2022-09-20	accession
OP523992	MPXV/Germany/2022/RKI390_Germany_2022-09-01	accession
ON780016	INMI-Pt3_Italy_2022-05-19	accession
OP539921	MPX/Human/USA/CA-LACPHL-MA00136/2022_USA_2022-08-08	accession
OP324491	Monkeypox/PT0176/2022_Portugal_2022-07-01	accession
ON843168	Monkeypox/PT0032/2022_Portugal_2022-05-26	accession
OP414325	Monkeypox/PT0290/2022_Portugal_2022-06-14	accession
OP920697	MPXV/Human/USA/CA-LACPHL-MA00359/2022_USA_2022-11-05	accession
OP414378	Monkeypox/PT0349/2022_Portugal_2022-05-26	accession
OP205068	MPXV_UK_2022_9000062_UnitedKingdom_2022-06-05	accession
OP555539	Monkeypox/PT0458/2022_Portugal_2022-08-04	accession
OP303784	MPXV_USA_2022_IL0034_USA_2022-06-01	accession
OP185715	MPXV_USA_2022_CO0002_USA_2022-05-01	accession
ON853657	MPXV/Germany/2022/RKI071_Germany_2022-06-01	accession
OP324497	Monkeypox/PT0182/2022_Portugal_2022-06-27	accession
ON880527	MpxV/human/CAN/UN-NML-3141/2022_Canada_2022-05-27	accession
OP205124	MPXV_UK_2022_9000173_UnitedKingdom_2022-05-26	accession
ON595760	MPXV-CH-38134631/2022_Switzerland_2022-05-19	accession
ON682269	MPXV/Germany/2022/RKI07_Germany_2022-05-01	accession
ON843177	Monkeypox/PT0047/2022_Portugal_2022-06-02	accession
ON843173	Monkeypox/PT0029/2022_Portugal_2022-05-27	accession
ON614676	INMI-Pt1_Italy_2022-05-18	accession
OP415268	MPX_Qjmiyl_9000330_UnitedKingdom_2022-08-01	accession
OP245361	MPX/PT0128/2022_Portugal_2022-07-12	accession
OP555464	Monkeypox/PT0367/2022_Portugal_2022-06-27	accession
OP324542	Monkeypox/PT0234/2022_Portugal_2022-06-20	accession
OP414343	Monkeypox/PT0309/2022_Portugal_2022-06-06	accession
OP324475	Monkeypox/PT0158/2022_Portugal_2022-07-07	accession
OP324489	Monkeypox/PT0174/2022_Portugal_2022-06-30	accession
OP120938	MP03CHUAC_Spain_2022-06-01	accession
ON649709	Monkeypox/PT0028/2022_Portugal_2022-05-18	accession
OP743358	MPXV/Human/USA/UT-UPHL-82200023/2022_USA_2022-05-21	accession
OP693649	ANT_INS_MPX_0039_L_Colombia_2022-07-29	accession
OP715829	MPXV/Germany/2022/RKI549_Germany_2022-06-01	accession
OP390197	hMpxV/UK/LMO-032a/2022_UnitedKingdom_2022-07-11	accession
OP451016	MPXV_USA_2022_CA0043_USA_2022-06-01	accession
OP536730	MPXV-USA-IL-IDPH-069_USA_2022-06-28	accession
OP019275	hMPXV/Austria/MUW1525179/2022_Austria_2022-06-10	accession
OP062234	MpxV/human/CAN/UN-NML-3921/2022_Canada_2022-06-29	accession
OP597778	MN-MDH-MPXV_0004_USA_2022-06-27	accession
OP414370	Monkeypox/PT0341/2022_Portugal_2022-05-27	accession
OP414382	Monkeypox/PT0355/2022_Portugal_2022-05-22	accession
OP414371	Monkeypox/PT0342/2022_Portugal_2022-05-26	accession
OP605565	Slovenia-MPXV-23-2022_Slovenia_2022-07-01	accession
OP539906	MPX/Human/USA/CA-LACPHL-MA00121/2022_USA_2022-09-12	accession
OP257247	MpxV/human/USA/WA-UW-088432/2022_USA_2022-08-01	accession
ON959165	MPXV/Germany/2022/RKI151_Germany_2022-07-01	accession
ON803438	MpxV/human/CAN/UN-NML-2897/2022_Canada_2022-05-20	accession
ON803430	MpxV/human/CAN/UN-NML-2874/2022_Canada_2022-05-19	accession
ON843167	Monkeypox/PT0036/2022_Portugal_2022-05-26	accession
OP257266	MpxV/human/USA/WA-UW-083179/2022_USA_2022-08-01	accession
ON843172	Monkeypox/PT0035/2022_Portugal_2022-05-27	accession
ON843178	Monkeypox/PT0040/2022_Portugal_2022-06-02	accession
ON676703	MPXV_USA_2022_CA001_USA_2022-05-01	accession
ON880546	MpxV/human/CAN/UN-NML-3368/2022_Canada_2022-06-02	accession
ON959131	MPXV_USA_2022_IL001_USA_2022-05-01	accession
ON682267	MPXV/Germany/2022/RKI010_Germany_2022-05-01	accession
ON959160	MPXV/Germany/2022/RKI146_Germany_2022-07-01	accession
OP205107	MPXV_UK_2022_9000144_UnitedKingdom_2022-06-16	accession
ON649722	Monkeypox/PT0022/2022_Portugal_2022-05-19	accession
ON649718	Monkeypox/PT0018/2022_Portugal_2022-05-20	accession
ON929072	MPXV/Germany/2022/RKI114_Germany_2022-07-01	accession
ON880420	MPX/UZ_REGA_4/Belgium/2022_Belgium_2022-05-27	accession
ON813252	MPXV/Germany/2022/RKI052_Germany_2022-06-01	accession
ON694336	MPXV/Germany/2022/RKI024_Germany_2022-05-01	accession
ON649724	Monkeypox/PT0014/2022_Portugal_2022-05-23	accession
ON808414	CVR_MPXV1b_UnitedKingdom_2022-05-15	accession
ON803429	MpxV/human/CAN/UN-NML-2873/2022_Canada_2022-05-19	accession
OP205069	MPXV_UK_2022_9000063_UnitedKingdom_2022-06-06	accession
OP205117	MPXV_UK_2022_9000159_UnitedKingdom_2022-07-04	accession
OP205139	MPXV_UK_2022_9000090_UnitedKingdom_2022-05-25	accession
ON808417	CVR_MPXV1e_UnitedKingdom_2022-05-15	accession
OP205114	MPXV_UK_2022_9000152_UnitedKingdom_2022-05-16	accession
ON631241	2022/2SLO_Slovenia_2022-05-24	accession
OP415233	MPX_qQzToC_9000264_UnitedKingdom_2022-08-01	accession
ON649723	Monkeypox/PT0013/2022_Portugal_2022-05-20	accession
ON880422	MPX/UZ_REGA_6/Belgium/2022_Belgium_2022-05-27	accession
ON929091	MPXV/Germany/2022/RKI136_Germany_2022-07-01	accession
ON880526	MpxV/human/CAN/UN-NML-3100/2022_Canada_2022-05-27	accession
ON880421	MPX/UZ_REGA_5/Belgium/2022_Belgium_2022-05-27	accession
OP382482	hMPXV-IHU00005_France_2022-07-04	accession
OP523981	MPXV/Germany/2022/RKI379_Germany_2022-09-01	accession
OP523987	MPXV/Germany/2022/RKI385_Germany_2022-09-01	accession
OP415195	MPX_96X1Vd_9000217_UnitedKingdom_2022-03-28	accession
OP580154	MPXV/Human/USA/CA-CDPH-MPX000006/2022_USA_2022-06-07	accession
ON929071	MPXV/Germany/2022/RKI113_Germany_2022-07-01	accession
OP123043	MpxV/human/USA/WA-UW-077836/2022_USA_2022-07-01	accession
OP018597	MPXV/Germany/2022/RKI172_Germany_2022-07-01	accession
ON880419	MPX/UZ_REGA_3/Belgium/2022_Belgium_2022-05-27	accession
ON803424	MpxV/human/CAN/UN-NML-2852/2022_Canada_2022-05-19	accession
ON983162	MpxV/human/CAN/UN-NML-3531/2022_Canada_2022-06-03	accession
ON929070	MPXV/Germany/2022/RKI112_Germany_2022-07-01	accession
OP018594	MPXV/Germany/2022/RKI168_Germany_2022-07-01	accession
OP205085	MPXV_UK_2022_9000096_UnitedKingdom_2022-06-07	accession
ON880539	MpxV/human/CAN/UN-NML-3339/2022_Canada_2022-06-01	accession
ON755040	MPXV_IRBA22-14_France_2022-05-20	accession
OP123044	MpxV/human/USA/WA-UW-071246/2022_USA_2022-07-01	accession
OP523988	MPXV/Germany/2022/RKI386_Germany_2022-09-01	accession
OP382480	hMPXV-IHU00003_France_2022-07-04	accession
ON563414	MPXV_USA_2022_MA001_USA_2022-05-01	accession
ON880541	MpxV/human/CAN/UN-NML-3344/2022_Canada_2022-06-01	accession
OP605561	Slovenia-MPXV-19-2022_Slovenia_2022-07-01	accession
OP536727	MPXV-USA-IL-IDPH-066_USA_2022-06-28	accession
OQ121030	hMpxV/USA/CA-CDPH-1000076/2022_USA_2022-07-11	accession
OP764615	MPXV/Germany/2022/RKI557_Germany_2022-06-01	accession
OP414302	Monkeypox/PT0262/2022_Portugal_2022-06-17	accession
OP382491	hMPXV-IHU00014_France_2022-07-22	accession
OP414342	Monkeypox/PT0308/2022_Portugal_2022-06-06	accession
ON954773	MPXV_USA_2022_CA002_USA_2022-05-16	accession
OP555626	Monkeypox/PT0555/2022_Portugal_2022-08-29	accession
ON755245	MPXV/Germany/2022/RKI039_Germany_2022-06-01	accession
OP605569	Slovenia-MPXV-27-2022_Slovenia_2022-07-01	accession
OP837338	MPXV/Germany/2022/RKI576_Germany_2022-06-30	accession
OP055806	MpxV/human/USA/WA-UW-079141/2022_USA_2022-07-01	accession
OQ159034	MPXV/Germany/2022/ON/RKI639_Germany_2022-08-01	accession
ON649712	Monkeypox/PT0025/2022_Portugal_2022-05-19	accession
ON959157	MPXV/Germany/2022/RKI142_Germany_2022-07-01	accession
OP382478	hMPXV-IHU00001_France_2022-06-13	accession
ON622712	MPX/UZ_REGA_1/Belgium/2022_Belgium_2022-05-19	accession
OP615332	MPXV/Germany/2022/ON/RKI455_Germany_2022-09-01	accession
OP245335	MPX/PT0084/2022_Portugal_2022-07-22	accession
OP205126	MPXV_UK_2022_9000177_UnitedKingdom_2022-06-26	accession
OP680503	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00225/2022_USA_2022-10-03	accession
ON853666	MPXV/Germany/2022/RKI084_Germany_2022-06-01	accession
OP605582	Slovenia-MPXV-41-2022_Slovenia_2022-08-01	accession
OP605573	Slovenia-MPXV-31-2022_Slovenia_2022-07-01	accession
ON649715	Monkeypox/PT0017/2022_Portugal_2022-05-20	accession
ON644344	MPXV_FVG-ITA_01_2022_Italy_2022-05-25	accession
OP355566	MPXV/Germany/2022/ON/RKI306_Germany_2022-08-01	accession
ON880522	MpxV/human/CAN/UN-NML-2870/2022_Canada_2022-05-21	accession
ON745225	MpxV/Spain/MD-HGUGM-66649483/2022_Spain_2022-05-27	accession
OP890542	MPXV/Human/USA/CA-LACPHL-MA00284/2022_USA_2022-09-28	accession
OP715825	MPXV/Germany/2022/RKI545_Germany_2022-06-01	accession
ON959162	MPXV/Germany/2022/RKI148_Germany_2022-07-01	accession
OP920698	MPXV/Human/USA/CA-LACPHL-MA00360/2022_USA_2022-11-02	accession
OP205075	MPXV_UK_2022_9000069_UnitedKingdom_2022-06-11	accession
OP588278	MPXV/Germany/2022/ON/RKI415_Germany_2022-09-01	accession
ON676705	MPXV_USA_2022_UT001_USA_2022-05-01	accession
OP382483	hMPXV-IHU00006_France_2022-07-04	accession
ON803421	MpxV/human/CAN/UN-NML-2849/2022_Canada_2022-05-19	accession
OP414334	Monkeypox/PT0300/2022_Portugal_2022-06-07	accession
ON843163	Monkeypox/PT0048/2022_Portugal_2022-05-13	accession
OP451014	MPXV_USA_2022_CA0056_USA_2022-06-01	accession
OP022171	MPXV_UK_2022_6_UnitedKingdom_2022-05-01	accession
ON880521	MpxV/human/CAN/UN-NML-2858/2022_Canada_2022-05-19	accession
OP245316	MPX/PT0062/2022_Portugal_2022-08-01	accession
OP422343	hMPXV/Austria/MUW1540386/2022_Austria_2022-08-08	accession
OP422340	hMPXV/Austria/MUW1533948/2022_Austria_2022-07-13	accession
OQ159038	MPXV/Germany/2022/ON/RKI643_Germany_2022-08-24	accession
OP484686	MPXV/Germany/2022/RKI365_Germany_2022-09-01	accession
OP013011	MpxV/human/CAN/UN-NML-3611/2022_Canada_2022-06-09	accession
OP013004	MpxV/human/CAN/UN-NML-3518/2022_Canada_2022-06-07	accession
OP555469	Monkeypox/PT0373/2022_Portugal_2022-07-05	accession
OP324474	Monkeypox/PT0157/2022_Portugal_2022-07-05	accession
OQ148465	LBMB-UTP_MP-007_TOL_Colombia_2022-09-14	accession
OQ148466	LBMB-UTP_MP-009_TOL_Colombia_2022-09-13	accession
OP628470	MpxV/human/USA/WA-UW-086652/2022_USA_2022-08-12	accession
OP257265	MpxV/human/USA/WA-UW-089183/2022_USA_2022-08-08	accession
OP414284	Monkeypox/PT0240/2022_Portugal_2022-06-21	accession
OP324460	Monkeypox/PT0139/2022_Portugal_2022-07-11	accession
OP555647	Monkeypox/PT0576/2022_Portugal_2022-09-05	accession
OP555634	Monkeypox/PT0563/2022_Portugal_2022-09-05	accession
ON682266	MPXV/Germany/2022/RKI09_Germany_2022-05-19	accession
ON682268	MPXV/Germany/2022/RKI08_Germany_2022-05-19	accession
OP626138	MPXV/Germany/2022/RKI499_Germany_2022-09-30	accession
OP615327	MPXV/Germany/2022/ON/RKI450_Germany_2022-09-01	accession
OP752119	MPXV_USA_2022_TN0006_USA_2022-08-04	accession
OP531887	B1118307_USA_2022-08-03	accession
ON880544	MpxV/human/CAN/UN-NML-3363/2022_Canada_2022-06-02	accession
ON880517	MpxV/human/CAN/UN-NML-3476/2022_Canada_2022-05-27	accession
OP414367	Monkeypox/PT0338/2022_Portugal_2022-05-26	accession
OP414347	Monkeypox/PT0314/2022_Portugal_2022-06-05	accession
OP062232	MpxV/human/CAN/UN-NML-3909/2022_Canada_2022-06-27	accession
OP013016	MpxV/human/CAN/UN-NML-3678/2022_Canada_2022-06-13	accession
OP743992	MpxV/human/USA/WA-UW-096711/2022_USA_2022-09-01	accession
ON755241	MPXV/Germany/2022/RKI035_Germany_2022-06-25	accession
OP920689	MPXV/Human/USA/CA-LACPHL-MA00351/2022_USA_2022-10-11	accession
ON843174	Monkeypox/PT0046/2022_Portugal_2022-05-30	accession
OP324472	Monkeypox/PT0155/2022_Portugal_2022-07-06	accession
OP215270	MPXV/Germany/2022/RKI255_Germany_2022-08-01	accession
OP555548	Monkeypox/PT0469/2022_Portugal_2022-08-08	accession
OP133007	hMPXV/Austria/MUW1536480/2022_Austria_2022-07-22	accession
OQ330982	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00377/2022_USA_2022-10-09	accession
OP920685	MPXV/Human/USA/CA-LACPHL-MA00347/2022_USA_2022-10-09	accession
OP555658	Monkeypox/PT0591/2022_Portugal_2022-09-13	accession
OP245311	MPX/PT0055/2022_Portugal_2022-07-28	accession
OP837354	MPXV/Germany/2022/RKI592_Germany_2022-10-01	accession
OP764629	MPXV/Germany/2022/RKI571_Germany_2022-10-01	accession
OQ054245	MPXV_USA_2022_CA0030_USA_2022-09-01	accession
OP920679	MPXV/Human/USA/CA-LACPHL-MA00341/2022_USA_2022-10-19	accession
OP205123	MPXV_UK_2022_9000167_UnitedKingdom_2022-06-30	accession
ON755243	MPXV/Germany/2022/RKI037_Germany_2022-06-30	accession
OP594190	MPXV/Germany/2022/RKI426_Germany_2022-09-10	accession
OP594188	MPXV/Germany/2022/RKI424_Germany_2022-09-10	accession
OP324481	Monkeypox/PT0164/2022_Portugal_2022-07-05	accession
OP245350	MPX/PT0117/2022_Portugal_2022-07-14	accession
OX291424	RNA_2ivwg0_Slovakia_2022-07-25	accession
OX291435	RNA_3rno9i_Slovakia_2022-07-25	accession
OP133005	hMPXV/Austria/MUW1531848/2022_Austria_2022-07-05	accession
