date	location	median_I_smooth	I_smooth_upper_80	I_smooth_lower_80
2022-07-03	Austria	8.1846485	8.184705	8.184589
2022-07-04	Austria	8.209368	8.209425	8.209307
2022-07-05	Austria	8.137348	8.137404	8.137284
2022-07-06	Austria	7.9810085	7.981064	7.980943
2022-07-07	Austria	7.755095	7.7551494	7.75503
2022-07-08	Austria	7.475506	7.4755588	7.475441
2022-07-09	Austria	7.1583333	7.158385	7.158269
2022-07-10	Austria	6.8191533	6.819203	6.819091
2022-07-11	Austria	6.472563	6.4726105	6.472503
2022-07-12	Austria	6.1319175	6.1319623	6.1318593
2022-07-13	Austria	5.8092227	5.809265	5.809165
2022-07-14	Austria	5.5151067	5.5151477	5.51505
2022-07-15	Austria	5.258826	5.2588663	5.2587705
2022-07-16	Austria	5.048252	5.0482917	5.0481973
2022-07-17	Austria	4.8898106	4.8898516	4.889757
2022-07-18	Austria	4.7883644	4.7884064	4.788311
2022-07-19	Austria	4.7470493	4.747091	4.746995
2022-07-20	Austria	4.7670846	4.7671275	4.767029
2022-07-21	Austria	4.847611	4.847656	4.847554
2022-07-22	Austria	4.9855676	4.9856153	4.985509
2022-07-23	Austria	5.1756644	5.175715	5.175602
2022-07-24	Austria	5.410473	5.4105263	5.410407
2022-07-25	Austria	5.680643	5.6807	5.680573
2022-07-26	Austria	5.97526	5.9753203	5.975185
2022-07-27	Austria	6.2823043	6.282369	6.2822247
2022-07-28	Austria	6.5891995	6.5892687	6.589116
2022-07-29	Austria	6.8833847	6.883457	6.8832965
2022-07-30	Austria	7.1529827	7.15306	7.1528907
2022-07-31	Austria	7.3873396	7.3874207	7.387244
2022-08-01	Austria	7.5774393	7.577523	7.577342
2022-08-02	Austria	7.7162786	7.716364	7.7161784
2022-08-03	Austria	7.7991104	7.799197	7.7990093
2022-08-04	Austria	7.8235474	7.823634	7.8234444
2022-08-05	Austria	7.7895236	7.7896104	7.7894197
2022-08-06	Austria	7.6991425	7.6992283	7.6990404
2022-08-07	Austria	7.556422	7.5565076	7.5563207
2022-08-08	Austria	7.3669796	7.3670626	7.366879
2022-08-09	Austria	7.13766	7.137742	7.1375628
2022-08-10	Austria	6.876157	6.8762364	6.8760624
2022-08-11	Austria	6.5906296	6.5907054	6.5905385
2022-08-12	Austria	6.2893467	6.28942	6.289259
2022-08-13	Austria	5.980372	5.9804416	5.980288
2022-08-14	Austria	5.6712856	5.671353	5.671205
2022-08-15	Austria	5.3689632	5.369027	5.3688865
2022-08-16	Austria	5.079406	5.0794663	5.079332
2022-08-17	Austria	4.80762	4.807677	4.807549
2022-08-18	Austria	4.5575466	4.557602	4.5574784
2022-08-19	Austria	4.332033	4.3320856	4.3319674
2022-08-20	Austria	4.132839	4.1328897	4.132776
2022-08-21	Austria	3.9606843	3.9607325	3.9606228
2022-08-22	Austria	3.8153162	3.815364	3.815257
2022-08-23	Austria	3.695611	3.6956575	3.695553
2022-08-24	Austria	3.5996852	3.5997312	3.599628
2022-08-25	Austria	3.5250278	3.525073	3.5249705
2022-08-26	Austria	3.468639	3.4686844	3.4685826
2022-08-27	Austria	3.4271796	3.4272246	3.427123
2022-08-28	Austria	3.397112	3.397157	3.3970554
2022-08-29	Austria	3.3748465	3.3748915	3.37479
2022-08-30	Austria	3.3568735	3.356918	3.3568165
2022-08-31	Austria	3.3398821	3.3399272	3.3398252
2022-09-01	Austria	3.3208656	3.320911	3.3208086
2022-09-02	Austria	3.2972057	3.2972507	3.2971497
2022-09-03	Austria	3.2667336	3.2667785	3.266678
2022-09-04	Austria	3.2277732	3.2278173	3.2277184
2022-09-05	Austria	3.1791563	3.1791995	3.179102
2022-09-06	Austria	3.1202207	3.1202636	3.1201673
2022-09-07	Austria	3.0507908	3.0508325	3.0507383
2022-09-08	Austria	2.9711342	2.971175	2.9710824
2022-09-09	Austria	2.8819118	2.8819516	2.8818617
2022-09-10	Austria	2.7841163	2.7841544	2.7840676
2022-09-11	Austria	2.6790009	2.6790376	2.6789541
2022-09-12	Austria	2.56801	2.5680451	2.5679655
2022-09-13	Austria	2.4527078	2.4527416	2.4526653
2022-09-14	Austria	2.3347075	2.3347397	2.334667
2022-09-15	Austria	2.2156124	2.215643	2.2155733
2022-09-16	Austria	2.0969582	2.0969872	2.0969214
2022-09-17	Austria	1.9801676	1.9801953	1.9801328
2022-09-18	Austria	1.8665125	1.8665385	1.8664798
2022-09-19	Austria	1.7570876	1.7571123	1.7570565
2022-09-20	Austria	1.6527915	1.6528147	1.6527624
2022-09-21	Austria	1.5543193	1.5543412	1.5542917
2022-09-22	Austria	1.4621599	1.4621804	1.4621338
2022-09-23	Austria	1.3766047	1.376624	1.3765799
2022-09-24	Austria	1.297759	1.2977772	1.2977357
2022-09-25	Austria	1.22556	1.2255775	1.225538
2022-09-26	Austria	1.159798	1.1598147	1.1597769
2022-09-27	Austria	1.1001396	1.1001554	1.1001195
2022-09-28	Austria	1.0461528	1.0461677	1.0461335
2022-09-29	Austria	0.9973315	0.99734575	0.9973129
2022-09-30	Austria	0.9531213	0.9531351	0.9531034
2022-10-01	Austria	0.9129416	0.91295475	0.9129244
2022-10-02	Austria	0.8762069	0.8762197	0.8761904
2022-10-03	Austria	0.84234667	0.842359	0.84233075
2022-10-04	Austria	0.81082016	0.810832	0.8108048
2022-10-05	Austria	0.7811297	0.78114116	0.78111494
2022-10-06	Austria	0.7528305	0.7528417	0.75281626
2022-10-07	Austria	0.725538	0.72554886	0.72552425
2022-10-08	Austria	0.69893086	0.6989412	0.6989175
2022-10-09	Austria	0.6727526	0.6727625	0.67273974
2022-10-10	Austria	0.6468109	0.64682055	0.6467985
2022-10-11	Austria	0.6209739	0.6209832	0.62096196
2022-10-12	Austria	0.59516597	0.59517485	0.5951545
2022-10-13	Austria	0.5693609	0.5693693	0.56934994
2022-10-14	Austria	0.5435753	0.54358333	0.54356486
2022-10-15	Austria	0.51786125	0.5178689	0.5178513
2022-10-16	Austria	0.49229792	0.49230525	0.4922885
2022-10-17	Austria	0.4669848	0.4669917	0.4669759
2022-10-18	Austria	0.44203362	0.44204015	0.44202518
2022-10-19	Austria	0.41756195	0.41756806	0.41755393
2022-10-20	Austria	0.3936871	0.3936929	0.39367953
2022-10-21	Austria	0.37052125	0.37052667	0.37051407
2022-10-22	Austria	0.34816664	0.34817177	0.34816
2022-10-23	Austria	0.3267129	0.32671773	0.32670665
2022-10-24	Austria	0.30623406	0.30623862	0.30622825
2022-10-25	Austria	0.28678763	0.28679186	0.2867822
2022-10-26	Austria	0.26841336	0.2684173	0.2684082
2022-10-27	Austria	0.25113344	0.25113717	0.25112864
2022-10-28	Austria	0.23495337	0.23495683	0.23494886
2022-10-29	Austria	0.21986288	0.21986611	0.21985863
2022-10-30	Austria	0.20583749	0.20584051	0.20583352
2022-10-31	Austria	0.1928406	0.19284347	0.1928369
2022-11-01	Austria	0.18082523	0.18082787	0.18082172
2022-11-02	Austria	0.16973622	0.16973871	0.16973288
2022-11-03	Austria	0.15951248	0.15951484	0.15950935
2022-11-04	Austria	0.15008897	0.15009119	0.15008602
2022-11-05	Austria	0.14139861	0.14140072	0.14139584
2022-11-06	Austria	0.1333741	0.13337609	0.13337149
2022-11-07	Austria	0.12594944	0.12595133	0.12594698
2022-11-08	Austria	0.11906121	0.11906299	0.11905888
2022-11-09	Austria	0.112649605	0.112651296	0.1126474
2022-11-10	Austria	0.106659375	0.10666098	0.10665727
2022-11-11	Austria	0.1010403	0.10104182	0.10103831
2022-11-12	Austria	0.095747575	0.095749006	0.095745675
2022-11-13	Austria	0.09074201	0.09074336	0.0907402
2022-11-14	Austria	0.08598988	0.085991174	0.08598818
2022-11-15	Austria	0.08146289	0.08146412	0.08146127
2022-11-16	Austria	0.07713777	0.07713894	0.07713625
2022-11-17	Austria	0.07299588	0.07299697	0.072994426
2022-11-18	Austria	0.06902271	0.069023736	0.069021344
2022-11-19	Austria	0.06520737	0.06520834	0.06520608
2022-11-20	Austria	0.061542083	0.061543003	0.06154086
2022-11-21	Austria	0.05802157	0.05802244	0.058020424
2022-11-22	Austria	0.05464252	0.054643344	0.054641437
2022-11-23	Austria	0.051403105	0.051403876	0.05140209
2022-11-24	Austria	0.0483025	0.04830323	0.048301563
2022-11-25	Austria	0.045340504	0.045341186	0.045339618
2022-11-26	Austria	0.04251712	0.04251776	0.04251629
2022-11-27	Austria	0.039832305	0.039832905	0.039831527
2022-11-28	Austria	0.037285738	0.03728629	0.037285
2022-11-29	Austria	0.034876585	0.03487711	0.034875903
2022-11-30	Austria	0.032603465	0.032603946	0.032602828
2022-12-01	Austria	0.030464273	0.030464727	0.03046368
2022-12-02	Austria	0.028456207	0.028456632	0.028455654
2022-12-03	Austria	0.02657577	0.026576167	0.026575252
2022-12-04	Austria	0.024818797	0.024819167	0.024818314
2022-12-05	Austria	0.023180518	0.023180865	0.023180068
2022-12-06	Austria	0.021655653	0.02165598	0.02165523
2022-12-07	Austria	0.020238508	0.020238807	0.020238109
2022-12-08	Austria	0.018923048	0.018923331	0.018922677
2022-12-09	Austria	0.017703053	0.017703319	0.01770271
2022-12-10	Austria	0.016572192	0.016572444	0.01657187
2022-12-11	Austria	0.015524125	0.015524358	0.015523819
2022-12-12	Austria	0.014552591	0.01455281	0.014552306
2022-12-13	Austria	0.013651501	0.013651707	0.013651233
2022-12-14	Austria	0.012815004	0.012815196	0.012814748
2022-12-15	Austria	0.012037529	0.012037709	0.012037288
2022-12-16	Austria	0.011313855	0.011314027	0.011313631
2022-12-17	Austria	0.010639133	0.010639294	0.010638924
2022-12-18	Austria	0.010008899	0.01000905	0.0100087
2022-12-19	Austria	0.009419087	0.009419229	0.009418897
2022-12-20	Austria	0.008866034	0.008866168	0.008865856
2022-12-21	Austria	0.008346468	0.008346593	0.008346301
2022-12-22	Austria	0.007857489	0.007857609	0.007857334
2022-12-23	Austria	0.0073965536	0.0073966654	0.007396407
2022-12-24	Austria	0.0069614425	0.006961547	0.0069613038
2022-12-25	Austria	0.006550231	0.0065503293	0.006550101
2022-12-26	Austria	0.00616126	0.006161353	0.0061611384
2022-12-27	Austria	0.005793106	0.005793193	0.0057929913
2022-12-28	Austria	0.0054445406	0.0054446226	0.0054444326
2022-12-29	Austria	0.0051145107	0.0051145875	0.00511441
2022-12-30	Austria	0.004802099	0.004802171	0.0048020044
2022-12-31	Austria	0.0045065037	0.004506571	0.004506415
2023-01-01	Austria	0.004227009	0.0042270725	0.0042269253
2023-01-02	Austria	0.0039629685	0.0039630276	0.0039628893
2023-01-03	Austria	0.0037137833	0.003713839	0.0037137107
2023-01-04	Austria	0.0034788894	0.0034789415	0.003478821
2023-01-05	Austria	0.0032577398	0.0032577887	0.003257676
2023-01-06	Austria	0.0030498006	0.0030498467	0.0030497408
2023-01-07	Austria	0.0028545395	0.0028545826	0.002854484
2023-01-08	Austria	0.0026714252	0.0026714653	0.002671373
2023-01-09	Austria	0.0024999208	0.0024999583	0.002499872
2023-01-10	Austria	0.0023394832	0.0023395184	0.0023394374
2023-01-11	Austria	0.0021895666	0.0021895994	0.0021895235
2023-01-12	Austria	0.0020496203	0.002049651	0.0020495802
2023-01-13	Austria	0.0019190942	0.001919123	0.0019190565
2023-01-14	Austria	0.0017974393	0.0017974661	0.0017974037
2023-01-15	Austria	0.0016841125	0.0016841376	0.0016840794
2023-01-16	Austria	0.0015785806	0.001578604	0.0015785493
2023-01-17	Austria	0.0014803219	0.0014803441	0.0014802928
2023-01-18	Austria	0.0013888319	0.0013888527	0.0013888046
2023-01-19	Austria	0.0013036239	0.0013036433	0.0013035982
2023-01-20	Austria	0.0012242335	0.0012242519	0.0012242093
2023-01-21	Austria	0.0011502196	0.001150237	0.0011501968
2023-01-22	Austria	0.0010811668	0.0010811831	0.0010811455
2023-01-23	Austria	0.0010166855	0.0010167009	0.0010166656
2023-01-24	Austria	0.0009564144	0.00095642876	0.00095639547
2023-01-25	Austria	0.0009000185	0.00090003206	0.0009000007
2023-01-26	Austria	0.00084719044	0.0008472032	0.0008471738
2022-05-19	Belgium	2.535332	2.535332	2.535332
2022-05-20	Belgium	2.6230648	2.6230648	2.6230648
2022-05-21	Belgium	2.6049566	2.6049566	2.6049566
2022-05-22	Belgium	1.944279	1.944279	1.944279
2022-05-23	Belgium	1.2269483	1.2269483	1.2269483
2022-05-24	Belgium	1.0162675	1.0162675	1.0162675
2022-05-25	Belgium	1.0787911	1.0787911	1.0787911
2022-05-26	Belgium	1.2242684	1.2242684	1.2242684
2022-05-27	Belgium	1.3961087	1.3961087	1.3961087
2022-05-28	Belgium	1.5824655	1.5824655	1.5824655
2022-05-29	Belgium	1.7813247	1.7813247	1.7813247
2022-05-30	Belgium	1.9923116	1.9923116	1.9923117
2022-05-31	Belgium	2.215686	2.215686	2.215686
2022-06-01	Belgium	2.4518943	2.4518943	2.4518943
2022-06-02	Belgium	2.7016068	2.7016068	2.7016068
2022-06-03	Belgium	2.9657598	2.9657598	2.9657598
2022-06-04	Belgium	3.2455869	3.2455869	3.2455869
2022-06-05	Belgium	3.542639	3.5426393	3.542639
2022-06-06	Belgium	3.8587701	3.8587701	3.8587701
2022-06-07	Belgium	4.196066	4.196066	4.196066
2022-06-08	Belgium	4.5566874	4.5566874	4.5566874
2022-06-09	Belgium	4.9425845	4.9425845	4.9425845
2022-06-10	Belgium	5.3550615	5.3550615	5.3550615
2022-06-11	Belgium	5.7942004	5.7942004	5.7942
2022-06-12	Belgium	6.2581735	6.2581735	6.2581735
2022-06-13	Belgium	6.742596	6.7425966	6.742596
2022-06-14	Belgium	7.240048	7.240048	7.240048
2022-06-15	Belgium	7.739967	7.739967	7.739967
2022-06-16	Belgium	8.229232	8.229232	8.229232
2022-06-17	Belgium	8.693247	8.693247	8.693247
2022-06-18	Belgium	9.1175	9.1175	9.1175
2022-06-19	Belgium	9.489563	9.489563	9.489563
2022-06-20	Belgium	9.801112	9.801112	9.801112
2022-06-21	Belgium	10.049579	10.049579	10.049579
2022-06-22	Belgium	10.239169	10.239169	10.239169
2022-06-23	Belgium	10.381008	10.381008	10.381008
2022-06-24	Belgium	10.492415	10.492415	10.492415
2022-06-25	Belgium	10.595405	10.595405	10.595405
2022-06-26	Belgium	10.714683	10.714683	10.714683
2022-06-27	Belgium	10.875436	10.875436	10.875437
2022-06-28	Belgium	11.101245	11.101245	11.101245
2022-06-29	Belgium	11.412346	11.412346	11.412346
2022-06-30	Belgium	11.824421	11.824421	11.824421
2022-07-01	Belgium	12.347962	12.347962	12.347962
2022-07-02	Belgium	12.988188	12.988188	12.988188
2022-07-03	Belgium	13.745385	13.745385	13.745385
2022-07-04	Belgium	14.615533	14.615533	14.615532
2022-07-05	Belgium	15.5910425	15.5910425	15.591042
2022-07-06	Belgium	16.661503	16.661503	16.661503
2022-07-07	Belgium	17.814297	17.814297	17.814297
2022-07-08	Belgium	19.035048	19.035048	19.035046
2022-07-09	Belgium	20.307896	20.307896	20.307896
2022-07-10	Belgium	21.615599	21.615599	21.615599
2022-07-11	Belgium	22.93958	22.93958	22.93958
2022-07-12	Belgium	24.26	24.26	24.259998
2022-07-13	Belgium	25.555841	25.555841	25.555841
2022-07-14	Belgium	26.805279	26.805279	26.805279
2022-07-15	Belgium	27.986155	27.986155	27.986155
2022-07-16	Belgium	29.07677	29.07677	29.07677
2022-07-17	Belgium	30.056822	30.056822	30.056822
2022-07-18	Belgium	30.908472	30.908472	30.908472
2022-07-19	Belgium	31.617477	31.617477	31.617477
2022-07-20	Belgium	32.17421	32.17421	32.17421
2022-07-21	Belgium	32.574406	32.574406	32.574406
2022-07-22	Belgium	32.819695	32.819695	32.819695
2022-07-23	Belgium	32.91767	32.91767	32.91767
2022-07-24	Belgium	32.881523	32.881523	32.881523
2022-07-25	Belgium	32.729362	32.729362	32.729362
2022-07-26	Belgium	32.482937	32.482937	32.482937
2022-07-27	Belgium	32.166348	32.166348	32.166348
2022-07-28	Belgium	31.804604	31.804604	31.804604
2022-07-29	Belgium	31.422146	31.422146	31.422146
2022-07-30	Belgium	31.041348	31.041348	31.041348
2022-07-31	Belgium	30.681364	30.681364	30.681364
2022-08-01	Belgium	30.35724	30.35724	30.35724
2022-08-02	Belgium	30.079334	30.079334	30.079334
2022-08-03	Belgium	29.853079	29.853079	29.853079
2022-08-04	Belgium	29.679071	29.679071	29.679071
2022-08-05	Belgium	29.553469	29.553469	29.553469
2022-08-06	Belgium	29.468517	29.468517	29.468517
2022-08-07	Belgium	29.413332	29.41333	29.413332
2022-08-08	Belgium	29.374748	29.374748	29.374748
2022-08-09	Belgium	29.338142	29.338142	29.338142
2022-08-10	Belgium	29.288328	29.288328	29.288328
2022-08-11	Belgium	29.2103	29.2103	29.2103
2022-08-12	Belgium	29.089987	29.089989	29.089987
2022-08-13	Belgium	28.914831	28.914831	28.914831
2022-08-14	Belgium	28.674286	28.674286	28.674286
2022-08-15	Belgium	28.36016	28.36016	28.36016
2022-08-16	Belgium	27.96687	27.96687	27.96687
2022-08-17	Belgium	27.491526	27.491526	27.491526
2022-08-18	Belgium	26.93396	26.93396	26.93396
2022-08-19	Belgium	26.29659	26.296593	26.29659
2022-08-20	Belgium	25.584232	25.584232	25.584232
2022-08-21	Belgium	24.803799	24.803799	24.803799
2022-08-22	Belgium	23.963936	23.963936	23.963936
2022-08-23	Belgium	23.074621	23.074621	23.074621
2022-08-24	Belgium	22.146755	22.146755	22.146755
2022-08-25	Belgium	21.191708	21.191708	21.191708
2022-08-26	Belgium	20.220911	20.220911	20.220911
2022-08-27	Belgium	19.245432	19.24543	19.245432
2022-08-28	Belgium	18.275667	18.275667	18.275667
2022-08-29	Belgium	17.321047	17.321047	17.321047
2022-08-30	Belgium	16.38981	16.38981	16.38981
2022-08-31	Belgium	15.488875	15.488875	15.488876
2022-09-01	Belgium	14.623728	14.623728	14.623728
2022-09-02	Belgium	13.798442	13.798442	13.798442
2022-09-03	Belgium	13.015717	13.015717	13.015717
2022-09-04	Belgium	12.276979	12.276979	12.276979
2022-09-05	Belgium	11.582508	11.582508	11.582508
2022-09-06	Belgium	10.931601	10.931601	10.931601
2022-09-07	Belgium	10.322763	10.322763	10.322763
2022-09-08	Belgium	9.753869	9.753869	9.753869
2022-09-09	Belgium	9.22235	9.22235	9.22235
2022-09-10	Belgium	8.725363	8.725363	8.725363
2022-09-11	Belgium	8.259938	8.259938	8.259938
2022-09-12	Belgium	7.8231053	7.8231053	7.8231053
2022-09-13	Belgium	7.4119997	7.4119997	7.4119997
2022-09-14	Belgium	7.023939	7.023939	7.023939
2022-09-15	Belgium	6.6564894	6.6564894	6.6564894
2022-09-16	Belgium	6.307498	6.307498	6.307498
2022-09-17	Belgium	5.975105	5.975105	5.975105
2022-09-18	Belgium	5.657753	5.657753	5.657753
2022-09-19	Belgium	5.3541813	5.3541813	5.3541813
2022-09-20	Belgium	5.06339	5.06339	5.06339
2022-09-21	Belgium	4.7846193	4.7846193	4.7846193
2022-09-22	Belgium	4.5173182	4.5173182	4.5173182
2022-09-23	Belgium	4.261105	4.261105	4.261105
2022-09-24	Belgium	4.0157247	4.0157247	4.0157247
2022-09-25	Belgium	3.7809792	3.7809792	3.7809792
2022-09-26	Belgium	3.5566716	3.5566716	3.5566716
2022-09-27	Belgium	3.3426135	3.3426135	3.3426135
2022-09-28	Belgium	3.13865	3.13865	3.13865
2022-09-29	Belgium	2.944659	2.944659	2.944659
2022-09-30	Belgium	2.7605314	2.7605314	2.7605314
2022-10-01	Belgium	2.5861568	2.5861568	2.5861568
2022-10-02	Belgium	2.421406	2.421406	2.421406
2022-10-03	Belgium	2.2661252	2.2661252	2.2661252
2022-10-04	Belgium	2.1201258	2.1201258	2.1201258
2022-10-05	Belgium	1.9831825	1.9831825	1.9831827
2022-10-06	Belgium	1.8550317	1.8550317	1.8550317
2022-10-07	Belgium	1.7353721	1.7353721	1.7353721
2022-10-08	Belgium	1.6238687	1.6238687	1.6238687
2022-10-09	Belgium	1.5201564	1.5201564	1.5201564
2022-10-10	Belgium	1.4238448	1.4238448	1.4238448
2022-10-11	Belgium	1.334526	1.334526	1.334526
2022-10-12	Belgium	1.2517794	1.2517794	1.2517794
2022-10-13	Belgium	1.1751778	1.1751778	1.1751778
2022-10-14	Belgium	1.1042936	1.1042936	1.1042936
2022-10-15	Belgium	1.0387046	1.0387046	1.0387046
2022-10-16	Belgium	0.97799945	0.9779995	0.97799945
2022-10-17	Belgium	0.9217806	0.9217806	0.9217806
2022-10-18	Belgium	0.8696689	0.8696689	0.8696689
2022-10-19	Belgium	0.8213063	0.8213063	0.8213062
2022-10-20	Belgium	0.77635807	0.7763582	0.77635807
2022-10-21	Belgium	0.7345134	0.7345135	0.7345134
2022-10-22	Belgium	0.6954872	0.6954872	0.6954872
2022-10-23	Belgium	0.6590191	0.65901923	0.6590191
2022-10-24	Belgium	0.62487435	0.62487435	0.62487435
2022-10-25	Belgium	0.5928419	0.592842	0.592842
2022-10-26	Belgium	0.56273365	0.56273377	0.56273365
2022-10-27	Belgium	0.5343832	0.53438324	0.5343832
2022-10-28	Belgium	0.5076437	0.50764376	0.5076437
2022-10-29	Belgium	0.48238668	0.4823867	0.48238668
2022-10-30	Belgium	0.45850006	0.45850012	0.45850006
2022-10-31	Belgium	0.4358864	0.43588647	0.4358864
2022-11-01	Belgium	0.4144612	0.41446126	0.4144612
2022-11-02	Belgium	0.394151	0.3941511	0.394151
2022-11-03	Belgium	0.3748921	0.37489215	0.3748921
2022-11-04	Belgium	0.35662892	0.35662904	0.35662892
2022-11-05	Belgium	0.3393128	0.3393129	0.3393128
2022-11-06	Belgium	0.32290047	0.3229006	0.32290047
2022-11-07	Belgium	0.3073531	0.30735326	0.3073531
2022-11-08	Belgium	0.29263556	0.29263568	0.29263556
2022-11-09	Belgium	0.27871495	0.27871507	0.27871495
2022-11-10	Belgium	0.2655605	0.2655606	0.2655605
2022-11-11	Belgium	0.25314265	0.25314274	0.25314265
2022-11-12	Belgium	0.2414326	0.24143276	0.2414326
2022-11-13	Belgium	0.23040201	0.23040214	0.23040201
2022-11-14	Belgium	0.22002253	0.22002263	0.22002253
2022-11-15	Belgium	0.21026583	0.21026595	0.21026585
2022-11-16	Belgium	0.20110342	0.20110354	0.20110342
2022-11-17	Belgium	0.19250646	0.19250658	0.19250646
2022-11-18	Belgium	0.18444608	0.1844462	0.18444608
2022-11-19	Belgium	0.17689313	0.17689325	0.17689313
2022-11-20	Belgium	0.16981854	0.16981864	0.16981854
2022-11-21	Belgium	0.16319327	0.16319339	0.16319327
2022-11-22	Belgium	0.15698865	0.1569888	0.15698865
2022-11-23	Belgium	0.15117644	0.15117656	0.15117644
2022-11-24	Belgium	0.14572898	0.1457291	0.14572898
2022-11-25	Belgium	0.14061944	0.14061955	0.14061944
2022-11-26	Belgium	0.13582191	0.13582204	0.13582191
2022-11-27	Belgium	0.13131161	0.13131174	0.13131161
2022-11-28	Belgium	0.127065	0.12706514	0.127065
2022-11-29	Belgium	0.12305988	0.12306003	0.12305988
2022-11-30	Belgium	0.11927549	0.11927563	0.11927549
2022-12-01	Belgium	0.11569248	0.11569263	0.11569248
2022-12-02	Belgium	0.1122931	0.11229324	0.1122931
2022-12-03	Belgium	0.10906119	0.109061345	0.10906119
2022-12-04	Belgium	0.10598211	0.105982274	0.10598211
2022-12-05	Belgium	0.10304269	0.10304286	0.10304269
2022-12-06	Belgium	0.10023131	0.100231476	0.10023131
2022-12-07	Belgium	0.09753776	0.09753792	0.09753776
2022-12-08	Belgium	0.09495313	0.0949533	0.09495313
2022-12-09	Belgium	0.09246981	0.09246997	0.09246981
2022-12-10	Belgium	0.09008133	0.0900815	0.09008133
2022-12-11	Belgium	0.08778223	0.087782405	0.08778223
2022-12-12	Belgium	0.08556805	0.085568234	0.08556805
2022-12-13	Belgium	0.08343509	0.08343527	0.08343509
2022-12-14	Belgium	0.08138031	0.08138049	0.08138031
2022-12-15	Belgium	0.0794013	0.079401486	0.0794013
2022-12-16	Belgium	0.07749606	0.077496246	0.07749606
2022-12-17	Belgium	0.07566297	0.07566316	0.07566297
2022-12-18	Belgium	0.07390059	0.07390079	0.07390059
2022-12-19	Belgium	0.072207645	0.07220784	0.072207645
2022-12-20	Belgium	0.07058291	0.070583105	0.07058291
2022-12-21	Belgium	0.06902511	0.06902531	0.06902511
2022-12-22	Belgium	0.067532845	0.06753305	0.067532845
2022-12-23	Belgium	0.06610462	0.06610484	0.06610462
2022-12-24	Belgium	0.06473868	0.06473891	0.06473868
2022-12-25	Belgium	0.06343309	0.06343332	0.06343309
2022-12-26	Belgium	0.062185623	0.06218585	0.062185623
2022-12-27	Belgium	0.060993798	0.060994033	0.060993798
2022-12-28	Belgium	0.05985489	0.05985513	0.05985489
2022-12-29	Belgium	0.05876594	0.05876618	0.05876594
2022-12-30	Belgium	0.057723753	0.057724003	0.057723753
2022-12-31	Belgium	0.056724977	0.056725226	0.056724977
2023-01-01	Belgium	0.05576607	0.055766318	0.05576607
2023-01-02	Belgium	0.054843403	0.054843664	0.054843403
2023-01-03	Belgium	0.05395329	0.05395356	0.05395329
2023-01-04	Belgium	0.053092055	0.053092323	0.053092055
2023-01-05	Belgium	0.052256	0.052256275	0.052256
2023-01-06	Belgium	0.051441558	0.051441833	0.051441558
2023-01-07	Belgium	0.050645266	0.050645553	0.050645266
2023-01-08	Belgium	0.04986384	0.04986413	0.04986384
2023-01-09	Belgium	0.049094208	0.049094502	0.049094208
