	accession	date	region_coarse	country	strain
146	OP144217	2022-06-02	Western Europe	Belgium	MPXV/ITM_pt_09/Belgium/2-Jun-2022
147	OP144213	2022-06-16	Western Europe	Belgium	MPXV/ITM_pt_24/Belgium/16-Jun-2022
148	OP144216	2022-05-30	Western Europe	Belgium	MPXV/ITM_pt_07/Belgium/30-May-2022
149	OP144211	2022-06-01	Western Europe	Belgium	MPXV/ITM_pt_10/Belgium/1-Jun-2022
150	OQ148469	2022-11-11	South America	Colombia	LBMB-UTP_MP-013_VAC
151	OP959064	2022-11-17	South America	Colombia	BOL-UNIMOL-MPX-293772-L
152	OP642416	2022-09-12	South America	Colombia	ANT-LDSP-ANT-MPX-25390E
153	OP615279	2022-09-13	North America	USA	MPX/Human/USA/CA-LACPHL-MA00206/2022
154	OQ330998	2022-12-19	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00400/2022
155	OP890555	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00327/2022
156	OP890564	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00336/2022
157	OP890558	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00330/2022
158	OQ331008	2022-12-30	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00399/2022
159	OQ331006	2023-01-03	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00397/2023
160	OQ331005	2023-01-03	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00396/2023
161	OQ331007	2023-01-03	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00398/2023
162	OP722513	2022-10-11	North America	USA	MPX/Human/USA/CA-LACPHL-MA00254/2022
163	OQ330973	2022-12-23	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00394/2022
164	OP920700	2022-10-28	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00362/2022
165	OP920695	2022-11-08	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00357/2022
166	OQ331002	2022-11-23	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00374/2022
167	OP890525	2022-10-27	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00321/2022
168	ON755039	2022-05-19	Western Europe	France	MPXV_IRBA22-11
169	OP382481	2022-07-04	Western Europe	France	hMPXV-IHU00004
170	OP838893	2022-06-21	Southern Europe	Italy	ID6821
171	OQ172215	2022-06-07	Western Europe	France	MPXV-1047
172	OP171919	2022-06-25	North America	USA	MPXV22/human/USA-NE-25
173	OQ331004	2022-12-13	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00393/2022
174	OP863229	2022-10-07	North America	USA	hMpxV/USA/CA-CDPH-000055/2022
175	OP555649	2022-09-12	Southern Europe	Portugal	Monkeypox/PT0578/2022
176	OP422342	2022-08-02	Western Europe	Austria	hMPXV/Austria/MUW1539124/2022
177	OP422341	2022-08-01	Western Europe	Austria	hMPXV/Austria/MUW1538395/2022
178	OP019277	2022-07-04	Western Europe	Austria	hMPXV/Austria/MUW1531254/2022
179	OP555491	2022-07-13	Southern Europe	Portugal	Monkeypox/PT0395/2022
180	OP245319	2022-07-27	Southern Europe	Portugal	MPX/PT0065/2022
181	OP270024	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-3976/2022
182	OP270027	2022-07-05	North America	Canada	MpxV/human/CAN/UN-NML-4024/2022
183	OP270023	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-3975/2022
184	ON880533	2022-05-30	North America	Canada	MpxV/human/CAN/UN-NML-3257/2022
185	OP523999	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI396
186	OP204840	2022-06-10	Western Europe	France	PatientMPXV
187	OP539901	2022-09-14	North America	USA	MPX/Human/USA/CA-LACPHL-MA00116/2022
188	OP415272	2022-08-31	Western Europe	United Kingdom	MPX_bSkpM3_9000334
189	OP225967	2022-06-30	North America	USA	MPXV_USA_2022_FL0011
190	OP727822	2022-10-02	Western Europe	Belgium	PrEV_case_2
191	OP390195	2022-07-07	Western Europe	United Kingdom	hMpxV/UK/LMO-029a/2022
192	OP819959	2022-10-11	South America	Colombia	SAN_INS_MPX_0971_L
193	OP693651	2022-08-23	South America	Colombia	CUN_INS_MPX_0649_C
194	OP819954	2022-10-15	South America	Colombia	VAC_INS_MPX_0960_C
195	OQ148473	2022-11-11	South America	Colombia	LBMB-UTP_MP-021_VAC
196	OP642378	2022-09-07	South America	Colombia	ANT-LDSP-ANT-MPX-24594-L
197	OP819949	2022-10-11	South America	Colombia	VAC_INS_MPX_0955_C
198	OP819955	2022-10-13	South America	Colombia	VAC_INS_MPX_0962_C
199	OP442553	2022-08-01	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00086/2022
200	ON880519	2022-05-13	North America	Canada	MpxV/human/CAN/UN-NML-2833/2022
201	OP279041	2022-06-29	North America	Canada	MpxV/human/CAN/UN-NML-4125/2022
202	OP013008	2022-06-08	North America	Canada	MpxV/human/CAN/UN-NML-3582/2022
203	ON983167	2022-06-16	North America	Canada	MpxV/human/CAN/UN-NML-3725/2022
204	OP279045	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-4144/2022
205	OP279035	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-4103/2022
206	OP279034	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-4097/2022
207	ON792321	2022-06-02	Western Europe	Switzerland	hMpxV/Switzerland/ZH-UZH-IMV-3ba6450e/2022
208	OQ159028	2022-11-01	Western Europe	Germany	MPXV/Germany/2022/RKI633
209	OP018605	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI182
210	OP715831	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI551
211	ON694332	2022-05-31	Western Europe	Germany	MPXV/Germany/2022/RKI023
212	OP594201	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI437
213	OP555641	2022-09-02	Southern Europe	Portugal	Monkeypox/PT0570/2022
214	OP484695	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI342
215	OP019276	2022-06-21	Western Europe	Austria	hMPXV/Austria/MUW1527495/2022
216	OP320553	2022-07-08	South America	Peru	LIM-INS-013
217	OP289783	2022-06-27	South America	Peru	LIM-INS-003
218	OP693655	2022-09-03	South America	Colombia	CUN_INS_MPX_0748_L
219	OP320554	2022-07-09	South America	Peru	LIM-INS-016
220	OP320552	2022-07-06	South America	Peru	LIM-INS-012
221	OP320555	2022-07-09	South America	Peru	LIM-INS-021
222	OP320551	2022-07-09	South America	Peru	LIM-INS-018
223	OP320548	2022-07-01	South America	Peru	LIM-INS008
224	OP289782	2022-06-25	South America	Peru	LIM-INS-001
225	ON720849	2022-05-27	Southern Europe	Spain	MpxV/Spain/MD-HGUGM-6532064/2022
226	ON622718	2022-05-20	Southern Europe	Spain	MPXV/ES0001/HUGTiP/2022
227	OP681774	2022-09-04	North America	USA	MpxV/human/USA/WA-UW-092889/2022
228	OP459214	2022-08-30	South America	Colombia	ANT-LDSP-ANT-MPX-23631-L
229	OP390194	2022-07-01	Western Europe	United Kingdom	hMpxV/UK/LMO-026a/2022
230	OQ159039	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI644
231	OP215232	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI190
232	OP215211	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI203
233	OP018602	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI177
234	OP689682	2022-07-31	Western Europe	Germany	MPXV/Germany/2022/RKI529
235	OP358276	2022-08-09	Southern Europe	Italy	SIC-AOUP-UNIPA_VL_9aug
236	ON792322	2022-06-02	Western Europe	Switzerland	hMpxV/Switzerland/ZH-UZH-IMV-3ba64538/2022
237	ON780017	2022-05-21	Southern Europe	Italy	INMI-Pt4
238	OQ274886	2022-05-19	Western Europe	Germany	MPXV/Germany/2022/ON/RKI667
239	OQ274883	2022-05-19	Western Europe	Germany	MPXV/Germany/2022/ON/RKI664
240	OP150925	2022-05-19	North America	USA	MPXV_USA_2022_GA001
241	OP783902	2022-06-08	Western Europe	Switzerland	hMPXV-CH-38347314/2022
242	OP555598	2022-08-19	Southern Europe	Portugal	Monkeypox/PT0527/2022
243	OP555586	2022-08-16	Southern Europe	Portugal	Monkeypox/PT0515/2022
244	OP642388	2022-09-09	South America	Colombia	ANT-LDSP-ANT-MPX-24915-L
245	OP431401	2022-08-17	South America	Colombia	ANT-LDSP-ANT-MPX-22769-L
246	OP642412	2022-09-13	South America	Colombia	ANT-LDSP-ANT-MPX-25340L
247	OP689664	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI511
248	OQ261704	2022-10-13	South America	Colombia	ANT-LDSP-ANT-MPX-28299E
249	OQ148472	2022-11-11	South America	Colombia	LBMB-UTP_MP-019_VAC
250	OP295382	2022-07-21	South America	Colombia	INS-MPXV-0015-L1
251	OP477446	2022-08-19	South America	Colombia	ANT-LDSP-ANT-MPX-22980
252	OP459219	2022-08-30	South America	Colombia	ANT-LDSP-ANT-MPX-23683-L
253	OP642381	2022-09-08	South America	Colombia	ANT-LDSP-ANT-MPX-24728-L
254	OP959057	2022-11-10	South America	Colombia	SUC-UNIMOL-MPX-293401-L
255	OP819958	2022-10-15	South America	Colombia	QUI_INS_MPX_0967_L
256	OP205078	2022-06-09	Western Europe	United Kingdom	MPXV_UK_2022_9000072
257	OP150927	2022-05-19	North America	USA	MPXV_USA_2022_WA001
258	OP205088	2022-06-09	Western Europe	United Kingdom	MPXV_UK_2022_9000100
259	OP263636	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI281
260	OP018592	2022-07-31	Western Europe	Germany	MPXV/Germany/2022/RKI166
261	OQ159027	2022-11-30	Western Europe	Germany	MPXV/Germany/2022/RKI632
262	OP890528	2022-11-01	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00295/2022
263	ON959151	2022-07-17	Western Europe	Germany	MPXV/Germany/2022/RKI160
264	OP820460	2022-09-10	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10011/2022
265	OQ330997	2022-12-14	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00390/2022
266	OQ330988	2022-10-14	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00382/2022
267	OP605583	2022-08-09	Central Europe	Slovenia	Slovenia-MPXV-42-2022
268	OP415234	2022-08-31	Western Europe	United Kingdom	MPX_L6rBi6_9000265
269	OP605571	2022-07-12	Central Europe	Slovenia	Slovenia-MPXV-29-2022
270	ON614676	2022-05-18	Southern Europe	Italy	INMI-Pt1
271	OP171924	2022-07-25	North America	USA	MPXV22/human/USA-NE-63
272	OP727821	2022-08-27	Western Europe	Belgium	PrEV_case_1
273	OP605569	2022-07-08	Central Europe	Slovenia	Slovenia-MPXV-27-2022
274	OP605559	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-17-2022
275	OP605565	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-23-2022
276	OP205116	2022-07-07	Western Europe	United Kingdom	MPXV_UK_2022_9000158
277	OP415229	2022-08-01	Western Europe	United Kingdom	MPX_0MZd8B_9000260
278	ON782055	2022-05-31	Southern Europe	Spain	MPXV/Spain/HUNSC_ITER_0001b/2022
279	ON792320	2022-06-01	Western Europe	Switzerland	hMpxV/Switzerland/ZH-UZH-IMV-3ba6449f/2022
280	OP390204	2022-07-20	Western Europe	United Kingdom	hMpxV/UK/LMO-043a/2022
281	ON622722	2022-05-22	Western Europe	France	MPXV_FR_HCL0001_2022
282	ON838178	2022-06-01	Central Europe	Slovenia	SI2022_S7
283	OP605552	2022-06-01	Central Europe	Slovenia	Slovenia-MPXV-09-2022
284	OP605551	2022-06-01	Central Europe	Slovenia	Slovenia-MPXV-08-2022
285	ON754986	2022-06-01	Central Europe	Slovenia	MPXV_SI2022_S5
286	OX248696	2022-07-04	Central Europe	Slovakia	RNA_1x0q6v
287	OP605568	2022-07-18	Central Europe	Slovenia	Slovenia-MPXV-26-2022
288	ON782054	2022-05-31	Southern Europe	Spain	MPXV/Spain/HUNSC_ITER_0001a/2022
289	OP605562	2022-07-31	Central Europe	Slovenia	Slovenia-MPXV-20-2022
290	OP555633	2022-09-01	Southern Europe	Portugal	Monkeypox/PT0562/2022
291	ON754985	2022-06-01	Central Europe	Slovenia	MPXV_SI2022_S4
292	ON754984	2022-06-01	Central Europe	Slovenia	MPXV_SI2022_S3
293	ON754987	2022-05-23	Central Europe	Slovenia	MPXV_SI2022_S1_VEROE6
294	ON609725	2022-05-23	Central Europe	Slovenia	SLO
295	OP605585	2022-08-24	Central Europe	Slovenia	Slovenia-MPXV-44-2022
296	OP605581	2022-08-23	Central Europe	Slovenia	Slovenia-MPXV-40-2022
297	ON950045	2022-05-27	Western Europe	Belgium	MPXV/ITM_pt_31/Belgium/27-May-2022
298	OP144214	2022-06-16	Western Europe	Belgium	MPXV/ITM_pt_25/Belgium/16-Jun-2022
299	OP144212	2022-06-10	Western Europe	Belgium	MPXV/ITM_pt_16/Belgium/10-Jun-2022
