accession	strain_region_coarse_date
OP555510	Monkeypox/PT0418/2022_SouthernEurope_2022-07-29	accession
OP414369	Monkeypox/PT0340/2022_SouthernEurope_2022-05-26	accession
OP689667	MPXV/Germany/2022/RKI514_WesternEurope_2022-06-01	accession
OP536743	MPXV-USA-IL-IDPH-082_NorthAmerica_2022-07-03	accession
OP422245	hMPXV-CH-38212023/2022_WesternEurope_2022-05-30	accession
OQ099604	MPXV_USA_2022_NY0016_NorthAmerica_2022-07-01	accession
ON585035	Monkeypox/PT0009/2022_SouthernEurope_2022-05-15	accession
OP615256	MPX/Human/USA/CA-LACPHL-MA00183/2022_NorthAmerica_2022-07-29	accession
OP205074	MPXV_UK_2022_9000068_WesternEurope_2022-06-07	accession
ON803440	MpxV/human/CAN/UN-NML-2954/2022_NorthAmerica_2022-05-22	accession
OP727823	PrEV_case_4_WesternEurope_2022-10-09	accession
OP587242	MPXV/Human/USA/CA-CDPH-MPX000012/2022_NorthAmerica_2022-06-22	accession
OP324509	Monkeypox/PT0196/2022_SouthernEurope_2022-06-27	accession
OP382484	hMPXV-IHU00007_WesternEurope_2022-07-06	accession
OP415216	MPX_OXSHAI_9000245_WesternEurope_2022-07-01	accession
OP890542	MPXV/Human/USA/CA-LACPHL-MA00284/2022_NorthAmerica_2022-09-28	accession
OP722498	MPX/Human/USA/CA-LACPHL-MA00239/2022_NorthAmerica_2022-07-20	accession
ON843171	Monkeypox/PT0030/2022_SouthernEurope_2022-05-26	accession
OP879744	NJ-MPXV-028_NorthAmerica_2022-07-05	accession
OP414371	Monkeypox/PT0342/2022_SouthernEurope_2022-05-26	accession
OP415274	MPX_i96eY5_9000346_WesternEurope_2022-08-01	accession
OP523984	MPXV/Germany/2022/RKI382_WesternEurope_2022-09-01	accession
OP587241	MPXV/Human/USA/CA-CDPH-MPX000011/2022_NorthAmerica_2022-06-14	accession
OP722505	MPX/Human/USA/CA-LACPHL-MA00246/2022_NorthAmerica_2022-07-15	accession
ON755253	MPXV/Germany/2022/RKI047_WesternEurope_2022-06-01	accession
OP414286	Monkeypox/PT0242/2022_SouthernEurope_2022-06-21	accession
OP310062	MpxV/human/USA/WA-UW-089836/2022_NorthAmerica_2022-08-01	accession
OP837339	MPXV/Germany/2022/RKI577_WesternEurope_2022-06-01	accession
OP414359	Monkeypox/PT0327/2022_SouthernEurope_2022-06-02	accession
OP245323	MPX/PT0069/2022_SouthernEurope_2022-07-27	accession
OQ054233	MPXV_USA_2022_PA0012_NorthAmerica_2022-09-01	accession
OP205124	MPXV_UK_2022_9000173_WesternEurope_2022-05-26	accession
OP764617	MPXV/Germany/2022/RKI559_WesternEurope_2022-06-01	accession
OP257253	MpxV/human/USA/WA-UW-088081/2022_NorthAmerica_2022-08-01	accession
ON676706	MPXV_USA_2022_UT002_NorthAmerica_2022-05-01	accession
OQ054218	MPXV_USA_2022_GA0019_NorthAmerica_2022-09-01	accession
OP879763	NJ-MPXV-049_NorthAmerica_2022-07-25	accession
OP310043	MpxV/human/USA/WA-UW-086841/2022_NorthAmerica_2022-08-01	accession
ON929078	MPXV/Germany/2022/RKI123_WesternEurope_2022-07-01	accession
OP615261	MPX/Human/USA/CA-LACPHL-MA00188/2022_NorthAmerica_2022-07-18	accession
ON880509	MpxV/human/CAN/UN-NML-3137/2022_NorthAmerica_2022-05-29	accession
OP205126	MPXV_UK_2022_9000177_WesternEurope_2022-06-26	accession
ON959132	MPXV_USA_2022_IL003_NorthAmerica_2022-06-01	accession
ON843164	Monkeypox/PT0037/2022_SouthernEurope_2022-05-18	accession
OP722515	MPX/Human/USA/CA-LACPHL-MA00256/2022_NorthAmerica_2022-07-13	accession
OQ054230	MPXV_USA_2022_PA0009_NorthAmerica_2022-09-01	accession
OP879732	NJ-MPXV-012_NorthAmerica_2022-08-17	accession
OP587250	MPXV/Human/USA/CA-CDPH-MPX000021/2022_NorthAmerica_2022-07-07	accession
OP484666	MPXV/Germany/2022/RKI345_WesternEurope_2022-09-01	accession
OP414379	Monkeypox/PT0350/2022_SouthernEurope_2022-05-24	accession
OP414354	Monkeypox/PT0322/2022_SouthernEurope_2022-06-06	accession
OP120938	MP03CHUAC_SouthernEurope_2022-06-01	accession
OP257260	MpxV/human/USA/WA-UW-087006/2022_NorthAmerica_2022-08-01	accession
ON627808	MPX/human/USA/UT-UPHL-82200022/2022_NorthAmerica_2022-05-20	accession
OP536687	MPXV-USA-IL-IDPH-026_NorthAmerica_2022-06-12	accession
OP451016	MPXV_USA_2022_CA0043_NorthAmerica_2022-06-01	accession
ON649708	Monkeypox/PT0023/2022_SouthernEurope_2022-05-19	accession
OP303793	MPXV_USA_2022_NY0020_NorthAmerica_2022-06-01	accession
ON808416	CVR_MPXV1d_WesternEurope_2022-05-15	accession
OP687926	MPXV_USA_2022_AZ0004_NorthAmerica_2022-07-01	accession
OP414326	Monkeypox/PT0291/2022_SouthernEurope_2022-06-10	accession
OP324523	Monkeypox/PT0213/2022_SouthernEurope_2022-06-24	accession
OP555518	Monkeypox/PT0433/2022_SouthernEurope_2022-08-02	accession
OQ054247	MPXV_USA_2022_FL0029_NorthAmerica_2022-09-01	accession
OP722501	MPX/Human/USA/CA-LACPHL-MA00242/2022_NorthAmerica_2022-07-15	accession
OP414328	Monkeypox/PT0293/2022_SouthernEurope_2022-06-14	accession
OP414283	Monkeypox/PT0239/2022_SouthernEurope_2022-06-21	accession
OP555493	Monkeypox/PT0397/2022_SouthernEurope_2022-07-15	accession
OP539937	MPX/Human/USA/CA-LACPHL-MA00151/2022_NorthAmerica_2022-08-17	accession
OP215253	MPXV/Germany/2022/RKI225_WesternEurope_2022-08-01	accession
OP414361	Monkeypox/PT0330/2022_SouthernEurope_2022-06-01	accession
OP414344	Monkeypox/PT0310/2022_SouthernEurope_2022-06-06	accession
OP414380	Monkeypox/PT0351/2022_SouthernEurope_2022-05-24	accession
OP523993	MPXV/Germany/2022/RKI391_WesternEurope_2022-09-01	accession
OP920697	MPXV/Human/USA/CA-LACPHL-MA00359/2022_NorthAmerica_2022-11-05	accession
OP414373	Monkeypox/PT0344/2022_SouthernEurope_2022-05-25	accession
