	accession	date	region_coarse	country	strain
343	ON720849	2022-05-27	Southern Europe	Spain	MpxV/Spain/MD-HGUGM-6532064/2022
344	ON622718	2022-05-20	Southern Europe	Spain	MPXV/ES0001/HUGTiP/2022
345	OP459214	2022-08-30	South America	Colombia	ANT-LDSP-ANT-MPX-23631-L
346	OP681773	2022-09-24	North America	USA	MpxV/human/USA/WA-UW-091243/2022
347	OP681774	2022-09-24	North America	USA	MpxV/human/USA/WA-UW-092889/2022
348	OP263630	2022-08-31	Western Europe	Germany	MPXV/Germany/2022/RKI275
349	OP215211	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI203
350	OP580609	2022-08-02	North America	USA	hMPX/USA/CA-LACPHL-MA00176/2022
351	OP390194	2022-07-01	Western Europe	United Kingdom	hMpxV/UK/LMO-026a/2022
352	OQ159039	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI644
353	OP018602	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI177
354	OP215232	2022-08-23	Western Europe	Germany	MPXV/Germany/2022/RKI190
355	OP215216	2022-08-23	Western Europe	Germany	MPXV/Germany/2022/RKI217
356	OP819959	2022-10-11	South America	Colombia	SAN_INS_MPX_0971_L
357	OP459211	2022-08-29	South America	Colombia	ANT-LDSP-ANT-MPX-23596-O
358	OP693651	2022-08-23	South America	Colombia	CUN_INS_MPX_0649_C
359	OP390195	2022-07-07	Western Europe	United Kingdom	hMpxV/UK/LMO-029a/2022
360	OP819954	2022-10-15	South America	Colombia	VAC_INS_MPX_0960_C
361	OQ148473	2022-11-11	South America	Colombia	LBMB-UTP_MP-021_VAC
362	OP642378	2022-09-07	South America	Colombia	ANT-LDSP-ANT-MPX-24594-L
363	OP837470	2022-10-26	South America	Colombia	VAC_INS_MPX_1050_E
364	OQ148468	2022-11-11	South America	Colombia	LBMB-UTP_MP-014_VAC
365	OP837481	2022-10-26	South America	Colombia	VAC_INS_MPX_1050_C
366	OQ261702	2022-10-13	South America	Colombia	ANT-LDSP-ANT-MPX-28292C
367	OP819955	2022-10-13	South America	Colombia	VAC_INS_MPX_0962_C
368	OP819949	2022-10-11	South America	Colombia	VAC_INS_MPX_0955_C
369	OP890566	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00309/2022
370	OP890563	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00335/2022
371	OP890556	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00328/2022
372	OP890558	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00330/2022
373	OP890564	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00336/2022
374	OP890573	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00316/2022
375	OP890569	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00312/2022
376	OQ330999	2022-12-19	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00391/2022
377	OQ331000	2022-12-19	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00401/2022
378	OQ330998	2022-12-19	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00400/2022
379	OP890575	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00318/2022
380	OP890568	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00311/2022
381	OP890577	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00320/2022
382	OP890555	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00327/2022
383	OP689682	2022-07-31	Western Europe	Germany	MPXV/Germany/2022/RKI529
384	OP150925	2022-05-01	North America	USA	MPXV_USA_2022_GA001
385	OQ274886	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI667
386	OP783902	2022-06-08	Western Europe	Switzerland	hMPXV-CH-38347314/2022
387	OP358276	2022-08-09	Southern Europe	Italy	SIC-AOUP-UNIPA_VL_9aug
388	ON780017	2022-05-21	Southern Europe	Italy	INMI-Pt4
389	ON792322	2022-06-02	Western Europe	Switzerland	hMpxV/Switzerland/ZH-UZH-IMV-3ba64538/2022
390	OQ274883	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI664
391	OQ274885	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI666
392	OQ274882	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI663
393	OP215219	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI223
394	OP689674	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI521
395	OP555598	2022-08-19	Southern Europe	Portugal	Monkeypox/PT0527/2022
396	OP555586	2022-08-16	Southern Europe	Portugal	Monkeypox/PT0515/2022
397	OQ148469	2022-11-11	South America	Colombia	LBMB-UTP_MP-013_VAC
398	OP642416	2022-09-12	South America	Colombia	ANT-LDSP-ANT-MPX-25390E
399	OP959063	2022-11-15	South America	Colombia	BOL-UNIMOL-MPX-293633-L
400	OP959062	2022-11-11	South America	Colombia	BOL-UNIMOL-MPX-293614-L
401	OP603011	2022-06-01	North America	USA	MPXV_USA_2022_IN0005
402	OP536713	2022-06-25	North America	USA	MPXV-USA-IL-IDPH-052
403	OP536698	2022-06-17	North America	USA	MPXV-USA-IL-IDPH-037
404	OQ330984	2022-10-11	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00364/2022
405	OP390178	2022-08-20	South America	Colombia	MAG-UNIMOL-MPX-292982-L
406	OP314957	2022-07-27	North America	USA	MPXV22/human/USA-NE-83
407	OP890531	2022-09-30	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00297/2022
408	OP959064	2022-11-17	South America	Colombia	BOL-UNIMOL-MPX-293772-L
409	OP693656	2022-09-10	South America	Colombia	CUN_INS_MPX_0751_C
410	OP615279	2022-09-13	North America	USA	MPX/Human/USA/CA-LACPHL-MA00206/2022
411	OP442558	2022-08-16	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00075/2022
412	OP693655	2022-09-03	South America	Colombia	CUN_INS_MPX_0748_L
413	OP320549	2022-07-02	South America	Peru	LIM-INS-010
414	OP320554	2022-07-09	South America	Peru	LIM-INS-016
415	OP881939	2022-09-29	South America	Colombia	ANT-LDSP-ANT-MPX-26719E
416	OP431402	2022-08-18	South America	Colombia	ANT-LDSP-ANT-MPX-22752-O
417	OP320552	2022-07-06	South America	Peru	LIM-INS-012
418	OP320553	2022-07-08	South America	Peru	LIM-INS-013
419	OP289783	2022-06-27	South America	Peru	LIM-INS-003
420	OP320551	2022-07-09	South America	Peru	LIM-INS-018
421	OP320555	2022-07-09	South America	Peru	LIM-INS-021
422	OP320548	2022-07-01	South America	Peru	LIM-INS008
423	OP320550	2022-07-09	South America	Peru	LIM-INS-015
424	OP289782	2022-06-25	South America	Peru	LIM-INS-001
425	OQ331003	2022-12-06	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00392/2022
426	OQ330995	2022-12-10	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00388/2022
427	ON803417	2022-05-17	North America	Canada	MpxV/human/CAN/UN-NML-2836/2022
428	ON880519	2022-05-13	North America	Canada	MpxV/human/CAN/UN-NML-2833/2022
429	OP863227	2022-07-21	North America	USA	hMpxV/USA/CA-CDPH-000052/2022
430	OP442553	2022-08-01	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00086/2022
431	OP890539	2022-09-28	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00305/2022
432	OP890538	2022-09-29	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00304/2022
433	OP279041	2022-06-29	North America	Canada	MpxV/human/CAN/UN-NML-4125/2022
434	OP279040	2022-07-03	North America	Canada	MpxV/human/CAN/UN-NML-4122/2022
435	OP013008	2022-06-08	North America	Canada	MpxV/human/CAN/UN-NML-3582/2022
436	OP863226	2022-07-21	North America	USA	hMpxV/USA/CA-CDPH-000051/2022
437	OP279049	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-4119/2022
438	OP279044	2022-07-02	North America	Canada	MpxV/human/CAN/UN-NML-4142/2022
439	OP279034	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-4097/2022
440	ON880507	2022-05-27	North America	Canada	MpxV/human/CAN/UN-NML-3071/2022
441	ON983167	2022-06-16	North America	Canada	MpxV/human/CAN/UN-NML-3725/2022
442	ON803414	2022-05-21	North America	Canada	MpxV/human/CAN/UN-NML-2930/2022
443	OP279035	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-4103/2022
444	OP279048	2022-06-29	North America	Canada	MpxV/human/CAN/UN-NML-4155/2022
445	ON983159	2022-06-01	North America	Canada	MpxV/human/CAN/UN-NML-3293/2022
446	OP279037	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-4113/2022
447	OP279045	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-4144/2022
448	ON929077	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI122
449	ON792321	2022-06-02	Western Europe	Switzerland	hMpxV/Switzerland/ZH-UZH-IMV-3ba6450e/2022
450	OP382479	2022-07-01	Western Europe	France	hMPXV-IHU00002
451	OP594201	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI437
452	OP555635	2022-09-05	Southern Europe	Portugal	Monkeypox/PT0564/2022
453	ON694334	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI021
454	OP523980	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI378
455	OP018605	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI182
456	ON694332	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI023
457	OP715831	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI551
458	OP628448	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-082531/2022
459	OP626124	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI486
460	OP382488	2022-07-19	Western Europe	France	hMPXV-IHU00011
461	OQ159028	2022-11-01	Western Europe	Germany	MPXV/Germany/2022/RKI633
462	OP555659	2022-09-14	Southern Europe	Portugal	Monkeypox/PT0592/2022
463	OQ274891	2022-05-15	Western Europe	Germany	MPXV/Germany/2022/ON/RKI672
464	OP019276	2022-06-21	Western Europe	Austria	hMPXV/Austria/MUW1527495/2022
465	ON694331	2022-05-15	Western Europe	Germany	MPXV/Germany/2022/RKI015
466	ON813251	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI051
467	ON637938	2022-05-15	Western Europe	Germany	MPXV/Germany/2022/RKI01
468	ON808413	2022-05-15	Western Europe	United Kingdom	CVR_MPXV1a
469	OP484695	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI342
470	OP555641	2022-09-02	Southern Europe	Portugal	Monkeypox/PT0570/2022
471	OP536664	2022-06-06	North America	USA	MPXV-USA-IL-IDPH-003
472	OP539901	2022-09-14	North America	USA	MPX/Human/USA/CA-LACPHL-MA00116/2022
473	OP415219	2022-08-01	Western Europe	United Kingdom	MPX_AooXJI_9000248
474	ON843170	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0031/2022
475	OQ159026	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI631
476	ON959172	2022-07-06	Western Europe	Germany	MPXV/Germany/2022/RKI158
477	OP415272	2022-08-22	Western Europe	United Kingdom	MPX_bSkpM3_9000334
478	OP450986	2022-06-21	North America	USA	MPXV_USA_2022_TX0015
479	OP205118	2022-07-05	Western Europe	United Kingdom	MPXV_UK_2022_9000160
480	OP523999	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI396
481	OP935994	2022-09-27	North America	USA	B1118431
482	OP205071	2022-06-06	Western Europe	United Kingdom	MPXV_UK_2022_9000065
483	OP205084	2022-05-30	Western Europe	United Kingdom	MPXV_UK_2022_9000093
484	OP415200	2022-07-24	Western Europe	United Kingdom	MPX_K1dQNt_9000224
485	OP415199	2022-07-24	Western Europe	United Kingdom	MPX_K1dQNt_9000223
486	OP205111	2022-06-14	Western Europe	United Kingdom	MPXV_UK_2022_9000148
487	OP205076	2022-06-09	Western Europe	United Kingdom	MPXV_UK_2022_9000070
488	OP204840	2022-06-10	Western Europe	France	PatientMPXV
489	OP727822	2022-10-02	Western Europe	Belgium	PrEV_case_2
490	ON720848	2022-05-27	Southern Europe	Spain	MpxV/Spain/MD-HGUGM-6513479/2022
491	OP863256	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI606
492	OP382489	2022-07-19	Western Europe	France	hMPXV-IHU00012
493	OP689664	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI511
494	OP642386	2022-09-09	South America	Colombia	ANT-LDSP-ANT-MPX-24913-O
495	OP642412	2022-09-13	South America	Colombia	ANT-LDSP-ANT-MPX-25340L
496	OP881936	2022-09-26	South America	Colombia	ANT-LDSP-ANT-MPX-26261O
497	OP459220	2022-08-30	South America	Colombia	ANT-LDSP-ANT-MPX-23697-L
498	OQ261704	2022-10-13	South America	Colombia	ANT-LDSP-ANT-MPX-28299E
499	OQ261711	2022-10-21	South America	Colombia	ANT-LDSP-ANT-MPX-28772C
500	OQ148472	2022-11-11	South America	Colombia	LBMB-UTP_MP-019_VAC
501	OP295382	2022-07-21	South America	Colombia	INS-MPXV-0015-L1
502	OP431398	2022-08-17	South America	Colombia	ANT-LDSP-ANT-MPX-22702-C
503	OP642414	2022-09-04	South America	Colombia	ANT-LDSP-ANT-MPX-25342E
504	OP642388	2022-09-09	South America	Colombia	ANT-LDSP-ANT-MPX-24915-L
505	OP477445	2022-08-18	South America	Colombia	ANT-LDSP-ANT-MPX-22816-L
506	OP642377	2022-09-07	South America	Colombia	ANT-LDSP-ANT-MPX-24593-O
507	OP431399	2022-08-17	South America	Colombia	ANT-LDSP-ANT-MPX-22748-C
508	OP431401	2022-08-17	South America	Colombia	ANT-LDSP-ANT-MPX-22769-L
509	OP459216	2022-08-30	South America	Colombia	ANT-LDSP-ANT-MPX-23651-L
510	OP477457	2022-08-23	South America	Colombia	ANT-LDSP-ANT-MPX-23266
511	OP642408	2022-09-13	South America	Colombia	ANT-LDSP-ANT-MPX-25285O
512	OP459219	2022-08-30	South America	Colombia	ANT-LDSP-ANT-MPX-23683-L
513	OQ261701	2022-10-13	South America	Colombia	ANT-LDSP-ANT-MPX-28290C
514	OQ261698	2022-10-13	South America	Colombia	ANT-LDSP-ANT-MPX-28207C
515	OP477446	2022-08-19	South America	Colombia	ANT-LDSP-ANT-MPX-22980
516	OP642381	2022-09-08	South America	Colombia	ANT-LDSP-ANT-MPX-24728-L
517	OP959057	2022-11-10	South America	Colombia	SUC-UNIMOL-MPX-293401-L
518	OP819958	2022-10-15	South America	Colombia	QUI_INS_MPX_0967_L
519	OQ261712	2022-10-21	South America	Colombia	ANT-LDSP-ANT-MPX-28828C
520	OP727821	2022-08-27	Western Europe	Belgium	PrEV_case_1
521	OP171924	2022-07-25	North America	USA	MPXV22/human/USA-NE-63
522	OP205116	2022-07-07	Western Europe	United Kingdom	MPXV_UK_2022_9000158
523	ON754984	2022-06-01	Central Europe	Slovenia	MPXV_SI2022_S3
524	ON754986	2022-06-01	Central Europe	Slovenia	MPXV_SI2022_S5
525	OP205067	2022-05-27	Western Europe	United Kingdom	MPXV_UK_2022_9000061
526	OX248696	2022-07-04	Central Europe	Slovakia	RNA_2r1xqa
527	OP415229	2022-08-01	Western Europe	United Kingdom	MPX_0MZd8B_9000260
528	OP555633	2022-09-01	Southern Europe	Portugal	Monkeypox/PT0562/2022
529	ON792320	2022-06-01	Western Europe	Switzerland	hMpxV/Switzerland/ZH-UZH-IMV-3ba6449f/2022
530	OP390204	2022-07-20	Western Europe	United Kingdom	hMpxV/UK/LMO-043a/2022
531	OP890526	2022-10-31	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00322/2022
532	OP531890	2022-08-18	North America	USA	B1118356
533	ON838178	2022-06-01	Central Europe	Slovenia	SI2022_S7
534	OP605552	2022-06-01	Central Europe	Slovenia	Slovenia-MPXV-09-2022
535	OP605551	2022-06-01	Central Europe	Slovenia	Slovenia-MPXV-08-2022
536	ON754985	2022-06-01	Central Europe	Slovenia	MPXV_SI2022_S4
537	OP605568	2022-07-31	Central Europe	Slovenia	Slovenia-MPXV-26-2022
538	ON782054	2022-05-31	Southern Europe	Spain	MPXV/Spain/HUNSC_ITER_0001a/2022
539	ON782055	2022-05-31	Southern Europe	Spain	MPXV/Spain/HUNSC_ITER_0001b/2022
540	ON622722	2022-05-22	Western Europe	France	MPXV_FR_HCL0001_2022
541	OP605560	2022-07-31	Central Europe	Slovenia	Slovenia-MPXV-18-2022
542	OP605562	2022-07-24	Central Europe	Slovenia	Slovenia-MPXV-20-2022
543	ON754987	2022-05-23	Central Europe	Slovenia	MPXV_SI2022_S1_VEROE6
544	ON609725	2022-05-23	Central Europe	Slovenia	SLO
545	ON950045	2022-05-27	Western Europe	Belgium	MPXV/ITM_pt_31/Belgium/27-May-2022
546	OP144214	2022-06-16	Western Europe	Belgium	MPXV/ITM_pt_25/Belgium/16-Jun-2022
547	OP144212	2022-06-10	Western Europe	Belgium	MPXV/ITM_pt_16/Belgium/10-Jun-2022
548	OP605570	2022-07-13	Central Europe	Slovenia	Slovenia-MPXV-28-2022
549	OP605578	2022-07-31	Central Europe	Slovenia	Slovenia-MPXV-36-2022
550	OP605581	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-40-2022
551	OP605585	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-44-2022
552	OP415209	2022-07-31	Western Europe	United Kingdom	MPX_Fap1fz_9000235
553	OP150927	2022-05-01	North America	USA	MPXV_USA_2022_WA001
554	OP205120	2022-07-07	Western Europe	United Kingdom	MPXV_UK_2022_9000162
555	OP205088	2022-06-09	Western Europe	United Kingdom	MPXV_UK_2022_9000100
556	OP205131	2022-06-29	Western Europe	United Kingdom	MPXV_UK_2022_9000186
557	ON929090	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI135
558	OP837346	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI584
559	OP205078	2022-06-09	Western Europe	United Kingdom	MPXV_UK_2022_9000072
560	OP484665	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI343
561	OP555593	2022-08-18	Southern Europe	Portugal	Monkeypox/PT0522/2022
562	OP205089	2022-06-09	Western Europe	United Kingdom	MPXV_UK_2022_9000101
563	OP018593	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI167
564	OP263636	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI281
565	OP279039	2022-06-28	North America	Canada	MpxV/human/CAN/UN-NML-4117/2022
566	OP018592	2022-07-04	Western Europe	Germany	MPXV/Germany/2022/RKI166
567	OP881952	2022-08-24	North America	USA	MPXV_USA_2022_TX0030
568	OQ330996	2022-12-12	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00389/2022
569	OQ330997	2022-12-14	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00390/2022
570	OQ330988	2022-10-14	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00382/2022
571	OP539910	2022-09-09	North America	USA	MPX/Human/USA/CA-LACPHL-MA00125/2022
572	OP205083	2022-05-25	Western Europe	United Kingdom	MPXV_UK_2022_9000092
573	OP879761	2022-07-21	North America	USA	NJ-MPXV-047
574	OP820459	2022-08-11	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10010/2022
575	OP743995	2022-10-01	North America	USA	MpxV/human/USA/WA-UW-102951/2022
576	OP440534	2022-07-21	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00041/2022
577	OQ159027	2022-11-30	Western Europe	Germany	MPXV/Germany/2022/RKI632
578	OP890528	2022-11-01	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00295/2022
579	OP935997	2022-11-09	North America	USA	B1221120
580	OP820460	2022-09-10	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10011/2022
581	OP605583	2022-08-18	Central Europe	Slovenia	Slovenia-MPXV-42-2022
582	OP415234	2022-08-31	Western Europe	United Kingdom	MPX_L6rBi6_9000265
583	OP205132	2022-06-28	Western Europe	United Kingdom	MPXV_UK_2022_9000187
584	ON959151	2022-07-17	Western Europe	Germany	MPXV/Germany/2022/RKI160
585	OQ330994	2022-10-25	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00386/2022
586	OP920680	2022-10-26	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00342/2022
