accession	strain
OP133005	hMPXV/Austria/MUW1531848/2022_Austria_2022-07-05
OP133006	hMPXV/Austria/MUW1532243/2022_Austria_2022-07-06
OP133004	hMPXV/Austria/MUW1533374/2022_Austria_2022-07-11
OP019277	hMPXV/Austria/MUW1531254/2022_Austria_2022-07-04
OP422340	hMPXV/Austria/MUW1533948/2022_Austria_2022-07-13
OP587263	MPXV/Human/USA/CA-CDPH-MPX000042/2022_USA_2022-07-28
OP442550	hMPX/Human/USA/CA-LACPHL-MA00083/2022_USA_2022-07-13
OP743362	MPXV/Human/USA/UT-UPHL-82200104/2022_USA_2022-07-21
OP615272	MPX/Human/USA/CA-LACPHL-MA00199/2022_USA_2022-07-19
OP743363	MPXV/Human/USA/UT-UPHL-82200116/2022_USA_2022-07-22
OP144211	MPXV/ITM_pt_10/Belgium/1-Jun-2022_Belgium_2022-06-01
OP144217	MPXV/ITM_pt_09/Belgium/2-Jun-2022_Belgium_2022-06-02
OP144213	MPXV/ITM_pt_24/Belgium/16-Jun-2022_Belgium_2022-06-16
OP144212	MPXV/ITM_pt_16/Belgium/10-Jun-2022_Belgium_2022-06-10
OP144214	MPXV/ITM_pt_25/Belgium/16-Jun-2022_Belgium_2022-06-16
OP160532	hMpxV/Netherlands/NH-AUMC-0001/2022_Netherlands_2022-06-XX
OP204840	PatientMPXV_France_2022-06-10
OP382478	hMPXV-IHU00001_France_2022-06-13
OP205069	MPXV_UK_2022_9000063_UnitedKingdom_2022-06-06
OP205094	MPXV_UK_2022_9000106_UnitedKingdom_2022-06-14
OP390187	hMpxV/UK/LMO-005a/2022_UnitedKingdom_2022-06-20
OP205132	MPXV_UK_2022_9000187_UnitedKingdom_2022-06-28
OP415190	MPX_KJ3uDD_9000210_UnitedKingdom_2022-06-XX
OP415212	MPX_UbfBKN_9000238_UnitedKingdom_2022-07-XX
OP205103	MPXV_UK_2022_9000138_UnitedKingdom_2022-07-06
OP415197	MPX_2v76E1_9000221_UnitedKingdom_2022-07-XX
OP415193	MPX_gOirGi_9000215_UnitedKingdom_2022-07-XX
OP415208	MPX_Fap1fz_9000234_UnitedKingdom_2022-07-XX
OP215259	MPXV/Germany/2022/RKI233_Germany_2022-08-XX
OP689655	MPXV/Germany/2022/ON/RKI502_Germany_2022-08-XX
OP355564	MPXV/Germany/2022/ON/RKI303_Germany_2022-08-XX
OP215214	MPXV/Germany/2022/RKI212_Germany_2022-08-XX
OP215233	MPXV/Germany/2022/RKI191_Germany_2022-08-XX
OP279033	MpxV/human/CAN/UN-NML-4094/2022_Canada_2022-07-06
OP270024	MpxV/human/CAN/UN-NML-3976/2022_Canada_2022-07-04
OP226139	MpxV/human/CAN/UN-NML-4050/2022_Canada_2022-07-11
OP270021	MpxV/human/CAN/UN-NML-3971/2022_Canada_2022-07-04
OP279037	MpxV/human/CAN/UN-NML-4113/2022_Canada_2022-07-04
OP555579	Monkeypox/PT0506/2022_Portugal_2022-08-16
OP555575	Monkeypox/PT0501/2022_Portugal_2022-08-16
OP555542	Monkeypox/PT0462/2022_Portugal_2022-08-05
OP245315	MPX/PT0061/2022_Portugal_2022-08-01
OP555595	Monkeypox/PT0524/2022_Portugal_2022-08-18
OP555486	Monkeypox/PT0390/2022_Portugal_2022-07-11
OP555493	Monkeypox/PT0397/2022_Portugal_2022-07-15
OP245348	MPX/PT0114/2022_Portugal_2022-07-15
OP555478	Monkeypox/PT0382/2022_Portugal_2022-07-12
OP245325	MPX/PT0071/2022_Portugal_2022-07-26
OP310064	MpxV/human/USA/WA-UW-082497/2022_USA_2022-08-XX
OP257262	MpxV/human/USA/WA-UW-087619/2022_USA_2022-08-XX
OP257256	MpxV/human/USA/OH-UW-082260/2022_USA_2022-08-XX
OP480417	hMPXV/USA/NC-UNC-0018/2022_USA_2022-08-28
OP484341	MPXV22/human/USA-OK-180_USA_2022-08-17
OP289782	LIM-INS-001_Peru_2022-06-25
OP289783	LIM-INS-003_Peru_2022-06-27
OP295382	INS-MPXV-0015-L1_Colombia_2022-07-21
OP295383	INS-MPXV-0016-H1_Colombia_2022-07-29
OP693649	ANT_INS_MPX_0039_L_Colombia_2022-07-29
OP320551	LIM-INS-018_Peru_2022-07-09
OP320548	LIM-INS008_Peru_2022-07-01
OP320550	LIM-INS-015_Peru_2022-07-09
OP320549	LIM-INS-010_Peru_2022-07-02
OP320555	LIM-INS-021_Peru_2022-07-09
OP341487	hMpxV/Netherlands/NH-AUMC-0060/2022_Netherlands_2022-08-05
OP358276	SIC-AOUP-UNIPA_VL_9aug_Italy_2022-08-09
OP524005	MPXV/Germany/2022/RKI400_Germany_2022-09-XX
OP588276	MPXV/Germany/2022/ON/RKI413_Germany_2022-09-XX
OP615334	MPXV/Germany/2022/ON/RKI464_Germany_2022-09-XX
OP615333	MPXV/Germany/2022/ON/RKI460_Germany_2022-09-XX
OP588282	MPXV/Germany/2022/ON/RKI419_Germany_2022-09-XX
OP382480	hMPXV-IHU00003_France_2022-07-04
OP382479	hMPXV-IHU00002_France_2022-07-01
OP382488	hMPXV-IHU00011_France_2022-07-19
OP382485	hMPXV-IHU00008_France_2022-07-05
OP382483	hMPXV-IHU00006_France_2022-07-04
OP459217	ANT-LDSP-ANT-MPX-23654-O_Colombia_2022-08-30
OP459213	ANT-LDSP-ANT-MPX-23628-C_Colombia_2022-08-30
OP431400	ANT-LDSP-ANT-MPX-22751-L_Colombia_2022-08-17
OP390178	MAG-UNIMOL-MPX-292982-L_Colombia_2022-08-20
OP459215	ANT-LDSP-ANT-MPX-23645-L_Colombia_2022-08-30
OP536780	9000404_UnitedKingdom_2022-08-XX
OP536762	9000383_UnitedKingdom_2022-08-XX
OP415225	MPX_vBjMTK_9000255_UnitedKingdom_2022-08-XX
OP415226	MPX_k9tr7U_9000256_UnitedKingdom_2022-08-XX
OP536768	9000390_UnitedKingdom_2022-08-XX
OP415196	MPX_96X1Vd_9000218_UnitedKingdom_2022-03-XX
OP415194	MPX_96X1Vd_9000216_UnitedKingdom_2022-03-XX
OP415195	MPX_96X1Vd_9000217_UnitedKingdom_2022-03-XX
OP422343	hMPXV/Austria/MUW1540386/2022_Austria_2022-08-08
OP422341	hMPXV/Austria/MUW1538395/2022_Austria_2022-08-01
OP422342	hMPXV/Austria/MUW1539124/2022_Austria_2022-08-02
OP580600	hMPX/USA/CA-LACPHL-MA00167/2022_USA_2022-09-19
OP628488	MpxV/human/USA/WA-UW-090727/2022_USA_2022-09-XX
OP743968	MpxV/human/USA/WA-UW-099479/2022_USA_2022-09-XX
OP743980	MpxV/human/USA/WA-UW-091162/2022_USA_2022-09-XX
OP715788	MpxV/human/USA/WA-UW-091072/2022_USA_2022-09-XX
OP536777	9000399_UnitedKingdom_2022-09-XX
OP536814	9000452_UnitedKingdom_2022-09-XX
OP536802	9000430_UnitedKingdom_2022-09-XX
OP536783	9000407_UnitedKingdom_2022-09-XX
OP536779	9000403_UnitedKingdom_2022-09-XX
OP555643	Monkeypox/PT0572/2022_Portugal_2022-09-05
OP555651	Monkeypox/PT0580/2022_Portugal_2022-09-09
OP555639	Monkeypox/PT0568/2022_Portugal_2022-09-02
OP555642	Monkeypox/PT0571/2022_Portugal_2022-09-05
OP555638	Monkeypox/PT0567/2022_Portugal_2022-09-03
OP605563	Slovenia-MPXV-21-2022_Slovenia_2022-07-XX
OP605560	Slovenia-MPXV-18-2022_Slovenia_2022-07-XX
OP605561	Slovenia-MPXV-19-2022_Slovenia_2022-07-XX
OP605564	Slovenia-MPXV-22-2022_Slovenia_2022-07-XX
OP605567	Slovenia-MPXV-25-2022_Slovenia_2022-07-XX
OP605581	Slovenia-MPXV-40-2022_Slovenia_2022-08-XX
OP605584	Slovenia-MPXV-43-2022_Slovenia_2022-08-XX
OP605582	Slovenia-MPXV-41-2022_Slovenia_2022-08-XX
OP605583	Slovenia-MPXV-42-2022_Slovenia_2022-08-XX
OP605585	Slovenia-MPXV-44-2022_Slovenia_2022-08-XX
OP605589	Slovenia-MPXV-48-2022_Slovenia_2022-09-XX
OP642391	ANT-LDSP-ANT-MPX-24446-E_Colombia_2022-09-02
OP642410	ANT-LDSP-ANT-MPX-25298C_Colombia_2022-09-05
OP642400	ANT-LDSP-ANT-MPX-24945C_Colombia_2022-09-12
OP642382	ANT-LDSP-ANT-MPX-24812-L_Colombia_2022-09-09
OP642377	ANT-LDSP-ANT-MPX-24593-O_Colombia_2022-09-07
OP744000	MpxV/human/USA/Unknown-UW-101667/2022_USA_2022-10-XX
OP680503	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00225/2022_USA_2022-10-03
OP748946	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00260/2022_USA_2022-10-17
OP748967	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00281/2022_USA_2022-10-18
OP748969	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00283/2022_USA_2022-10-19
OP764629	MPXV/Germany/2022/RKI571_Germany_2022-10-XX
OP689664	MPXV/Germany/2022/ON/RKI511_Germany_2022-10-XX
OP689665	MPXV/Germany/2022/ON/RKI512_Germany_2022-10-XX
OP689663	MPXV/Germany/2022/ON/RKI510_Germany_2022-10-XX
OP727820	PEV_case_Belgium_2022-07-29
OP727821	PrEV_case_1_Belgium_2022-08-27
OP727822	PrEV_case_2_Belgium_2022-10-02
OP727823	PrEV_case_4_Belgium_2022-10-09
OX291424	OX291424/RNA_Slovakia_2022-07-25
OX291435	OX291435/RNA_Slovakia_2022-07-25
OX261749	RNA_Slovakia_2022-07-20
OX261748	RNA_Slovakia_2022-07-13
OX291780	RNA_Slovakia_2022-07-25
OX291676	OX291676/RNA_Slovakia_2022-08-01
OX336038	RNA_Slovakia_2022-08-31
OX297403	RNA_Slovakia_2022-08-09
OX291694	RNA_Slovakia_2022-08-01
OX336004	RNA_Slovakia_2022-08-26
